Stát,Roky,Ukazatel,Odvětví ekonomické činnosti,value
Česko,2023,Náklady práce celkem,Celkem,59451.1823484487
Česko,2023,Náklady práce celkem,"A - Zemědělství, lesnictví, rybářství",46267.9117809484
Česko,2023,Náklady práce celkem,B-E - Průmysl celkem,59582.8784180924
Česko,2023,Náklady práce celkem,B - Těžba a dobývání,67811.2241469925
Česko,2023,Náklady práce celkem,C - Zpracovatelský průmysl,58507.3720875782
Česko,2023,Náklady práce celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",96485.8594854473
Česko,2023,Náklady práce celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",54297.9102675064
Česko,2023,Náklady práce celkem,F - Stavebnictví,49807.29761491
Česko,2023,Náklady práce celkem,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,55576.8397886899
Česko,2023,Náklady práce celkem,H - Doprava a skladování,54148.0120063611
Česko,2023,Náklady práce celkem,"I - Ubytování, stravování a pohostinství",33581.79005886
Česko,2023,Náklady práce celkem,J - Informační a komunikační činnosti,104937.7373415878
Česko,2023,Náklady práce celkem,K - Peněžnictví a pojišťovnictví,101718.9700030701
Česko,2023,Náklady práce celkem,L - Činnosti v oblasti nemovitostí,50332.964260732
Česko,2023,Náklady práce celkem,"M - Profesní, vědecké a technické činnosti",71851.5516559196
Česko,2023,Náklady práce celkem,N - Administrativní a podpůrné činnosti,39525.586970447
Česko,2023,Náklady práce celkem,O - Veřejná správa a obrana; povinné sociální zabezpečení,65593.5728423909
Česko,2023,Náklady práce celkem,P - Vzdělávání,59422.6769795771
Česko,2023,Náklady práce celkem,Q - Zdravotní a sociální péče,63915.2809830023
Česko,2023,Náklady práce celkem,"R - Kulturní, zábavní a rekreační činnosti",50935.8635720336
Česko,2023,Náklady práce celkem,S - Ostatní činnosti,41597.9580424484
Česko,2023,Přímé náklady celkem,Celkem,42802.3810007776
Česko,2023,Přímé náklady celkem,"A - Zemědělství, lesnictví, rybářství",32914.4621678862
Česko,2023,Přímé náklady celkem,B-E - Průmysl celkem,42392.8186257697
Česko,2023,Přímé náklady celkem,B - Těžba a dobývání,47323.8031043499
Česko,2023,Přímé náklady celkem,C - Zpracovatelský průmysl,41677.9476225322
Česko,2023,Přímé náklady celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",67583.0260118669
Česko,2023,Přímé náklady celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",38627.5152432649
Česko,2023,Přímé náklady celkem,F - Stavebnictví,36088.9599923771
Česko,2023,Přímé náklady celkem,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,40220.6160790566
Česko,2023,Přímé náklady celkem,H - Doprava a skladování,38541.3637830891
Česko,2023,Přímé náklady celkem,"I - Ubytování, stravování a pohostinství",24503.7953507715
Česko,2023,Přímé náklady celkem,J - Informační a komunikační činnosti,76416.0316828402
Česko,2023,Přímé náklady celkem,K - Peněžnictví a pojišťovnictví,71633.1407290605
Česko,2023,Přímé náklady celkem,L - Činnosti v oblasti nemovitostí,36756.1225758825
Česko,2023,Přímé náklady celkem,"M - Profesní, vědecké a technické činnosti",52296.181836748
Česko,2023,Přímé náklady celkem,N - Administrativní a podpůrné činnosti,29063.4990562769
Česko,2023,Přímé náklady celkem,O - Veřejná správa a obrana; povinné sociální zabezpečení,46034.9150786432
Česko,2023,Přímé náklady celkem,P - Vzdělávání,43799.1375561863
Česko,2023,Přímé náklady celkem,Q - Zdravotní a sociální péče,46773.2702155275
Česko,2023,Přímé náklady celkem,"R - Kulturní, zábavní a rekreační činnosti",37171.9010309777
Česko,2023,Přímé náklady celkem,S - Ostatní činnosti,31040.302542874
Česko,2023,Přímé náklady - mzdy za vykonanou práci,Celkem,37982.512660366
Česko,2023,Přímé náklady - mzdy za vykonanou práci,"A - Zemědělství, lesnictví, rybářství",29360.8831534341
Česko,2023,Přímé náklady - mzdy za vykonanou práci,B-E - Průmysl celkem,37281.3184294473
Česko,2023,Přímé náklady - mzdy za vykonanou práci,B - Těžba a dobývání,41144.6855920383
Česko,2023,Přímé náklady - mzdy za vykonanou práci,C - Zpracovatelský průmysl,36614.348964522
Česko,2023,Přímé náklady - mzdy za vykonanou práci,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",60230.2050284726
Česko,2023,Přímé náklady - mzdy za vykonanou práci,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",34393.3922087789
Česko,2023,Přímé náklady - mzdy za vykonanou práci,F - Stavebnictví,32444.0624976245
Česko,2023,Přímé náklady - mzdy za vykonanou práci,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,36237.8197533302
Česko,2023,Přímé náklady - mzdy za vykonanou práci,H - Doprava a skladování,34263.9192821658
Česko,2023,Přímé náklady - mzdy za vykonanou práci,"I - Ubytování, stravování a pohostinství",22229.9006445037
Česko,2023,Přímé náklady - mzdy za vykonanou práci,J - Informační a komunikační činnosti,68349.9866218024
Česko,2023,Přímé náklady - mzdy za vykonanou práci,K - Peněžnictví a pojišťovnictví,63431.9811045212
Česko,2023,Přímé náklady - mzdy za vykonanou práci,L - Činnosti v oblasti nemovitostí,33309.8655024842
Česko,2023,Přímé náklady - mzdy za vykonanou práci,"M - Profesní, vědecké a technické činnosti",47052.7998216548
Česko,2023,Přímé náklady - mzdy za vykonanou práci,N - Administrativní a podpůrné činnosti,26036.5395423072
Česko,2023,Přímé náklady - mzdy za vykonanou práci,O - Veřejná správa a obrana; povinné sociální zabezpečení,41040.5961743069
Česko,2023,Přímé náklady - mzdy za vykonanou práci,P - Vzdělávání,37330.5879137642
