Rok sčítání,Ukazatel,Území,Obydlenost bytů,value
2021,Počet bytů,Česká republika,Byty celkem ,5340033
2021,Počet bytů,Česká republika,Obydlené byty,4480139
2021,Počet bytů,Česká republika,Neobydlené byty,859894
2021,Počet bytů,Hlavní město Praha,Byty celkem ,721332
2021,Počet bytů,Hlavní město Praha,Obydlené byty,627705
2021,Počet bytů,Hlavní město Praha,Neobydlené byty,93627
2021,Počet bytů,Středočeský kraj,Byty celkem ,681857
2021,Počet bytů,Středočeský kraj,Obydlené byty,561642
2021,Počet bytů,Středočeský kraj,Neobydlené byty,120215
2021,Počet bytů,Jihočeský kraj,Byty celkem ,340663
2021,Počet bytů,Jihočeský kraj,Obydlené byty,265601
2021,Počet bytů,Jihočeský kraj,Neobydlené byty,75062
2021,Počet bytů,Plzeňský kraj,Byty celkem ,302349
2021,Počet bytů,Plzeňský kraj,Obydlené byty,247030
2021,Počet bytů,Plzeňský kraj,Neobydlené byty,55319
2021,Počet bytů,Karlovarský kraj,Byty celkem ,148516
2021,Počet bytů,Karlovarský kraj,Obydlené byty,125299
2021,Počet bytů,Karlovarský kraj,Neobydlené byty,23217
2021,Počet bytů,Ústecký kraj,Byty celkem ,402467
2021,Počet bytů,Ústecký kraj,Obydlené byty,353285
2021,Počet bytů,Ústecký kraj,Neobydlené byty,49182
2021,Počet bytů,Liberecký kraj,Byty celkem ,227144
2021,Počet bytů,Liberecký kraj,Obydlené byty,187627
2021,Počet bytů,Liberecký kraj,Neobydlené byty,39517
2021,Počet bytů,Královéhradecký kraj,Byty celkem ,282400
2021,Počet bytů,Královéhradecký kraj,Obydlené byty,228569
2021,Počet bytů,Královéhradecký kraj,Neobydlené byty,53831
2021,Počet bytů,Pardubický kraj,Byty celkem ,255990
2021,Počet bytů,Pardubický kraj,Obydlené byty,209133
2021,Počet bytů,Pardubický kraj,Neobydlené byty,46857
2021,Počet bytů,Kraj Vysočina,Byty celkem ,246827
2021,Počet bytů,Kraj Vysočina,Obydlené byty,195098
2021,Počet bytů,Kraj Vysočina,Neobydlené byty,51729
2021,Počet bytů,Jihomoravský kraj,Byty celkem ,572539
2021,Počet bytů,Jihomoravský kraj,Obydlené byty,490005
2021,Počet bytů,Jihomoravský kraj,Neobydlené byty,82534
2021,Počet bytů,Olomoucký kraj,Byty celkem ,309906
2021,Počet bytů,Olomoucký kraj,Obydlené byty,259885
2021,Počet bytů,Olomoucký kraj,Neobydlené byty,50021
2021,Počet bytů,Zlínský kraj,Byty celkem ,274838
2021,Počet bytů,Zlínský kraj,Obydlené byty,226219
2021,Počet bytů,Zlínský kraj,Neobydlené byty,48619
2021,Počet bytů,Moravskoslezský kraj,Byty celkem ,573205
2021,Počet bytů,Moravskoslezský kraj,Obydlené byty,503041
2021,Počet bytů,Moravskoslezský kraj,Neobydlené byty,70164
