Ukazatel,Území,Roky,Kategorie odpadu,value
Produkce odpadů (kg/obyvatele),Česko,2017,Celkem,3274.82948819
Produkce odpadů (kg/obyvatele),Česko,2017,Nebezpečný odpad,140.97590564
Produkce odpadů (kg/obyvatele),Česko,2018,Celkem,3580.24406585
Produkce odpadů (kg/obyvatele),Česko,2018,Nebezpečný odpad,165.55550904
Produkce odpadů (kg/obyvatele),Česko,2019,Celkem,3512.19576395
Produkce odpadů (kg/obyvatele),Česko,2019,Nebezpečný odpad,162.4528203
Produkce odpadů (kg/obyvatele),Česko,2020,Celkem,3610.17247239
Produkce odpadů (kg/obyvatele),Česko,2020,Nebezpečný odpad,164.60575315
Produkce odpadů (kg/obyvatele),Česko,2021,Celkem,3829.21064352
Produkce odpadů (kg/obyvatele),Česko,2021,Nebezpečný odpad,168.75672652
Produkce odpadů (kg/obyvatele),Česko,2022,Celkem,3641.07883771
Produkce odpadů (kg/obyvatele),Česko,2022,Nebezpečný odpad,144.72927391
Produkce odpadů (kg/obyvatele),Česko,2023,Celkem,3488.68720391
Produkce odpadů (kg/obyvatele),Česko,2023,Nebezpečný odpad,140.64495033
