Území;Ukazatel;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Čtvrtletí;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2025;100.1920698676
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2024;100.4549993725
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2024;103.2479629701
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2024;99.9181433816
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2024;102.3682239586
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2023;102.4716266091
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2023;96.5955330075
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2023;105.8023929764
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2023;110.8425044912
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2022;116.7450837848
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2022;123.9094534826
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2022;113.5066221892
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2022;110.1319714403
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2021;103.150445192
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2021;104.5827219274
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2021;132.8863983043
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2021;106.381731077
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2020;104.2923673784
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2020;98.3989107161
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2020;77.0484000307
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2020;96.6303208172
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2019;97.7571502531
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2019;99.3754109141
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2019;103.7614170235
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2019;102.8428734479
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2018;105.2077428559
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2018;105.369135453
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2018;101.3230026833
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2018;102.5221119773
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2017;105.4381621771
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2017;106.9656188442
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2017;110.9239753651
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2017;106.7426595586
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2016;103.4703008719
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2016;99.620806285
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2016;98.7451507506
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2016;101.6038639886
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2015;99.0622953389
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2015;102.6089120106
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2015;103.7044602491
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2015;103.7658601086
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2014;107.8886719938
