Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet přenocování;Rezidenti;2253254.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Počet přenocování;Nerezidenti;1863478.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Průměrný počet přenocování ;Celkem;2.4100515704
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Průměrný počet přenocování ;Rezidenti;2.3562775221
Hromadná ubytovací zařízení celkem;Česko;říjen 2022;Průměrný počet přenocování ;Nerezidenti;2.4784445266
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet hostů;Celkem;1926290.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet hostů;Rezidenti;1185706.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet hostů;Nerezidenti;740584.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet přenocování;Celkem;4669332.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet přenocování;Rezidenti;2859419.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Počet přenocování;Nerezidenti;1809913.0
Hromadná ubytovací zařízení celkem;Česko;září 2022;Průměrný počet přenocování ;Celkem;2.4240026164
Hromadná ubytovací zařízení celkem;Česko;září 2022;Průměrný počet přenocování ;Rezidenti;2.4115750447
Hromadná ubytovací zařízení celkem;Česko;září 2022;Průměrný počet přenocování ;Nerezidenti;2.4438996792
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet hostů;Celkem;2647878.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet hostů;Rezidenti;1733414.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet hostů;Nerezidenti;914464.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet přenocování;Celkem;7751657.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet přenocování;Rezidenti;5426922.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Počet přenocování;Nerezidenti;2324735.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Průměrný počet přenocování ;Celkem;2.9274977926
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Průměrný počet přenocování ;Rezidenti;3.1307708372
Hromadná ubytovací zařízení celkem;Česko;srpen 2022;Průměrný počet přenocování ;Nerezidenti;2.5421831805
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet hostů;Celkem;2714809.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet hostů;Rezidenti;1852856.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet hostů;Nerezidenti;861953.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet přenocování;Celkem;8004708.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet přenocování;Rezidenti;5924548.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Počet přenocování;Nerezidenti;2080160.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Průměrný počet přenocování ;Celkem;2.948534501
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Průměrný počet přenocování ;Rezidenti;3.1975220956
Hromadná ubytovací zařízení celkem;Česko;červenec 2022;Průměrný počet přenocování ;Nerezidenti;2.4133102385
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet hostů;Celkem;2017355.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet hostů;Rezidenti;1284067.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet hostů;Nerezidenti;733288.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet přenocování;Celkem;4770997.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet přenocování;Rezidenti;3055564.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Počet přenocování;Nerezidenti;1715433.0
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Průměrný počet přenocování ;Celkem;2.3649764171
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Průměrný počet přenocování ;Rezidenti;2.3795985723
Hromadná ubytovací zařízení celkem;Česko;červen 2022;Průměrný počet přenocování ;Nerezidenti;2.3393714339
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet hostů;Celkem;1693053.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet hostů;Rezidenti;1043665.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet hostů;Nerezidenti;649388.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet přenocování;Celkem;4028163.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet přenocování;Rezidenti;2476926.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Počet přenocování;Nerezidenti;1551237.0
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Průměrný počet přenocování ;Celkem;2.3792303017
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Průměrný počet přenocování ;Rezidenti;2.3732960289
Hromadná ubytovací zařízení celkem;Česko;květen 2022;Průměrný počet přenocování ;Nerezidenti;2.3887675781
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet hostů;Celkem;1337808.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet hostů;Rezidenti;778863.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet hostů;Nerezidenti;558945.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet přenocování;Celkem;3253670.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet přenocování;Rezidenti;1870519.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Počet přenocování;Nerezidenti;1383151.0
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Průměrný počet přenocování ;Celkem;2.4320904046
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Průměrný počet přenocování ;Rezidenti;2.4016020789
Hromadná ubytovací zařízení celkem;Česko;duben 2022;Průměrný počet přenocování ;Nerezidenti;2.4745744215
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet hostů;Celkem;1096712.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet hostů;Rezidenti;719090.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet hostů;Nerezidenti;377622.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet přenocování;Celkem;3032098.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet přenocování;Rezidenti;2066085.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Počet přenocování;Nerezidenti;966013.0
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Průměrný počet přenocování ;Celkem;2.7647167169
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Průměrný počet přenocování ;Rezidenti;2.8731938978
Hromadná ubytovací zařízení celkem;Česko;březen 2022;Průměrný počet přenocování ;Nerezidenti;2.5581480952
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet hostů;Celkem;982131.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet hostů;Rezidenti;688301.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet hostů;Nerezidenti;293830.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet přenocování;Celkem;2824993.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet přenocování;Rezidenti;2029719.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Počet přenocování;Nerezidenti;795274.0
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Průměrný počet přenocování ;Celkem;2.876391235
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Průměrný počet přenocování ;Rezidenti;2.9488828289
Hromadná ubytovací zařízení celkem;Česko;únor 2022;Průměrný počet přenocování ;Nerezidenti;2.7065786339
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet hostů;Celkem;716557.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet hostů;Rezidenti;501055.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet hostů;Nerezidenti;215502.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet přenocování;Celkem;2010442.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet přenocování;Rezidenti;1432251.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Počet přenocování;Nerezidenti;578191.0
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Průměrný počet přenocování ;Celkem;2.8056972439
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Průměrný počet přenocování ;Rezidenti;2.858470627
Hromadná ubytovací zařízení celkem;Česko;leden 2022;Průměrný počet přenocování ;Nerezidenti;2.6829959815
