Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet hostů;Celkem;1973916.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet hostů;Rezidenti;1081483.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet hostů;Nerezidenti;892433.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet přenocování;Celkem;4752094.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet přenocování;Rezidenti;2612196.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Počet přenocování;Nerezidenti;2139898.0
Hromadná ubytovací zařízení celkem;Česko;září 2024;Průměrný počet přenocování ;Celkem;2.4074448963
Hromadná ubytovací zařízení celkem;Česko;září 2024;Průměrný počet přenocování ;Rezidenti;2.4153833209
Hromadná ubytovací zařízení celkem;Česko;září 2024;Průměrný počet přenocování ;Nerezidenti;2.3978248227
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet hostů;Celkem;2943898.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet hostů;Rezidenti;1763184.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet hostů;Nerezidenti;1180714.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet přenocování;Celkem;8102419.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet přenocování;Rezidenti;5204318.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Počet přenocování;Nerezidenti;2898101.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Průměrný počet přenocování ;Celkem;2.7522757242
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Průměrný počet přenocování ;Rezidenti;2.9516590441
Hromadná ubytovací zařízení celkem;Česko;srpen 2024;Průměrný počet přenocování ;Nerezidenti;2.4545325964
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet hostů;Celkem;2826920.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet hostů;Rezidenti;1724707.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet hostů;Nerezidenti;1102213.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet přenocování;Celkem;8145945.0
