"Česko, kraje, okresy",Ukazatel,Druh soc. dávek,Roky,value
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Příspěvek na bydlení,2023,17865873.456
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Příspěvek na bydlení,2024,20297075.898
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2012,144073.5
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2013,147737.27
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2014,142512.555
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2015,255848.885
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2016,256347.24
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2017,218239.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2018,175358.963
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2019,133191.81
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2020,105419.576
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2021,96471.5
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2022,88159.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2023,87000.966
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Porodné,2024,73088.431
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2012,14465.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2013,14200.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2014,13205.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2015,13615.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2016,13250.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2017,12835.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2018,12525.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2019,12172.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2020,12058.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2021,13285.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2022,12710.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2023,11710.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Pohřebné,2024,11710.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2012,1212708.643
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2013,2051750.956
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2014,2382688.511
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2015,2664508.323
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2016,2831735.502
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2017,2950105.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2018,3801669.936
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2019,3923924.201
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2020,3980663.895
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2021,4092217.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2022,4174393.432
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2023,4931715.555
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky pěstounské péče,2024,5187343.432
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2012,11494094.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2013,11403852.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2014,11339169.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2015,11135371.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2016,10670916.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2017,9986435.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2018,8867667.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2019,8280469.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2020,8367141.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2021,8159277.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2022,8905554.0
