Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2020,103.9
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,3. čtvrtletí 2020,103.5
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,4. čtvrtletí 2020,102.8
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,1. čtvrtletí 2021,102.5
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2021,103.7
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,3. čtvrtletí 2021,106.2
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,4. čtvrtletí 2021,107.9
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,1. čtvrtletí 2022,111.0
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2022,113.2
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,3. čtvrtletí 2022,112.8
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,4. čtvrtletí 2022,112.6
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,1. čtvrtletí 2023,110.1
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2023,106.7
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,3. čtvrtletí 2023,104.3
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,4. čtvrtletí 2023,103.0
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,1. čtvrtletí 2024,102.0
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2024,101.9
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,3. čtvrtletí 2024,102.0
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,4. čtvrtletí 2024,102.3
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,1. čtvrtletí 2025,103.0
Index cen stavebních děl,Meziroční index,Česko,Stavební díla,2. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2004,102.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2004,103.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2004,104.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2004,104.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2005,104.2
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2005,102.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2005,102.3
