Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2005,103.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2005,102.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2005,102.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2006,102.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2006,102.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2006,103.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2007,103.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2007,104.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2007,104.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2007,104.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2008,104.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2008,103.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2009,102.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2009,100.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2009,100.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2009,99.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2010,99.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2011,99.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2012,99.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2012,99.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2012,99.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2013,99.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2013,98.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2013,99.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2014,99.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2014,100.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2014,100.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2014,101.0
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2015,100.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2015,101.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2016,101.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2016,101.0
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2017,101.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2017,101.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2017,101.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2017,102.1
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2018,102.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2018,102.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2018,103.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2018,103.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2019,104.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2019,104.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2019,104.3
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2019,104.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2020,104.0
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2020,103.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2020,103.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2020,102.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2021,102.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2021,103.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2021,106.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2021,108.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2022,112.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2022,113.9
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2022,112.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2022,112.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2023,109.7
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2023,106.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2023,104.4
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2023,102.8
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2024,101.2
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,3. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,4. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,1. čtvrtletí 2025,102.6
Index cen stavebních děl,Meziroční index,Česko,113 Budovy bytové ostatní,2. čtvrtletí 2025,102.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2004,102.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2004,103.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2004,103.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2004,103.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2005,103.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2005,102.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2005,102.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2006,102.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2006,102.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2006,103.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2007,103.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2007,104.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2007,104.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2007,104.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2008,104.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2008,103.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2009,102.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2009,100.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2009,100.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2009,99.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2010,99.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2011,99.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2012,99.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2012,99.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2012,99.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2013,99.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2013,98.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2013,99.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2014,99.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2014,100.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2014,100.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2014,101.0
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2015,100.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2015,101.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2016,101.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2016,101.0
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2017,101.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2017,101.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2017,101.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2017,102.1
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2018,102.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2018,102.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2018,103.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2018,103.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2019,104.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2019,104.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2019,104.3
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2019,104.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2020,104.0
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2020,103.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2020,103.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2020,102.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2021,102.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2021,103.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2021,106.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2021,108.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2022,112.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2022,113.9
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2022,112.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2022,112.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2023,109.7
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2023,106.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2023,104.4
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2023,102.8
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2024,101.2
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,3. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,4. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,1. čtvrtletí 2025,102.6
Index cen stavebních děl,Meziroční index,Česko,1130 Budovy bytové ostatní,2. čtvrtletí 2025,102.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2004,102.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2004,103.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2004,104.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2004,104.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2005,104.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2005,102.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2006,102.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2006,102.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2006,103.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2007,104.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2007,104.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2007,104.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2007,104.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2008,104.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2008,103.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2009,101.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2009,100.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2009,99.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2009,99.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2010,99.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2010,99.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2010,99.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2010,99.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2011,99.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2011,99.7
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2012,99.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2012,99.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2012,99.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2013,99.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2013,98.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2013,99.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2014,99.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2014,100.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2014,100.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2014,101.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2015,100.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2015,101.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2015,101.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2016,101.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2016,101.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2017,101.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2017,101.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2017,101.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2017,102.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2018,102.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2018,102.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2018,103.7
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2018,104.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2019,104.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2019,104.7
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2019,104.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2019,104.4
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2020,104.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2020,103.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2020,103.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2020,102.7
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2021,102.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2021,104.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2021,107.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2021,109.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2022,112.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2022,114.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2022,112.8
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2022,112.2
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2023,109.3
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2023,106.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2023,103.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2023,102.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2024,101.6
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,3. čtvrtletí 2024,102.0
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,4. čtvrtletí 2024,102.1
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,1. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,12 Budovy nebytové,2. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,1. čtvrtletí 2004,102.6
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,2. čtvrtletí 2004,103.5
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,3. čtvrtletí 2004,103.7
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,4. čtvrtletí 2004,103.8
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,1. čtvrtletí 2005,103.7
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,2. čtvrtletí 2005,102.6
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,3. čtvrtletí 2005,102.2
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,4. čtvrtletí 2005,102.2
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,1. čtvrtletí 2006,102.1
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,2. čtvrtletí 2006,102.7
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,3. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,121 Hotely a obdobné budovy,4. čtvrtletí 2006,103.6
