Území;Ukazatel;Typ indexu;Očištění;Typ ceny;CZ NACE;Měsíce;value
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2002;
