Území;Ukazatel;Typ indexu;Očištění;Typ ceny;CZ NACE;Měsíce;value
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2006;107.5749956287
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2006;106.3298050186
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2006;107.8867679439
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2006;103.6978907422
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2006;108.6680355101
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2006;106.3672202212
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2006;103.8898862455
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2006;108.7280410642
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2006;106.2526913923
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2006;112.8647640248
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2006;109.1620101235
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2006;110.1201657894
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2007;110.0398122819
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2007;111.2461994485
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2007;110.0458073882
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2007;111.2397450816
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2007;109.3495548172
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2007;108.600215698
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2007;115.4056930749
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2007;111.6692287001
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2007;110.8094570852
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2007;113.6455626026
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2007;112.074741486
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2007;110.0925492487
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2008;105.2852364463
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2008;110.6525022507
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2008;103.6237337748
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2008;108.7879447034
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2008;101.3793837758
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2008;105.2705179141
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2008;107.1342099619
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2008;98.6040981632
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2008;111.2830039501
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2008;97.0300071295
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2008;97.4587148839
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2008;104.8883789422
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2009;94.4951187494
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2009;89.0867582004
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2009;94.4291587028
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2009;88.8218003666
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2009;87.3229473028
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2009;89.696003926
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2009;87.6596530122
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2009;89.1598151412
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2009;85.4939550557
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2009;89.6572676587
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2009;88.1444412642
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2009;92.6499131403
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2010;93.3905859371
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2010;95.5703293601
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2010;96.5439308601
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2010;97.2123334981
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2010;103.2512001679
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2010;100.299142765
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2010;98.6573379716
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2010;101.7824182617
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2010;101.2110676626
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2010;97.1863913429
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2010;102.4145756263
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2010;95.6064719449
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2011;104.4485786527
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2011;101.8454642977
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2011;99.1924130387
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2011;99.4339273723
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2011;102.9936409326
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2011;99.0382045343
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2011;94.595974608
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2011;98.5433182567
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2011;96.1006952078
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2011;97.6566215883
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2011;99.1983149485
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2011;98.4498588391
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2012;101.6237892696
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2012;101.9993875015
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2012;100.6941552656
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2012;98.3748082227
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2012;99.42575724
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2012;96.0551808739
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2012;105.0064679983
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2012;100.532479831
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2012;97.2902566687
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2012;104.2139863133
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2012;99.8402781242
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2012;92.4957193928
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2013;100.2527237199
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2013;96.7942669371
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2013;96.7159372916
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2013;101.4815303053
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2013;95.1949266106
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2013;97.6911657373
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2013;99.4899305806
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2013;96.7895595778
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2013;100.8122035283
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2013;99.237940582
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2013;98.7123027214
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2013;104.5064646077
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2014;97.7566761641
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2014;101.0615115877
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2014;101.3440168262
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2014;100.6145187823
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2014;100.4157482599
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2014;106.405290461
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2014;103.5310316644
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2014;102.557881092
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2014;105.46193068
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2014;102.2365289885
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2014;98.8341827992
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2014;99.7150119624
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2015;100.1722640977
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2015;103.0967568168
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2015;105.6697771724
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2015;101.6981170854
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2015;100.4305942601
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2015;105.0826774744
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červenec 2015;103.7974346653
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;srpen 2015;103.3877458757
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;září 2015;98.8234448062
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;říjen 2015;99.6843751208
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;listopad 2015;102.942000625
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;prosinec 2015;104.5800471848
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;leden 2016;101.2115985886
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;únor 2016;103.7683047625
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;březen 2016;99.2340547355
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;duben 2016;100.4296181869
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;květen 2016;102.9027738407
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Běžné ceny;H,I,J,L,M a N Služby celkem;červen 2016;99.9976517634
