Kategorie;Území;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Maďarsko;Průměrný počet přenocování ;1.9979511695
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Malta;Počet hostů;975.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Malta;Počet přenocování;2764.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Malta;Průměrný počet přenocování ;2.8348717949
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Německo;Počet hostů;452695.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Německo;Počet přenocování;1336623.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Německo;Průměrný počet přenocování ;2.9525905963
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nizozemské království;Počet hostů;34700.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nizozemské království;Počet přenocování;95717.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nizozemské království;Průměrný počet přenocování ;2.7584149856
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Norsko;Počet hostů;8618.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Norsko;Počet přenocování;20371.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Norsko;Průměrný počet přenocování ;2.3637734973
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Polsko;Počet hostů;180563.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Polsko;Počet přenocování;420812.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Polsko;Průměrný počet přenocování ;2.3305549863
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Portugalsko;Počet hostů;12293.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Portugalsko;Počet přenocování;33427.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Portugalsko;Průměrný počet přenocování ;2.7191897828
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rakousko;Počet hostů;52632.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rakousko;Počet přenocování;99106.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rakousko;Průměrný počet přenocování ;1.882998936
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rumunsko;Počet hostů;22410.0
