Kategorie;Druh zařízení;ČR, kraje;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Celkem;Počet hostů;256544.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Celkem;Počet přenocování;1881525.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Celkem;Průměrný počet přenocování ;7.334122022
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rezidenti;Počet hostů;153997.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rezidenti;Počet přenocování;1344030.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rezidenti;Průměrný počet přenocování ;8.7276375514
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nerezidenti;Počet hostů;102547.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nerezidenti;Počet přenocování;537495.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nerezidenti;Průměrný počet přenocování ;5.2414502618
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Belgie;Počet hostů;754.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Belgie;Počet přenocování;2480.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Belgie;Průměrný počet přenocování ;3.2891246684
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Bulharsko;Počet hostů;199.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Bulharsko;Počet přenocování;660.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Bulharsko;Průměrný počet přenocování ;3.3165829146
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Dánsko;Počet hostů;1184.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Dánsko;Počet přenocování;7104.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Dánsko;Průměrný počet přenocování ;6.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Estonsko;Počet hostů;276.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Estonsko;Počet přenocování;1123.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Estonsko;Průměrný počet přenocování ;4.0688405797
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Finsko;Počet hostů;207.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Finsko;Počet přenocování;635.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Finsko;Průměrný počet přenocování ;3.0676328502
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Francie;Počet hostů;936.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Francie;Počet přenocování;3042.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Francie;Průměrný počet přenocování ;3.25
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Chorvatsko;Počet hostů;164.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Chorvatsko;Počet přenocování;413.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Chorvatsko;Průměrný počet přenocování ;2.5182926829
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Irsko;Počet hostů;129.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Irsko;Počet přenocování;494.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Irsko;Průměrný počet přenocování ;3.8294573643
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Island;Počet hostů;20.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Island;Počet přenocování;55.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Island;Průměrný počet přenocování ;2.75
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Itálie;Počet hostů;981.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Itálie;Počet přenocování;3277.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Itálie;Průměrný počet přenocování ;3.3404689093
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kypr;Počet hostů;397.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kypr;Počet přenocování;1078.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kypr;Průměrný počet přenocování ;2.7153652393
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Litva;Počet hostů;444.0
