Typ indexu;Ukazatel;Očištění;Území;CZ NACE;Čtvrtletí;value
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2014;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2014;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2014;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2014;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2015;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2015;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2015;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2015;
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2016;101.4801838842
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2016;100.5993368519
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2016;101.0544437359
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2016;101.7451321572
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2017;106.7318707805
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2017;103.9351701294
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2017;102.3428007102
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2017;102.5214370989
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2018;103.7744898877
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2018;103.3365527131
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2018;104.2399936864
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2018;102.0528090648
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2019;98.8073698658
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2019;101.2381168588
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2019;103.4454990548
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2019;102.8517533518
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2020;97.7112534315
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2020;83.549898051
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2020;89.0297636534
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2020;89.863162594
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2021;93.7880732282
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);2. čtvrtletí 2021;112.7311234215
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);3. čtvrtletí 2021;106.3085039138
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);4. čtvrtletí 2021;109.5110446169
Meziroční index;Index produkce služeb - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75);1. čtvrtletí 2022;112.1828993176
