Ukazatel,Rok sčítání,Pohlaví,Území,Bydliště v době narození,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Obyvatelstvo celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,V obci obvyklého pobytu,211929
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,V jiné obci okresu,66327
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,V jiném okrese kraje,29198
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,V jiném kraji,84865
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,"V ČR, místo nezjištěno",16537
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,V zahraničí,26343
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,z toho ve Slovenské republice,9629
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Nezjištěno,21
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Obyvatelstvo celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,V obci obvyklého pobytu,265801
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,V jiné obci okresu,101301
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,V jiném okrese kraje,46286
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,V jiném kraji,83274
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,"V ČR, místo nezjištěno",17506
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,V zahraničí,24121
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,z toho ve Slovenské republice,9754
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Nezjištěno,14
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Obyvatelstvo celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,V obci obvyklého pobytu,256307
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,V jiné obci okresu,102112
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,V jiném okrese kraje,35642
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,V jiném kraji,79934
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,"V ČR, místo nezjištěno",14053
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,V zahraničí,21915
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,z toho ve Slovenské republice,8481
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Nezjištěno,74
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Obyvatelstvo celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,V obci obvyklého pobytu,267527
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,V jiné obci okresu,107735
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,V jiném okrese kraje,26820
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,V jiném kraji,68071
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,"V ČR, místo nezjištěno",13159
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,V zahraničí,14332
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,z toho ve Slovenské republice,5532
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Nezjištěno,17
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Obyvatelstvo celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,V obci obvyklého pobytu,632602
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,V jiné obci okresu,151135
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,V jiném okrese kraje,155157
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,V jiném kraji,156997
