"ČR, kraje, okresy",Ukazatel,Pohlaví,Délka nezaměstnanosti,Roky,value
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2019,12570.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2018,12593.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2017,16673.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2016,23261.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2015,27913.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 9 až 12 měsíců,2014,38447.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2023,38066.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2022,29306.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2021,44984.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2020,38834.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2019,18124.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2018,19613.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2017,29101.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2016,45253.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2015,58232.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 12 až 24 měsíců,2014,90688.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2023,44168.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2022,45020.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2021,41161.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2020,29914.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2019,26704.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2018,40916.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2017,65411.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2016,98910.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2015,129323.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 24 měsíců,2014,146477.0
