Roky;Ukazatel;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Turistická ubytovna;2.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Ostatní HUZ;9.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;HUZ celkem;42.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel, motel, botel ***;3.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Penzion;10.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Kemp;9.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Chatová osada;6.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Turistická ubytovna;2.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Plzeňský kraj;Ostatní HUZ;12.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;HUZ celkem;213.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel, motel, botel ****;7.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel, motel, botel ***;25.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel, motel, botel **;6.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel, motel, botel *;6.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Penzion;107.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Kemp;13.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Turistická ubytovna;20.0
2023;Počet hromadných ubytovacích zařízení;Šumava západ;Ostatní HUZ;26.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;HUZ celkem;16.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel, motel, botel ***;2.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Penzion;7.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Kemp;
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Turistická ubytovna;3.0
2023;Počet hromadných ubytovacích zařízení;Jižní Plzeňsko;Ostatní HUZ;1.0
2023;Počet hromadných ubytovacích zařízení;Šumava žije;HUZ celkem;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel, motel, botel ***;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Penzion;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Kemp;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Chatová osada;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Turistická ubytovna;
2023;Počet hromadných ubytovacích zařízení;Šumava žije;Ostatní HUZ;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;HUZ celkem;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel, motel, botel ***;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Penzion;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Kemp;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Chatová osada;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Turistická ubytovna;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí jihozápad;Ostatní HUZ;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;HUZ celkem;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel, motel, botel ***;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Penzion;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Kemp;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Chatová osada;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Turistická ubytovna;
2023;Počet hromadných ubytovacích zařízení;Rokycansko - Horažďovicko;Ostatní HUZ;
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;HUZ celkem;150.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel, motel, botel ****;4.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel, motel, botel ***;21.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel, motel, botel **;5.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel, motel, botel *;2.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Penzion;71.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Kemp;3.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Turistická ubytovna;7.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Karlovarský kraj;Ostatní HUZ;35.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;HUZ celkem;445.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel *****;12.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel, motel, botel ****;115.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel, motel, botel ***;85.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel, motel, botel **;6.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Hotel garni;15.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Penzion;133.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Kemp;27.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Turistická ubytovna;8.0
2023;Počet hromadných ubytovacích zařízení;Západočeské lázně;Ostatní HUZ;42.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;HUZ celkem;22.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel, motel, botel ***;1.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Penzion;14.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Kemp;2.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Turistická ubytovna;1.0
2023;Počet hromadných ubytovacích zařízení;Postřelí - Karlovarský kraj;Ostatní HUZ;2.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;HUZ celkem;80.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel, motel, botel ****;2.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel, motel, botel ***;16.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Penzion;30.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Kemp;8.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Chatová osada;3.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Turistická ubytovna;11.0
2023;Počet hromadných ubytovacích zařízení;České Středohoří;Ostatní HUZ;7.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;HUZ celkem;177.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel, motel, botel ****;10.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel, motel, botel ***;17.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel, motel, botel **;6.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel, motel, botel *;2.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Penzion;103.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Kemp;11.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Chatová osada;3.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Turistická ubytovna;9.0
2023;Počet hromadných ubytovacích zařízení;České Švýcarsko;Ostatní HUZ;14.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;HUZ celkem;73.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel, motel, botel ****;3.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel, motel, botel ***;15.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Penzion;25.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Kemp;10.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Turistická ubytovna;8.0
2023;Počet hromadných ubytovacích zařízení;Dolní Poohří;Ostatní HUZ;8.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;HUZ celkem;180.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel, motel, botel ****;13.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel, motel, botel ***;35.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel, motel, botel **;4.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel, motel, botel *;4.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Hotel garni;4.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Penzion;69.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Kemp;6.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Turistická ubytovna;11.0
2023;Počet hromadných ubytovacích zařízení;Krušnohoří - Ústecký kraj;Ostatní HUZ;33.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;HUZ celkem;84.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel, motel, botel ****;2.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel, motel, botel *;3.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Hotel garni;3.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Penzion;38.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Kemp;10.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Turistická ubytovna;3.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Liberecký kraj;Ostatní HUZ;16.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;HUZ celkem;367.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel, motel, botel ****;19.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel, motel, botel ***;45.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel, motel, botel **;3.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel, motel, botel *;2.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Penzion;203.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Kemp;3.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Turistická ubytovna;24.0
2023;Počet hromadných ubytovacích zařízení;Jizerské hory;Ostatní HUZ;62.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;HUZ celkem;310.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel, motel, botel ****;4.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel, motel, botel ***;44.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel, motel, botel **;5.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel, motel, botel *;3.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Penzion;149.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Kemp;2.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Turistická ubytovna;23.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Liberecký kraj;Ostatní HUZ;77.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;HUZ celkem;105.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel, motel, botel ****;5.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Penzion;44.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Kemp;8.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Chatová osada;9.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Turistická ubytovna;12.0
2023;Počet hromadných ubytovacích zařízení;Lužické hory;Ostatní HUZ;18.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;HUZ celkem;83.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel, motel, botel ****;3.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel, motel, botel ***;5.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel, motel, botel *;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Penzion;29.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Kemp;10.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Chatová osada;25.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Turistická ubytovna;2.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Liberecký kraj;Ostatní HUZ;7.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;HUZ celkem;63.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Penzion;38.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Kemp;7.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Turistická ubytovna;3.0
2023;Počet hromadných ubytovacích zařízení;Broumovsko;Ostatní HUZ;3.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;HUZ celkem;72.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel, motel, botel ****;4.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel, motel, botel ***;15.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Penzion;23.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Kemp;11.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Chatová osada;5.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Turistická ubytovna;7.0
2023;Počet hromadných ubytovacích zařízení;Český ráj - Královéhradecký kraj;Ostatní HUZ;6.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;HUZ celkem;54.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel, motel, botel ****;7.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel, motel, botel ***;9.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Hradecko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Hradecko;Penzion;23.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Kemp;3.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Chatová osada;
2023;Počet hromadných ubytovacích zařízení;Hradecko;Turistická ubytovna;4.0
2023;Počet hromadných ubytovacích zařízení;Hradecko;Ostatní HUZ;6.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;HUZ celkem;88.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel, motel, botel ****;7.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel, motel, botel ***;9.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel, motel, botel *;1.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Penzion;44.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Kemp;7.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Turistická ubytovna;5.0
2023;Počet hromadných ubytovacích zařízení;Kladské pomezí;Ostatní HUZ;10.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;HUZ celkem;663.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel, motel, botel ****;31.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel, motel, botel ***;85.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel, motel, botel **;13.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel, motel, botel *;3.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Hotel garni;5.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Penzion;320.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Kemp;10.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Turistická ubytovna;37.0
2023;Počet hromadných ubytovacích zařízení;Krkonoše - Královéhradecký kraj;Ostatní HUZ;158.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;HUZ celkem;159.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel, motel, botel ****;7.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel, motel, botel ***;19.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel, motel, botel **;6.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel, motel, botel *;7.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Penzion;68.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Kemp;4.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Turistická ubytovna;20.0
2023;Počet hromadných ubytovacích zařízení;Orlické hory a Podorlicko - Královéhradecký kraj;Ostatní HUZ;26.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;HUZ celkem;60.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel, motel, botel *;2.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Penzion;25.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Kemp;11.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Turistická ubytovna;2.0
2023;Počet hromadných ubytovacích zařízení;Podkrkonoší - Podzvičinsko;Ostatní HUZ;5.0
2023;Počet hromadných ubytovacích zařízení;Českomoravské pomezí;HUZ celkem;94.0
