Roky;Ukazatel;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hromadných ubytovacích zařízení;Posázaví;Kemp;14.0
2023;Počet hromadných ubytovacích zařízení;Posázaví;Chatová osada;3.0
2023;Počet hromadných ubytovacích zařízení;Posázaví;Turistická ubytovna;8.0
2023;Počet hromadných ubytovacích zařízení;Posázaví;Ostatní HUZ;7.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;HUZ celkem;28.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel *****;1.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel, motel, botel ***;4.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Penzion;7.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Kemp;4.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Turistická ubytovna;
2023;Počet hromadných ubytovacích zařízení;Rakovnicko;Ostatní HUZ;7.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;HUZ celkem;55.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Penzion;18.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Kemp;6.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Chatová osada;10.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Turistická ubytovna;1.0
2023;Počet hromadných ubytovacích zařízení;Toulava  - Středočeský kraj;Ostatní HUZ;10.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;HUZ celkem;6.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel *****;
