Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Čtvrtletí;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2025;99.5446480466
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2024;101.1525140181
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2024;104.9106490773
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2024;103.9730302186
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2024;104.0050921367
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2023;99.001990256
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2023;95.1299205502
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2023;97.6117227436
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2023;102.9035554505
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2022;112.4334136238
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2022;115.3168988734
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2022;110.0842978886
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2022;106.8489008338
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2021;104.1358305945
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2021;107.4182208923
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2021;146.9986837344
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2021;110.3036452929
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2020;106.5219093459
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2020;99.3859197127
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2020;72.7386966247
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2020;95.8578525448
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2019;97.1766554155
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2019;98.850375773
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2019;102.1291359181
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2019;103.2234606389
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2018;102.4324207204
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2018;103.5300064828
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2018;102.9773571834
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2018;103.2993551215
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2017;107.2572871452
