Ukazatel,Území,Měsíce,Země,value
Bilance (v mil. Kč),Česko,srpen 2023,EU27_2020,55011.449312
Bilance (v mil. Kč),Česko,srpen 2023,Svět bez EU27_2020,-59252.902874
Bilance (v mil. Kč),Česko,červenec 2023,Celkem,-6211.726745
Bilance (v mil. Kč),Česko,červenec 2023,EU27_2020,51955.556871
Bilance (v mil. Kč),Česko,červenec 2023,Svět bez EU27_2020,-55902.411297
Bilance (v mil. Kč),Česko,červen 2023,Celkem,18014.087871
Bilance (v mil. Kč),Česko,červen 2023,EU27_2020,76413.072473
Bilance (v mil. Kč),Česko,červen 2023,Svět bez EU27_2020,-55400.334688
Bilance (v mil. Kč),Česko,květen 2023,Celkem,9411.847155
Bilance (v mil. Kč),Česko,květen 2023,EU27_2020,73638.834688
Bilance (v mil. Kč),Česko,květen 2023,Svět bez EU27_2020,-61320.674675
Bilance (v mil. Kč),Česko,duben 2023,Celkem,8754.904526
Bilance (v mil. Kč),Česko,duben 2023,EU27_2020,71536.403041
Bilance (v mil. Kč),Česko,duben 2023,Svět bez EU27_2020,-59844.398684
Bilance (v mil. Kč),Česko,březen 2023,Celkem,17334.28147
Bilance (v mil. Kč),Česko,březen 2023,EU27_2020,84495.033392
Bilance (v mil. Kč),Česko,březen 2023,Svět bez EU27_2020,-63134.212911
Bilance (v mil. Kč),Česko,únor 2023,Celkem,15448.878966
Bilance (v mil. Kč),Česko,únor 2023,EU27_2020,72893.388503
Bilance (v mil. Kč),Česko,únor 2023,Svět bez EU27_2020,-54670.213041
Bilance (v mil. Kč),Česko,leden 2023,Celkem,8102.00077
Bilance (v mil. Kč),Česko,leden 2023,EU27_2020,88983.782912
Bilance (v mil. Kč),Česko,leden 2023,Svět bez EU27_2020,-78032.65336
Bilance (v mil. Kč),Česko,prosinec 2022,Celkem,-2428.3021
Bilance (v mil. Kč),Česko,prosinec 2022,EU27_2020,68077.447351
Bilance (v mil. Kč),Česko,prosinec 2022,Svět bez EU27_2020,-68471.748111
Bilance (v mil. Kč),Česko,listopad 2022,Celkem,-26425.988991
Bilance (v mil. Kč),Česko,listopad 2022,EU27_2020,78623.752793
Bilance (v mil. Kč),Česko,listopad 2022,Svět bez EU27_2020,-102233.997369
Bilance (v mil. Kč),Česko,říjen 2022,Celkem,-25785.177918
Bilance (v mil. Kč),Česko,říjen 2022,EU27_2020,78152.909038
Bilance (v mil. Kč),Česko,říjen 2022,Svět bez EU27_2020,-101454.765061
Bilance (v mil. Kč),Česko,září 2022,Celkem,-12570.615517
Bilance (v mil. Kč),Česko,září 2022,EU27_2020,79860.907951
Bilance (v mil. Kč),Česko,září 2022,Svět bez EU27_2020,-90111.253965
