Ukazatel;ČR, kraje, okresy;Druh důchodu;Pohlaví;Roky;value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);muž;2019;12226
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);muž;2020;13059
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);muž;2021;13778
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);muž;2022;16025
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);muž;2023;17415
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2014;9784
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2015;9972
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2016;9988
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2017;10266
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2018;10682
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2019;11526
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2020;12331
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2021;13000
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2022;15166
