Území;Ukazatel;Měsíce;Věkové skupiny (roky);value
Česko;Zemřelí;listopad 2023;15-44;249
Česko;Zemřelí;listopad 2023;45-64;1198
Česko;Zemřelí;listopad 2023;65-74;2093
Česko;Zemřelí;listopad 2023;75-84;3259
Česko;Zemřelí;listopad 2023;85 a více;2760
Česko;Zemřelí;říjen 2023;celkem;9510
Česko;Zemřelí;říjen 2023;0-14;25
Česko;Zemřelí;říjen 2023;15-44;221
Česko;Zemřelí;říjen 2023;45-64;1262
Česko;Zemřelí;říjen 2023;65-74;2075
Česko;Zemřelí;říjen 2023;75-84;3203
Česko;Zemřelí;říjen 2023;85 a více;2724
Česko;Zemřelí;září 2023;celkem;8362
Česko;Zemřelí;září 2023;0-14;26
Česko;Zemřelí;září 2023;15-44;243
Česko;Zemřelí;září 2023;45-64;1124
Česko;Zemřelí;září 2023;65-74;1857
Česko;Zemřelí;září 2023;75-84;2668
Česko;Zemřelí;září 2023;85 a více;2444
Česko;Zemřelí;srpen 2023;celkem;8929
Česko;Zemřelí;srpen 2023;0-14;29
Česko;Zemřelí;srpen 2023;15-44;255
Česko;Zemřelí;srpen 2023;45-64;1189
Česko;Zemřelí;srpen 2023;65-74;2008
Česko;Zemřelí;srpen 2023;75-84;2883
Česko;Zemřelí;srpen 2023;85 a více;2565
Česko;Zemřelí;červenec 2023;celkem;8580
Česko;Zemřelí;červenec 2023;0-14;30
Česko;Zemřelí;červenec 2023;15-44;258
Česko;Zemřelí;červenec 2023;45-64;1169
Česko;Zemřelí;červenec 2023;65-74;1912
Česko;Zemřelí;červenec 2023;75-84;2783
Česko;Zemřelí;červenec 2023;85 a více;2428
Česko;Zemřelí;červen 2023;celkem;8509
Česko;Zemřelí;červen 2023;0-14;26
Česko;Zemřelí;červen 2023;15-44;267
Česko;Zemřelí;červen 2023;45-64;1184
Česko;Zemřelí;červen 2023;65-74;1833
Česko;Zemřelí;červen 2023;75-84;2762
Česko;Zemřelí;červen 2023;85 a více;2437
Česko;Zemřelí;květen 2023;celkem;8816
Česko;Zemřelí;květen 2023;0-14;30
Česko;Zemřelí;květen 2023;15-44;236
Česko;Zemřelí;květen 2023;45-64;1167
Česko;Zemřelí;květen 2023;65-74;1967
Česko;Zemřelí;květen 2023;75-84;2936
Česko;Zemřelí;květen 2023;85 a více;2480
Česko;Zemřelí;duben 2023;celkem;9122
Česko;Zemřelí;duben 2023;0-14;25
Česko;Zemřelí;duben 2023;15-44;245
Česko;Zemřelí;duben 2023;45-64;1171
Česko;Zemřelí;duben 2023;65-74;2091
Česko;Zemřelí;duben 2023;75-84;2948
Česko;Zemřelí;duben 2023;85 a více;2642
Česko;Zemřelí;březen 2023;celkem;9925
Česko;Zemřelí;březen 2023;0-14;38
Česko;Zemřelí;březen 2023;15-44;260
Česko;Zemřelí;březen 2023;45-64;1240
Česko;Zemřelí;březen 2023;65-74;2187
Česko;Zemřelí;březen 2023;75-84;3278
Česko;Zemřelí;březen 2023;85 a více;2922
Česko;Zemřelí;únor 2023;celkem;9185
Česko;Zemřelí;únor 2023;0-14;25
Česko;Zemřelí;únor 2023;15-44;256
Česko;Zemřelí;únor 2023;45-64;1185
Česko;Zemřelí;únor 2023;65-74;2000
Česko;Zemřelí;únor 2023;75-84;2996
Česko;Zemřelí;únor 2023;85 a více;2723
Česko;Zemřelí;leden 2023;celkem;11440
Česko;Zemřelí;leden 2023;0-14;30
Česko;Zemřelí;leden 2023;15-44;279
Česko;Zemřelí;leden 2023;45-64;1351
Česko;Zemřelí;leden 2023;65-74;2501
Česko;Zemřelí;leden 2023;75-84;3804
Česko;Zemřelí;leden 2023;85 a více;3475
Česko;Zemřelí;prosinec 2022;celkem;12172
Česko;Zemřelí;prosinec 2022;0-14;32
Česko;Zemřelí;prosinec 2022;15-44;299
Česko;Zemřelí;prosinec 2022;45-64;1463
Česko;Zemřelí;prosinec 2022;65-74;2593
Česko;Zemřelí;prosinec 2022;75-84;3977
Česko;Zemřelí;prosinec 2022;85 a více;3808
Česko;Zemřelí;listopad 2022;celkem;9491
Česko;Zemřelí;listopad 2022;0-14;30
Česko;Zemřelí;listopad 2022;15-44;261
Česko;Zemřelí;listopad 2022;45-64;1184
Česko;Zemřelí;listopad 2022;65-74;2180
Česko;Zemřelí;listopad 2022;75-84;3030
Česko;Zemřelí;listopad 2022;85 a více;2806
Česko;Zemřelí;říjen 2022;celkem;10232
Česko;Zemřelí;říjen 2022;0-14;35
Česko;Zemřelí;říjen 2022;15-44;264
Česko;Zemřelí;říjen 2022;45-64;1258
Česko;Zemřelí;říjen 2022;65-74;2251
Česko;Zemřelí;říjen 2022;75-84;3332
Česko;Zemřelí;říjen 2022;85 a více;3092
Česko;Zemřelí;září 2022;celkem;9564
Česko;Zemřelí;září 2022;0-14;26
Česko;Zemřelí;září 2022;15-44;272
Česko;Zemřelí;září 2022;45-64;1274
Česko;Zemřelí;září 2022;65-74;2139
Česko;Zemřelí;září 2022;75-84;3109
Česko;Zemřelí;září 2022;85 a více;2744
Česko;Zemřelí;srpen 2022;celkem;9477
Česko;Zemřelí;srpen 2022;0-14;41
Česko;Zemřelí;srpen 2022;15-44;275
Česko;Zemřelí;srpen 2022;45-64;1247
Česko;Zemřelí;srpen 2022;65-74;2011
Česko;Zemřelí;srpen 2022;75-84;3092
Česko;Zemřelí;srpen 2022;85 a více;2811
Česko;Zemřelí;červenec 2022;celkem;9219
Česko;Zemřelí;červenec 2022;0-14;47
Česko;Zemřelí;červenec 2022;15-44;253
Česko;Zemřelí;červenec 2022;45-64;1175
Česko;Zemřelí;červenec 2022;65-74;2094
Česko;Zemřelí;červenec 2022;75-84;2928
Česko;Zemřelí;červenec 2022;85 a více;2722
Česko;Zemřelí;červen 2022;celkem;8748
Česko;Zemřelí;červen 2022;0-14;33
Česko;Zemřelí;červen 2022;15-44;243
Česko;Zemřelí;červen 2022;45-64;1167
Česko;Zemřelí;červen 2022;65-74;2011
Česko;Zemřelí;červen 2022;75-84;2696
Česko;Zemřelí;červen 2022;85 a více;2598
Česko;Zemřelí;květen 2022;celkem;9236
Česko;Zemřelí;květen 2022;0-14;27
Česko;Zemřelí;květen 2022;15-44;269
Česko;Zemřelí;květen 2022;45-64;1207
Česko;Zemřelí;květen 2022;65-74;2167
Česko;Zemřelí;květen 2022;75-84;2967
Česko;Zemřelí;květen 2022;85 a více;2599
Česko;Zemřelí;duben 2022;celkem;9963
Česko;Zemřelí;duben 2022;0-14;27
Česko;Zemřelí;duben 2022;15-44;251
Česko;Zemřelí;duben 2022;45-64;1222
Česko;Zemřelí;duben 2022;65-74;2271
Česko;Zemřelí;duben 2022;75-84;3197
Česko;Zemřelí;duben 2022;85 a více;2995
Česko;Zemřelí;březen 2022;celkem;10695
Česko;Zemřelí;březen 2022;0-14;32
Česko;Zemřelí;březen 2022;15-44;248
Česko;Zemřelí;březen 2022;45-64;1435
Česko;Zemřelí;březen 2022;65-74;2434
Česko;Zemřelí;březen 2022;75-84;3283
Česko;Zemřelí;březen 2022;85 a více;3263
Česko;Zemřelí;únor 2022;celkem;10388
Česko;Zemřelí;únor 2022;0-14;39
Česko;Zemřelí;únor 2022;15-44;231
Česko;Zemřelí;únor 2022;45-64;1263
Česko;Zemřelí;únor 2022;65-74;2312
Česko;Zemřelí;únor 2022;75-84;3323
Česko;Zemřelí;únor 2022;85 a více;3220
Česko;Zemřelí;leden 2022;celkem;11034
Česko;Zemřelí;leden 2022;0-14;28
Česko;Zemřelí;leden 2022;15-44;280
Česko;Zemřelí;leden 2022;45-64;1526
Česko;Zemřelí;leden 2022;65-74;2610
Česko;Zemřelí;leden 2022;75-84;3465
Česko;Zemřelí;leden 2022;85 a více;3125
Česko;Zemřelí;prosinec 2021;celkem;13811
Česko;Zemřelí;prosinec 2021;0-14;40
Česko;Zemřelí;prosinec 2021;15-44;312
Česko;Zemřelí;prosinec 2021;45-64;1845
Česko;Zemřelí;prosinec 2021;65-74;3387
Česko;Zemřelí;prosinec 2021;75-84;4365
Česko;Zemřelí;prosinec 2021;85 a více;3862
Česko;Zemřelí;listopad 2021;celkem;12815
Česko;Zemřelí;listopad 2021;0-14;37
Česko;Zemřelí;listopad 2021;15-44;298
Česko;Zemřelí;listopad 2021;45-64;1625
Česko;Zemřelí;listopad 2021;65-74;3015
Česko;Zemřelí;listopad 2021;75-84;4094
Česko;Zemřelí;listopad 2021;85 a více;3746
Česko;Zemřelí;říjen 2021;celkem;10101
Česko;Zemřelí;říjen 2021;0-14;32
Česko;Zemřelí;říjen 2021;15-44;256
Česko;Zemřelí;říjen 2021;45-64;1372
Česko;Zemřelí;říjen 2021;65-74;2343
Česko;Zemřelí;říjen 2021;75-84;3170
Česko;Zemřelí;říjen 2021;85 a více;2928
Česko;Zemřelí;září 2021;celkem;8932
Česko;Zemřelí;září 2021;0-14;31
Česko;Zemřelí;září 2021;15-44;251
Česko;Zemřelí;září 2021;45-64;1190
Česko;Zemřelí;září 2021;65-74;2155
Česko;Zemřelí;září 2021;75-84;2678
Česko;Zemřelí;září 2021;85 a více;2627
Česko;Zemřelí;srpen 2021;celkem;8714
Česko;Zemřelí;srpen 2021;0-14;40
Česko;Zemřelí;srpen 2021;15-44;264
Česko;Zemřelí;srpen 2021;45-64;1221
Česko;Zemřelí;srpen 2021;65-74;2104
Česko;Zemřelí;srpen 2021;75-84;2612
Česko;Zemřelí;srpen 2021;85 a více;2473
Česko;Zemřelí;červenec 2021;celkem;8814
Česko;Zemřelí;červenec 2021;0-14;37
Česko;Zemřelí;červenec 2021;15-44;253
Česko;Zemřelí;červenec 2021;45-64;1248
Česko;Zemřelí;červenec 2021;65-74;2072
Česko;Zemřelí;červenec 2021;75-84;2632
Česko;Zemřelí;červenec 2021;85 a více;2572
Česko;Zemřelí;červen 2021;celkem;8628
Česko;Zemřelí;červen 2021;0-14;29
Česko;Zemřelí;červen 2021;15-44;243
Česko;Zemřelí;červen 2021;45-64;1235
Česko;Zemřelí;červen 2021;65-74;2080
Česko;Zemřelí;červen 2021;75-84;2538
Česko;Zemřelí;červen 2021;85 a více;2503
Česko;Zemřelí;květen 2021;celkem;9557
Česko;Zemřelí;květen 2021;0-14;35
Česko;Zemřelí;květen 2021;15-44;230
Česko;Zemřelí;květen 2021;45-64;1422
Česko;Zemřelí;květen 2021;65-74;2424
Česko;Zemřelí;květen 2021;75-84;2820
Česko;Zemřelí;květen 2021;85 a více;2626
Česko;Zemřelí;duben 2021;celkem;11699
Česko;Zemřelí;duben 2021;0-14;31
Česko;Zemřelí;duben 2021;15-44;294
Česko;Zemřelí;duben 2021;45-64;1792
Česko;Zemřelí;duben 2021;65-74;3139
Česko;Zemřelí;duben 2021;75-84;3598
Česko;Zemřelí;duben 2021;85 a více;2845
Česko;Zemřelí;březen 2021;celkem;16789
Česko;Zemřelí;březen 2021;0-14;22
Česko;Zemřelí;březen 2021;15-44;354
