Území;Šetření;Ukazatel;Čtvrtletí;value
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2024;4048.0938110839
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2024;4014.2291122619
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2024;4019.4092159623
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2024;4005.4785899195
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2023;4042.821291116
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2023;4016.370114982
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2023;4026.6093643207
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2023;4009.5245318775
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2022;4066.0161890029
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2022;4030.8652746989
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2022;4030.1303178942
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2022;3990.4537021187
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2021;4034.517181009
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2021;4003.4632107588
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2021;3995.0802326429
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2021;3970.446272383
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2020;4003.5075963978
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2020;3962.809440853
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2020;3964.5583703394
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2020;4037.8758016003
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2019;4086.2827609617
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2019;4052.0261004991
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2019;4067.7354248114
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2019;4040.9020805497
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2018;4106.9050508134
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2018;4077.2053254316
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2018;4072.5242879262
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2018;4038.0622941568
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2017;4067.5230002376
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2017;4020.7077713476
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2017;4003.3873688164
