Území,Země,Měsíce,Ukazatel,value
Česko,Svět celkem,srpen 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",442194.380475
Česko,Svět celkem,srpen 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",408795.582589
Česko,Svět celkem,srpen 2025,Bilance - pohyb zboží (v mil. Kč),33398.797886
Česko,Svět celkem,srpen 2025,Obrat - pohyb zboží (v mil. Kč),850989.963064
Česko,Svět celkem,srpen 2025,Pohyb zboží z ČR (meziroční index ),93.2296294493
Česko,Svět celkem,srpen 2025,Pohyb zboží do ČR (meziroční index),96.4985644897
Česko,Svět celkem,srpen 2025,Obrat pohybu zboží (meziroční index),94.7718502396
Česko,Svět celkem,červenec 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",498082.180303
Česko,Svět celkem,červenec 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",456390.793023
Česko,Svět celkem,červenec 2025,Bilance - pohyb zboží (v mil. Kč),41691.38728
Česko,Svět celkem,červenec 2025,Obrat - pohyb zboží (v mil. Kč),954472.973326
Česko,Svět celkem,červenec 2025,Pohyb zboží z ČR (meziroční index ),104.7910527246
Česko,Svět celkem,červenec 2025,Pohyb zboží do ČR (meziroční index),103.4936818925
Česko,Svět celkem,červenec 2025,Obrat pohybu zboží (meziroční index),104.1666679513
Česko,Svět celkem,červen 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",520850.304426
Česko,Svět celkem,červen 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",453390.11636
Česko,Svět celkem,červen 2025,Bilance - pohyb zboží (v mil. Kč),67460.188066
Česko,Svět celkem,červen 2025,Obrat - pohyb zboží (v mil. Kč),974240.420786
Česko,Svět celkem,červen 2025,Pohyb zboží z ČR (meziroční index ),106.1439241489
Česko,Svět celkem,červen 2025,Pohyb zboží do ČR (meziroční index),107.6991318257
Česko,Svět celkem,červen 2025,Obrat pohybu zboží (meziroční index),106.8620583798
Česko,Svět celkem,květen 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",499221.429087
Česko,Svět celkem,květen 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",445487.177277
Česko,Svět celkem,květen 2025,Bilance - pohyb zboží (v mil. Kč),53734.25181
Česko,Svět celkem,květen 2025,Obrat - pohyb zboží (v mil. Kč),944708.606364
Česko,Svět celkem,květen 2025,Pohyb zboží z ČR (meziroční index ),100.3469576953
Česko,Svět celkem,květen 2025,Pohyb zboží do ČR (meziroční index),98.5546858865
Česko,Svět celkem,květen 2025,Obrat pohybu zboží (meziroční index),99.4937403228
Česko,Svět celkem,duben 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",525025.594554
Česko,Svět celkem,duben 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",475217.424737
Česko,Svět celkem,duben 2025,Bilance - pohyb zboží (v mil. Kč),49808.169817
Česko,Svět celkem,duben 2025,Obrat - pohyb zboží (v mil. Kč),1000243.019291
Česko,Svět celkem,duben 2025,Pohyb zboží z ČR (meziroční index ),97.5181575861
Česko,Svět celkem,duben 2025,Pohyb zboží do ČR (meziroční index),101.1567177765
Česko,Svět celkem,duben 2025,Obrat pohybu zboží (meziroční index),99.2136390293
Česko,Svět celkem,březen 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",552838.647745
Česko,Svět celkem,březen 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",481047.300255
