Území,Zdroj znečišťování ovzduší,Roky,Ukazatel,Druh látky znečišťující ovzduší,value
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),163881.22941194
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),252969.81068995
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1269803.33100992
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.44237264
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.0779871
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.20761569
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2010,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),16.10089786
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Emise znečišťujících látek (t),Tuhé látky,113672.10438116
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),167507.86982786
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),239394.12401697
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1252794.83129232
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.44133256
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.12395598
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.03545489
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2011,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),15.88511084
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Emise znečišťujících látek (t),Tuhé látky,115123.04910297
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),160202.0710157
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),227596.10190295
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1224678.11782748
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.45972627
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.03131495
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.88585136
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2012,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),15.5285569
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Emise znečišťujících látek (t),Tuhé látky,115947.40777397
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),145253.02027264
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),215105.03462072
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1255523.52573848
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.47016256
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.84174494
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.72743801
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2013,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),15.91949066
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Emise znečišťujících látek (t),Tuhé látky,110431.707818
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),134490.86699234
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),209919.91935723
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1180168.89478399
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.40021311
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.70526997
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.66166873
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2014,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.9638903
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Emise znečišťujících látek (t),Tuhé látky,110045.01368716
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),129375.17502015
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),204414.64929241
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1178926.05109376
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.3952757
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.64036544
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.59180114
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2015,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.94776376
