Ukazatel,Typ údaje,Území,Klasifikace CZ-CPA,Měsíce,value
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,červen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,červenec 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,srpen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,září 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,listopad 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,prosinec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,květen 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,červen 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,červenec 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Potravinářské výrobky,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Nápoje,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,březen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Textilie,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Oděvy,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Usně a související výrobky,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",srpen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",září 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",říjen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",listopad 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",prosinec 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",březen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",květen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",červen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",červenec 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky",srpen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,srpen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,listopad 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,prosinec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,červenec 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Papír a výrobky z papíru,srpen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,červen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,srpen 2024,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,září 2024,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,říjen 2024,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,listopad 2024,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,prosinec 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,leden 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,únor 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,březen 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,duben 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,květen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,červen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,červenec 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Koks a rafinované ropné produkty,srpen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,červen 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,červenec 2024,0.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,srpen 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,září 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,listopad 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,prosinec 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,leden 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,březen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,duben 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,květen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,červen 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,červenec 2025,-0.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Chemické látky a chemické přípravky,srpen 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,srpen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,listopad 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,prosinec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,březen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní farmaceutické výrobky a farmaceutické přípravky,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,červen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,červenec 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,srpen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,září 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,říjen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,listopad 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,prosinec 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,červenec 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Pryžové a plastové výrobky,srpen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,listopad 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní nekovové minerální výrobky,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,červen 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,listopad 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,prosinec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,únor 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,březen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,duben 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,květen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,červen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,červenec 2025,-0.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Základní kovy,srpen 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",červenec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",listopad 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",prosinec 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",leden 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",květen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",červen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",červenec 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Kovodělné výrobky, kromě strojů a zařízení",srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",červen 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",červenec 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",srpen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",září 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",říjen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",listopad 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",prosinec 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",leden 2025,0.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"Počítače, elektronické a optické přístroje a zařízenÍ",duben 2025,-0.2
