Ukazatel,Typ údaje,Území,Klasifikace CZ-CPA,Měsíce,value
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,leden 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,únor 2025,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,březen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,duben 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,květen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,červenec 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,červen 2024,3.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,červenec 2024,4.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,srpen 2024,3.6
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,září 2024,2.6
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,říjen 2024,2.8
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,listopad 2024,3.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,prosinec 2024,3.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden 2025,2.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,únor 2025,0.7
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,duben 2025,-1.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,květen 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,červenec 2025,-2.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,srpen 2025,-2.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",červen 2024,-0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",červenec 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",srpen 2024,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",září 2024,-0.5
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",listopad 2024,1.5
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",prosinec 2024,2.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden 2025,1.6
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",únor 2025,1.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",březen 2025,1.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",duben 2025,0.5
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",červenec 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",srpen 2025,-0.8
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",červen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",červenec 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",srpen 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",září 2024,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",prosinec 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",únor 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",březen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",červen 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",červenec 2025,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",srpen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,listopad 2024,-0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,prosinec 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,únor 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,březen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,květen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,červen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,srpen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,březen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,duben 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,květen 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Produkty zemědělství a myslivosti a související služby,červen 2025,0.1
