Rok sčítání,Území,Ukazatel,value
2021,Česká republika,Průměrný počet osob s obvyklým pobytem na byt,2.2553731034
2021,Česká republika,Počet osob v obydlených bytech,10104385.0
2021,Hlavní město Praha,Průměrný počet osob s obvyklým pobytem na byt,2.0103870449
2021,Hlavní město Praha,Počet osob v obydlených bytech,1261930.0
2021,Středočeský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.3974524697
2021,Středočeský kraj,Počet osob v obydlených bytech,1346510.0
2021,Jihočeský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2873069002
2021,Jihočeský kraj,Počet osob v obydlených bytech,607511.0
2021,Plzeňský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2383151844
2021,Plzeňský kraj,Počet osob v obydlených bytech,552931.0
2021,Karlovarský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.1036799974
2021,Karlovarský kraj,Počet osob v obydlených bytech,263589.0
2021,Ústecký kraj,Průměrný počet osob s obvyklým pobytem na byt,2.1361705139
2021,Ústecký kraj,Počet osob v obydlených bytech,754677.0
2021,Liberecký kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2224573222
2021,Liberecký kraj,Počet osob v obydlených bytech,416993.0
2021,Královéhradecký kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2696778653
2021,Královéhradecký kraj,Počet osob v obydlených bytech,518778.0
2021,Pardubický kraj,Průměrný počet osob s obvyklým pobytem na byt,2.3481516547
2021,Pardubický kraj,Počet osob v obydlených bytech,491076.0
2021,Kraj Vysočina,Průměrný počet osob s obvyklým pobytem na byt,2.4524700407
2021,Kraj Vysočina,Počet osob v obydlených bytech,478472.0
2021,Jihomoravský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.349533168
2021,Jihomoravský kraj,Počet osob v obydlených bytech,1151283.0
2021,Olomoucký kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2921792331
2021,Olomoucký kraj,Počet osob v obydlených bytech,595703.0
2021,Zlínský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.4082901967
2021,Zlínský kraj,Počet osob v obydlených bytech,544801.0
2021,Moravskoslezský kraj,Průměrný počet osob s obvyklým pobytem na byt,2.2267190945
2021,Moravskoslezský kraj,Počet osob v obydlených bytech,1120131.0
