Stát,Ukazatel,Typ ceny,Čtvrtletí,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",68.19741349
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.1337869067
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Meziroční index,Bez očištění,97.2967926831
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.0970525966
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.9382779181
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Bazický index (2021 = 100),Bez očištění,114.6253038267
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",114.8792377567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.00287911
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Meziroční index,Bez očištění,98.7446780833
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.3975882887
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.4224116969
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Bazický index (2021 = 100),Bez očištění,110.7136312
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.0147044567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.50338727
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Meziroční index,Bez očištění,94.7150097557
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",95.7970048663
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.0183798513
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Bazický index (2021 = 100),Bez očištění,104.3097949767
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",105.09231342
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.82702421
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Meziroční index,Bez očištění,98.7867884926
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.2598060255
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.2721768367
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Bazický index (2021 = 100),Bez očištění,71.9034286667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",71.0851129067
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.7084056967
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Meziroční index,Bez očištění,99.3490394202
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.9544554044
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.9185503644
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Bazický index (2021 = 100),Bez očištění,117.8099510433
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",118.3138258933
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.1298100567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Meziroční index,Bez očištění,99.9723858685
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.9076049708
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.6604329416
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Bazický index (2021 = 100),Bez očištění,112.1211120933
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.6935838033
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.0872554333
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Meziroční index,Bez očištění,104.9131761783
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.8718167432
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.1384934953
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Bazický index (2021 = 100),Bez očištění,110.1301633667
