Ukazatel,Území,Roky,Způsob vyplacení důchodu,value
Průměrný vdovský důchod (Kč),Česko,2023,Sólo,12724.0
Průměrný vdovský důchod (Kč),Česko,2023,Kombinace,22120.0
Průměrný vdovský důchod (Kč),Česko,2022,Sólo,11681.0
Průměrný vdovský důchod (Kč),Česko,2022,Kombinace,19260.0
Průměrný vdovský důchod (Kč),Česko,2021,Sólo,10024.0
Průměrný vdovský důchod (Kč),Česko,2021,Kombinace,16488.0
Průměrný vdovský důchod (Kč),Česko,2020,Sólo,9529.0
Průměrný vdovský důchod (Kč),Česko,2020,Kombinace,15488.0
Průměrný vdovský důchod (Kč),Česko,2019,Sólo,8866.0
Průměrný vdovský důchod (Kč),Česko,2019,Kombinace,14464.0
Průměrný vdovský důchod (Kč),Česko,2018,Sólo,8029.0
Průměrný vdovský důchod (Kč),Česko,2018,Kombinace,13246.0
Průměrný vdovský důchod (Kč),Česko,2017,Sólo,7677.0
Průměrný vdovský důchod (Kč),Česko,2017,Kombinace,12686.0
Průměrný vdovský důchod (Kč),Česko,2016,Sólo,7446.0
Průměrný vdovský důchod (Kč),Česko,2016,Kombinace,12306.0
Průměrný vdovský důchod (Kč),Česko,2015,Sólo,7395.0
Průměrný vdovský důchod (Kč),Česko,2015,Kombinace,12219.0
Průměrný vdovský důchod (Kč),Česko,2014,Sólo,7250.0
Průměrný vdovský důchod (Kč),Česko,2014,Kombinace,11955.0
Průměrný vdovský důchod (Kč),Česko,2013,Sólo,7216.0
Průměrný vdovský důchod (Kč),Česko,2013,Kombinace,11864.0
Průměrný vdovský důchod (Kč),Česko,2012,Sólo,7104.0
Průměrný vdovský důchod (Kč),Česko,2012,Kombinace,11680.0
Průměrný vdovský důchod (Kč),Česko,2011,Sólo,6989.0
Průměrný vdovský důchod (Kč),Česko,2011,Kombinace,11452.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2023,Sólo,12884.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2023,Kombinace,23879.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2022,Sólo,11774.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2022,Kombinace,21038.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2021,Sólo,10185.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2021,Kombinace,18010.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2020,Sólo,9679.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2020,Kombinace,16874.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2019,Sólo,8948.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2019,Kombinace,15762.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2018,Sólo,8117.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2018,Kombinace,14432.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2017,Sólo,7759.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2017,Kombinace,13804.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2016,Sólo,7521.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2016,Kombinace,13370.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2015,Sólo,7459.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2015,Kombinace,13260.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2014,Sólo,7337.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2014,Kombinace,12956.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2013,Sólo,7283.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2013,Kombinace,12833.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2012,Sólo,7176.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2012,Kombinace,12613.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2011,Sólo,7038.0
Průměrný vdovský důchod (Kč),Hlavní město Praha,2011,Kombinace,12334.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2023,Sólo,12935.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2023,Kombinace,22165.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2022,Sólo,11857.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2022,Kombinace,19320.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2021,Sólo,10132.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2021,Kombinace,16526.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2020,Sólo,9624.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2020,Kombinace,15506.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2019,Sólo,8945.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2019,Kombinace,14469.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2018,Sólo,8091.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2018,Kombinace,13251.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2017,Sólo,7701.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2017,Kombinace,12679.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2016,Sólo,7474.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2016,Kombinace,12291.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2015,Sólo,7395.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2015,Kombinace,12196.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2014,Sólo,7257.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2014,Kombinace,11924.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2013,Sólo,7214.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2013,Kombinace,11827.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2012,Sólo,7093.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2012,Kombinace,11640.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2011,Sólo,6965.0
Průměrný vdovský důchod (Kč),Středočeský kraj,2011,Kombinace,11404.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2023,Sólo,12397.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2023,Kombinace,22086.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2022,Sólo,11327.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2022,Kombinace,19218.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2021,Sólo,9757.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2021,Kombinace,16440.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2020,Sólo,9255.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2020,Kombinace,15429.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2019,Sólo,8642.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2019,Kombinace,14402.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2018,Sólo,7834.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2018,Kombinace,13189.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2017,Sólo,7510.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2017,Kombinace,12628.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2016,Sólo,7275.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2016,Kombinace,12248.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2015,Sólo,7224.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2015,Kombinace,12156.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2014,Sólo,7051.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2014,Kombinace,11890.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2013,Sólo,7032.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2013,Kombinace,11799.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2012,Sólo,6921.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2012,Kombinace,11616.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2011,Sólo,6803.0
Průměrný vdovský důchod (Kč),Jihočeský kraj,2011,Kombinace,11391.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2023,Sólo,12676.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2023,Kombinace,22026.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2022,Sólo,11566.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2022,Kombinace,19214.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2021,Sólo,9921.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2021,Kombinace,16451.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2020,Sólo,9413.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2020,Kombinace,15444.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2019,Sólo,8793.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2019,Kombinace,14418.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2018,Sólo,7964.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2018,Kombinace,13193.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2017,Sólo,7629.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2017,Kombinace,12635.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2016,Sólo,7352.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2016,Kombinace,12258.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2015,Sólo,7329.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2015,Kombinace,12167.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2014,Sólo,7172.0
