Ukazatel;Plocha bytu;ČR, kraje, okresy;Roky;value
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2015;61.9264705882353
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2014;55.2709677419355
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2013;58.6955882352941
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2012;59.5161290322581
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2011;63.0230547550432
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2010;66.5753228120517
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2009;71.6835443037975
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2008;66.3233929754804
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2007;60.2925196850394
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Středočeský kraj;2006;69.747905027933
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2022;80.1275797373358
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2021;68.8516853932584
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2020;71.1470588235294
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2019;77.4489003880983
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2018;63.1206030150754
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2017;66.6533333333333
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2016;67.6489795918367
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2015;71.8827361563518
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2014;62.3237410071942
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2013;65.4701492537314
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2012;72.1364522417154
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2011;65.7527910685805
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2010;63.5281690140845
