Ukazatel;Rok sčítání;Území;Státní občanství;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo celkem;Ženy;400133
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo celkem;Muži;388965
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s českým státním občanstvím;Celkem;762366
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s českým státním občanstvím;Ženy;388388
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s českým státním občanstvím;Muži;373978
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;25964
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;11425
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo s cizím státním občanstvím;Muži;14539
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo celkem;Celkem;435220
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo celkem;Ženy;219800
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo celkem;Muži;215420
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s českým státním občanstvím;Celkem;415389
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s českým státním občanstvím;Ženy;210418
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s českým státním občanstvím;Muži;204971
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;19187
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;9105
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo s cizím státním občanstvím;Muži;10082
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo celkem;Celkem;538303
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo celkem;Ženy;272286
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo celkem;Muži;266017
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s českým státním občanstvím;Celkem;522536
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s českým státním občanstvím;Ženy;265256
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s českým státním občanstvím;Muži;257280
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;14744
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;6581
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo s cizím státním občanstvím;Muži;8163
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo celkem;Celkem;510037
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo celkem;Ženy;257091
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo celkem;Muži;252946
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s českým státním občanstvím;Celkem;493471
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s českým státním občanstvím;Ženy;250204
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s českým státním občanstvím;Muži;243267
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;15722
