Území;Ukazatel;Kumulace čtvrtletí;value
Česko;Zahájené byty;Q1-Q4 1990;61004.0
Česko;Zahájené byty;Q1 1991;
Česko;Zahájené byty;Q1-Q2 1991;
Česko;Zahájené byty;Q1-Q3 1991;
Česko;Zahájené byty;Q1-Q4 1991;10899.0
Česko;Zahájené byty;Q1 1992;
Česko;Zahájené byty;Q1-Q2 1992;
Česko;Zahájené byty;Q1-Q3 1992;
Česko;Zahájené byty;Q1-Q4 1992;8429.0
Česko;Zahájené byty;Q1 1993;
Česko;Zahájené byty;Q1-Q2 1993;
Česko;Zahájené byty;Q1-Q3 1993;
Česko;Zahájené byty;Q1-Q4 1993;7454.0
Česko;Zahájené byty;Q1 1994;
Česko;Zahájené byty;Q1-Q2 1994;
Česko;Zahájené byty;Q1-Q3 1994;
Česko;Zahájené byty;Q1-Q4 1994;10964.0
Česko;Zahájené byty;Q1 1995;
Česko;Zahájené byty;Q1-Q2 1995;
Česko;Zahájené byty;Q1-Q3 1995;
Česko;Zahájené byty;Q1-Q4 1995;16548.0
Česko;Zahájené byty;Q1 1996;
Česko;Zahájené byty;Q1-Q2 1996;
Česko;Zahájené byty;Q1-Q3 1996;
Česko;Zahájené byty;Q1-Q4 1996;22680.0
Česko;Zahájené byty;Q1 1997;
Česko;Zahájené byty;Q1-Q2 1997;
Česko;Zahájené byty;Q1-Q3 1997;
Česko;Zahájené byty;Q1-Q4 1997;33152.0
Česko;Zahájené byty;Q1 1998;7760.0
Česko;Zahájené byty;Q1-Q2 1998;17703.0
Česko;Zahájené byty;Q1-Q3 1998;27237.0
Česko;Zahájené byty;Q1-Q4 1998;35027.0
Česko;Zahájené byty;Q1 1999;6447.0
Česko;Zahájené byty;Q1-Q2 1999;16591.0
Česko;Zahájené byty;Q1-Q3 1999;25458.0
Česko;Zahájené byty;Q1-Q4 1999;32900.0
Česko;Zahájené byty;Q1 2000;6651.0
Česko;Zahájené byty;Q1-Q2 2000;13910.0
Česko;Zahájené byty;Q1-Q3 2000;22990.0
Česko;Zahájené byty;Q1-Q4 2000;32377.0
Česko;Zahájené byty;Q1 2001;5788.0
Česko;Zahájené byty;Q1-Q2 2001;14184.0
Česko;Zahájené byty;Q1-Q3 2001;21581.0
Česko;Zahájené byty;Q1-Q4 2001;28983.0
Česko;Zahájené byty;Q1 2002;7822.0
Česko;Zahájené byty;Q1-Q2 2002;15949.0
Česko;Zahájené byty;Q1-Q3 2002;24791.0
Česko;Zahájené byty;Q1-Q4 2002;33606.0
Česko;Zahájené byty;Q1 2003;8275.0
Česko;Zahájené byty;Q1-Q2 2003;16892.0
Česko;Zahájené byty;Q1-Q3 2003;27199.0
Česko;Zahájené byty;Q1-Q4 2003;36496.0
Česko;Zahájené byty;Q1 2004;8145.0
Česko;Zahájené byty;Q1-Q2 2004;19364.0
Česko;Zahájené byty;Q1-Q3 2004;29089.0
Česko;Zahájené byty;Q1-Q4 2004;39037.0
Česko;Zahájené byty;Q1 2005;8645.0
Česko;Zahájené byty;Q1-Q2 2005;17687.0
Česko;Zahájené byty;Q1-Q3 2005;29967.0
Česko;Zahájené byty;Q1-Q4 2005;40381.0
Česko;Zahájené byty;Q1 2006;9117.0
Česko;Zahájené byty;Q1-Q2 2006;20206.0
Česko;Zahájené byty;Q1-Q3 2006;31905.0
Česko;Zahájené byty;Q1-Q4 2006;43747.0
Česko;Zahájené byty;Q1 2007;9165.0
Česko;Zahájené byty;Q1-Q2 2007;19238.0
Česko;Zahájené byty;Q1-Q3 2007;31818.0
Česko;Zahájené byty;Q1-Q4 2007;43796.0
Česko;Zahájené byty;Q1 2008;9570.0
Česko;Zahájené byty;Q1-Q2 2008;21931.0
Česko;Zahájené byty;Q1-Q3 2008;33845.0
Česko;Zahájené byty;Q1-Q4 2008;43531.0
Česko;Zahájené byty;Q1 2009;8721.0
Česko;Zahájené byty;Q1-Q2 2009;18457.0
Česko;Zahájené byty;Q1-Q3 2009;29691.0
Česko;Zahájené byty;Q1-Q4 2009;37319.0
Česko;Zahájené byty;Q1 2010;6272.0
Česko;Zahájené byty;Q1-Q2 2010;14296.0
Česko;Zahájené byty;Q1-Q3 2010;21967.0
Česko;Zahájené byty;Q1-Q4 2010;28135.0
Česko;Zahájené byty;Q1 2011;6719.0
Česko;Zahájené byty;Q1-Q2 2011;14312.0
Česko;Zahájené byty;Q1-Q3 2011;21416.0
Česko;Zahájené byty;Q1-Q4 2011;27535.0
Česko;Zahájené byty;Q1 2012;6545.0
Česko;Zahájené byty;Q1-Q2 2012;12547.0
Česko;Zahájené byty;Q1-Q3 2012;18257.0
Česko;Zahájené byty;Q1-Q4 2012;23853.0
Česko;Zahájené byty;Q1 2013;5197.0
Česko;Zahájené byty;Q1-Q2 2013;10964.0
Česko;Zahájené byty;Q1-Q3 2013;16939.0
Česko;Zahájené byty;Q1-Q4 2013;22108.0
Česko;Zahájené byty;Q1 2014;5449.0
Česko;Zahájené byty;Q1-Q2 2014;12132.0
Česko;Zahájené byty;Q1-Q3 2014;18549.0
Česko;Zahájené byty;Q1-Q4 2014;24351.0
Česko;Zahájené byty;Q1 2015;5057.0
Česko;Zahájené byty;Q1-Q2 2015;12930.0
Česko;Zahájené byty;Q1-Q3 2015;19675.0
Česko;Zahájené byty;Q1-Q4 2015;26378.0
Česko;Zahájené byty;Q1 2016;5164.0
Česko;Zahájené byty;Q1-Q2 2016;12483.0
Česko;Zahájené byty;Q1-Q3 2016;19458.0
Česko;Zahájené byty;Q1-Q4 2016;27224.0
Česko;Zahájené byty;Q1 2017;6525.0
Česko;Zahájené byty;Q1-Q2 2017;15023.0
Česko;Zahájené byty;Q1-Q3 2017;23339.0
Česko;Zahájené byty;Q1-Q4 2017;31521.0
Česko;Zahájené byty;Q1 2018;7618.0
Česko;Zahájené byty;Q1-Q2 2018;16556.0
Česko;Zahájené byty;Q1-Q3 2018;24742.0
Česko;Zahájené byty;Q1-Q4 2018;33121.0
Česko;Zahájené byty;Q1 2019;9566.0
Česko;Zahájené byty;Q1-Q2 2019;19101.0
