Roky,"ČR, kraje",Ukazatel,value
2023,Liberecký kraj,Nepřímé náklady - daně a dotace,-109.2383472584
2023,Královéhradecký kraj,Náklady práce celkem,53846.22021475
2023,Královéhradecký kraj,Přímé náklady celkem,38885.4732392018
2023,Královéhradecký kraj,Přímé náklady - mzdy za vykonanou práci,34417.5844779071
2023,Královéhradecký kraj,Přímé náklady - náhrady mzdy,4467.8887612947
2023,Královéhradecký kraj,Nepřímé náklady - sociální požitky,575.6576972251
2023,Královéhradecký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13370.0860769919
2023,Královéhradecký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,691.7719564109
2023,Královéhradecký kraj,Nepřímé náklady - personální náklady/výdaje,491.8064756443
2023,Královéhradecký kraj,Nepřímé náklady - daně a dotace,-168.575230724
2023,Pardubický kraj,Náklady práce celkem,52120.6456342521
2023,Pardubický kraj,Přímé náklady celkem,37512.1310434825
2023,Pardubický kraj,Přímé náklady - mzdy za vykonanou práci,33060.4561515829
2023,Pardubický kraj,Přímé náklady - náhrady mzdy,4451.6748918996
2023,Pardubický kraj,Nepřímé náklady - sociální požitky,573.3350834552
2023,Pardubický kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,12868.5731063465
2023,Pardubický kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,709.4141693449
2023,Pardubický kraj,Nepřímé náklady - personální náklady/výdaje,538.0631936698
2023,Pardubický kraj,Nepřímé náklady - daně a dotace,-80.8709620468
2023,Kraj Vysočina,Náklady práce celkem,53770.0352709778
2023,Kraj Vysočina,Přímé náklady celkem,38829.6956734656
2023,Kraj Vysočina,Přímé náklady - mzdy za vykonanou práci,34273.1966368825
2023,Kraj Vysočina,Přímé náklady - náhrady mzdy,4556.4990365831
2023,Kraj Vysočina,Nepřímé náklady - sociální požitky,592.0675243315
2023,Kraj Vysočina,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13290.8069588615
2023,Kraj Vysočina,Nepřímé náklady - sociální náklady/výdaje - ostatní,689.0426595828
2023,Kraj Vysočina,Nepřímé náklady - personální náklady/výdaje,448.7729729151
2023,Kraj Vysočina,Nepřímé náklady - daně a dotace,-80.3505181786
2023,Jihomoravský kraj,Náklady práce celkem,56992.3092637892
2023,Jihomoravský kraj,Přímé náklady celkem,41270.5229440691
2023,Jihomoravský kraj,Přímé náklady - mzdy za vykonanou práci,36636.5137913961
2023,Jihomoravský kraj,Přímé náklady - náhrady mzdy,4634.009152673
2023,Jihomoravský kraj,Nepřímé náklady - sociální požitky,551.8345301008
2023,Jihomoravský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,14129.5062843368
2023,Jihomoravský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,676.9943808366
2023,Jihomoravský kraj,Nepřímé náklady - personální náklady/výdaje,417.9875905818
2023,Jihomoravský kraj,Nepřímé náklady - daně a dotace,-54.5364661359
2023,Olomoucký kraj,Náklady práce celkem,51972.0886805298
2023,Olomoucký kraj,Přímé náklady celkem,37493.2377090267
2023,Olomoucký kraj,Přímé náklady - mzdy za vykonanou práci,33046.8837709727
2023,Olomoucký kraj,Přímé náklady - náhrady mzdy,4446.353938054
2023,Olomoucký kraj,Nepřímé náklady - sociální požitky,501.5440243776
2023,Olomoucký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,12823.8265648937
2023,Olomoucký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,835.6916248852
2023,Olomoucký kraj,Nepřímé náklady - personální náklady/výdaje,431.8665954253
2023,Olomoucký kraj,Nepřímé náklady - daně a dotace,-114.0778380787
