Ukazatel;Území;Rodinný stav ženicha;Rodinný stav nevěsty;Roky;value
Sňatky;Česko;Svobodný;Celkem;2007;
Sňatky;Česko;Svobodný;Celkem;2006;
Sňatky;Česko;Svobodný;Celkem;2005;
Sňatky;Česko;Svobodný;Celkem;2004;
Sňatky;Česko;Svobodný;Celkem;2003;
Sňatky;Česko;Svobodný;Celkem;2002;
Sňatky;Česko;Svobodný;Celkem;2001;
Sňatky;Česko;Svobodný;Svobodná;2023;31439.0
Sňatky;Česko;Svobodný;Svobodná;2022;35869.0
Sňatky;Česko;Svobodný;Svobodná;2021;30519.0
Sňatky;Česko;Svobodný;Svobodná;2020;29694.0
Sňatky;Česko;Svobodný;Svobodná;2019;36690.0
Sňatky;Česko;Svobodný;Svobodná;2018;36593.0
Sňatky;Česko;Svobodný;Svobodná;2017;35574.0
Sňatky;Česko;Svobodný;Svobodná;2016;34284.0
Sňatky;Česko;Svobodný;Svobodná;2015;32689.0
Sňatky;Česko;Svobodný;Svobodná;2014;30785.0
Sňatky;Česko;Svobodný;Svobodná;2013;28877.0
Sňatky;Česko;Svobodný;Svobodná;2012;29684.0
Sňatky;Česko;Svobodný;Svobodná;2011;29045.0
Sňatky;Česko;Svobodný;Svobodná;2010;30095.0
Sňatky;Česko;Svobodný;Svobodná;2009;30315.0
Sňatky;Česko;Svobodný;Svobodná;2008;32830.0
Sňatky;Česko;Svobodný;Svobodná;2007;36247.0
Sňatky;Česko;Svobodný;Svobodná;2006;34178.0
Sňatky;Česko;Svobodný;Svobodná;2005;33446.0
Sňatky;Česko;Svobodný;Svobodná;2004;33022.0
Sňatky;Česko;Svobodný;Svobodná;2003;31471.0
Sňatky;Česko;Svobodný;Svobodná;2002;34065.0
Sňatky;Česko;Svobodný;Svobodná;2001;33918.0
Sňatky;Česko;Svobodný;Rozvedená;2023;4208.0
Sňatky;Česko;Svobodný;Rozvedená;2022;4794.0
Sňatky;Česko;Svobodný;Rozvedená;2021;4260.0
Sňatky;Česko;Svobodný;Rozvedená;2020;3976.0
Sňatky;Česko;Svobodný;Rozvedená;2019;4723.0
Sňatky;Česko;Svobodný;Rozvedená;2018;4591.0
Sňatky;Česko;Svobodný;Rozvedená;2017;4333.0
Sňatky;Česko;Svobodný;Rozvedená;2016;4159.0
Sňatky;Česko;Svobodný;Rozvedená;2015;4066.0
Sňatky;Česko;Svobodný;Rozvedená;2014;3792.0
Sňatky;Česko;Svobodný;Rozvedená;2013;3743.0
Sňatky;Česko;Svobodný;Rozvedená;2012;3996.0
Sňatky;Česko;Svobodný;Rozvedená;2011;4197.0
Sňatky;Česko;Svobodný;Rozvedená;2010;4194.0
Sňatky;Česko;Svobodný;Rozvedená;2009;4404.0
Sňatky;Česko;Svobodný;Rozvedená;2008;5046.0
Sňatky;Česko;Svobodný;Rozvedená;2007;5327.0
Sňatky;Česko;Svobodný;Rozvedená;2006;4822.0
Sňatky;Česko;Svobodný;Rozvedená;2005;4723.0
Sňatky;Česko;Svobodný;Rozvedená;2004;4713.0
Sňatky;Česko;Svobodný;Rozvedená;2003;4369.0
Sňatky;Česko;Svobodný;Rozvedená;2002;4805.0
Sňatky;Česko;Svobodný;Rozvedená;2001;4739.0
Sňatky;Česko;Svobodný;Ovdovělá;2023;180.0
Sňatky;Česko;Svobodný;Ovdovělá;2022;184.0
Sňatky;Česko;Svobodný;Ovdovělá;2021;151.0
Sňatky;Česko;Svobodný;Ovdovělá;2020;144.0
Sňatky;Česko;Svobodný;Ovdovělá;2019;193.0
Sňatky;Česko;Svobodný;Ovdovělá;2018;132.0
Sňatky;Česko;Svobodný;Ovdovělá;2017;131.0
Sňatky;Česko;Svobodný;Ovdovělá;2016;135.0
Sňatky;Česko;Svobodný;Ovdovělá;2015;129.0
Sňatky;Česko;Svobodný;Ovdovělá;2014;114.0
Sňatky;Česko;Svobodný;Ovdovělá;2013;123.0
Sňatky;Česko;Svobodný;Ovdovělá;2012;136.0
Sňatky;Česko;Svobodný;Ovdovělá;2011;129.0
Sňatky;Česko;Svobodný;Ovdovělá;2010;125.0
Sňatky;Česko;Svobodný;Ovdovělá;2009;146.0
Sňatky;Česko;Svobodný;Ovdovělá;2008;162.0
Sňatky;Česko;Svobodný;Ovdovělá;2007;178.0
Sňatky;Česko;Svobodný;Ovdovělá;2006;149.0
Sňatky;Česko;Svobodný;Ovdovělá;2005;178.0
Sňatky;Česko;Svobodný;Ovdovělá;2004;205.0
Sňatky;Česko;Svobodný;Ovdovělá;2003;176.0
Sňatky;Česko;Svobodný;Ovdovělá;2002;173.0
Sňatky;Česko;Svobodný;Ovdovělá;2001;184.0
Sňatky;Česko;Rozvedený;Celkem;2023;
Sňatky;Česko;Rozvedený;Celkem;2022;
Sňatky;Česko;Rozvedený;Celkem;2021;
Sňatky;Česko;Rozvedený;Celkem;2020;
Sňatky;Česko;Rozvedený;Celkem;2019;
Sňatky;Česko;Rozvedený;Celkem;2018;
Sňatky;Česko;Rozvedený;Celkem;2017;
Sňatky;Česko;Rozvedený;Celkem;2016;
Sňatky;Česko;Rozvedený;Celkem;2015;
Sňatky;Česko;Rozvedený;Celkem;2014;
Sňatky;Česko;Rozvedený;Celkem;2013;
Sňatky;Česko;Rozvedený;Celkem;2012;
Sňatky;Česko;Rozvedený;Celkem;2011;
Sňatky;Česko;Rozvedený;Celkem;2010;
Sňatky;Česko;Rozvedený;Celkem;2009;
Sňatky;Česko;Rozvedený;Celkem;2008;
Sňatky;Česko;Rozvedený;Celkem;2007;
Sňatky;Česko;Rozvedený;Celkem;2006;
Sňatky;Česko;Rozvedený;Celkem;2005;
Sňatky;Česko;Rozvedený;Celkem;2004;
Sňatky;Česko;Rozvedený;Celkem;2003;
Sňatky;Česko;Rozvedený;Celkem;2002;
Sňatky;Česko;Rozvedený;Celkem;2001;
Sňatky;Česko;Rozvedený;Svobodná;2023;4503.0
Sňatky;Česko;Rozvedený;Svobodná;2022;5183.0
Sňatky;Česko;Rozvedený;Svobodná;2021;4258.0
Sňatky;Česko;Rozvedený;Svobodná;2020;4194.0
Sňatky;Česko;Rozvedený;Svobodná;2019;4943.0
Sňatky;Česko;Rozvedený;Svobodná;2018;4922.0
Sňatky;Česko;Rozvedený;Svobodná;2017;4698.0
Sňatky;Česko;Rozvedený;Svobodná;2016;4646.0
Sňatky;Česko;Rozvedený;Svobodná;2015;4265.0
Sňatky;Česko;Rozvedený;Svobodná;2014;4299.0
Sňatky;Česko;Rozvedený;Svobodná;2013;4080.0
Sňatky;Česko;Rozvedený;Svobodná;2012;4436.0
Sňatky;Česko;Rozvedený;Svobodná;2011;4311.0
Sňatky;Česko;Rozvedený;Svobodná;2010;4566.0
