Území,Právní forma,Ukazatel,Výdaje územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2021,102.265
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2020,175.918
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2019,182.529
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2018,127.831
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2017,108.353
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2016,93.966
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2015,120.408
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2014,322.07
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2013,267.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2012,30537.59
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2011,24967460.07
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2010,25272656.09
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2009,24238579.3
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2008,23536213.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2007,21679322.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2023,170452307.41346
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2022,158654688.65136
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2021,134340931.60678
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2020,139052549.53857
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2019,126785977.11394
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2018,126314715.46095
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2017,86050021.08246
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2016,66995479.61171
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2015,112502770.83116
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2014,108803672.28
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2013,84414004.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2012,90728917.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2011,98598821.93
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2010,111617588.64
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2009,117117989.71
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2008,96980653.79
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Kapitálové výdaje,2007,92151433.11
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2023,126593399.20651
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2022,122411108.80664
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2021,104838224.70858
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2020,108526173.18842
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2019,100039703.89617
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2018,99639254.53932
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2017,69292982.68915
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2016,51502731.94483
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2015,94409895.38972
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2014,88403442.91
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2013,68621680.27
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2012,72471327.14
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2011,81063315.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2010,93693659.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2009,97399045.9
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2008,75385081.33
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční nákupy a související výdaje,2007,69581703.34
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2023,2666796.87411
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2022,2063059.5052
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2021,1587096.89931
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2020,2115425.75195
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2019,1361568.77623
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2018,1606594.36101
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2017,1674485.78521
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2016,1319248.86492
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2015,1749792.53908
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2014,4712596.08
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2013,918334.99
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2012,888285.94
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2011,1223539.6
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2010,1225203.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2009,1107848.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2008,1796058.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákup akcií a majetkových podílů a vklady do fundací a ústavů,2007,1362800.1
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2023,8805544.68979
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2022,8103876.36898
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2021,3881762.8123
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2020,3595755.66594
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2019,2649883.2226
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2018,3425642.69687
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2017,1373542.54134
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2016,1652024.93217
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2015,2274772.53214
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2014,3965026.46
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2013,5362006.0
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2012,6443104.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2011,4052304.26
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2010,2329585.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2009,5958177.37
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2008,7862172.34
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery podnikatelským subjektům,2007,9710157.43
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2023,22099839.38763
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2022,17203012.93107
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2021,14288567.14916
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2020,14348244.11667
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2019,14589514.08227
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2018,11796581.09713
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2017,7482659.50754
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2016,7563042.53275
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2015,9032561.06164
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2014,6667776.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2013,5099966.31
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2012,5911490.51
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2011,5781103.7
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2010,7567168.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2009,6663597.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2008,6344093.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Investiční transfery příspěvkovým a podobným organizacím,2007,6368742.11
