Roky,Pohlaví,Území,Ukazatel,value
2024,Celkem,Česko,Obyvatelstvo ve věku 15 a více let (tis.osob),8796.1175622
2024,Celkem,Česko,Pracovní síla ekonomicky aktivní (tis. osob),5331.1954511
2024,Celkem,Česko,Zaměstnaní (tis. osob),5192.4172583
2024,Celkem,Česko,Nezaměstnaní (tis. osob),138.77819279
2024,Celkem,Česko,Ekonomicky neaktivní (tis. osob),3464.9221111
2024,Celkem,Česko,Míra ekonomické aktivity (%),60.608506121
2024,Celkem,Česko,Míra zaměstnanosti (%),59.030785134
2024,Celkem,Česko,Obecná míra nezaměstnanosti (%),2.6031345889
2024,Celkem,Hlavní město Praha,Obyvatelstvo ve věku 15 a více let (tis.osob),1080.9173615
2024,Celkem,Hlavní město Praha,Pracovní síla ekonomicky aktivní (tis. osob),730.12329329
2024,Celkem,Hlavní město Praha,Zaměstnaní (tis. osob),717.36292717
2024,Celkem,Hlavní město Praha,Nezaměstnaní (tis. osob),12.760366115
2024,Celkem,Hlavní město Praha,Ekonomicky neaktivní (tis. osob),350.79406826
2024,Celkem,Hlavní město Praha,Míra ekonomické aktivity (%),67.546633929
2024,Celkem,Hlavní město Praha,Míra zaměstnanosti (%),66.366121286
2024,Celkem,Hlavní město Praha,Obecná míra nezaměstnanosti (%),1.7477001805
2024,Celkem,Středočeský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),1143.0182263
2024,Celkem,Středočeský kraj,Pracovní síla ekonomicky aktivní (tis. osob),705.78232619
2024,Celkem,Středočeský kraj,Zaměstnaní (tis. osob),696.49644753
2024,Celkem,Středočeský kraj,Nezaměstnaní (tis. osob),9.285878661
2024,Celkem,Středočeský kraj,Ekonomicky neaktivní (tis. osob),437.23590009
2024,Celkem,Středočeský kraj,Míra ekonomické aktivity (%),61.747250391
2024,Celkem,Středočeský kraj,Míra zaměstnanosti (%),60.934850514
2024,Celkem,Středočeský kraj,Obecná míra nezaměstnanosti (%),1.3156859157
2024,Celkem,Jihočeský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),534.90553016
2024,Celkem,Jihočeský kraj,Pracovní síla ekonomicky aktivní (tis. osob),321.37489761
2024,Celkem,Jihočeský kraj,Zaměstnaní (tis. osob),312.20580498
2024,Celkem,Jihočeský kraj,Nezaměstnaní (tis. osob),9.1690926283
2024,Celkem,Jihočeský kraj,Ekonomicky neaktivní (tis. osob),213.53063255
2024,Celkem,Jihočeský kraj,Míra ekonomické aktivity (%),60.080683315
2024,Celkem,Jihočeský kraj,Míra zaměstnanosti (%),58.366531542
2024,Celkem,Jihočeský kraj,Obecná míra nezaměstnanosti (%),2.8530830182
2024,Celkem,Plzeňský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),492.92518541
2024,Celkem,Plzeňský kraj,Pracovní síla ekonomicky aktivní (tis. osob),304.34404292
2024,Celkem,Plzeňský kraj,Zaměstnaní (tis. osob),298.88540891
2024,Celkem,Plzeňský kraj,Nezaměstnaní (tis. osob),5.458634011
2024,Celkem,Plzeňský kraj,Ekonomicky neaktivní (tis. osob),188.58114249
2024,Celkem,Plzeňský kraj,Míra ekonomické aktivity (%),61.742441231
2024,Celkem,Plzeňský kraj,Míra zaměstnanosti (%),60.635045186
2024,Celkem,Plzeňský kraj,Obecná míra nezaměstnanosti (%),1.7935734699
2024,Celkem,Karlovarský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),238.32123057
2024,Celkem,Karlovarský kraj,Pracovní síla ekonomicky aktivní (tis. osob),150.4250849
2024,Celkem,Karlovarský kraj,Zaměstnaní (tis. osob),144.27850251
2024,Celkem,Karlovarský kraj,Nezaměstnaní (tis. osob),6.1465823997
2024,Celkem,Karlovarský kraj,Ekonomicky neaktivní (tis. osob),87.89614567
2024,Celkem,Karlovarský kraj,Míra ekonomické aktivity (%),63.118625454
2024,Celkem,Karlovarský kraj,Míra zaměstnanosti (%),60.539508862
2024,Celkem,Karlovarský kraj,Obecná míra nezaměstnanosti (%),4.0861418849
2024,Celkem,Ústecký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),656.89763055
2024,Celkem,Ústecký kraj,Pracovní síla ekonomicky aktivní (tis. osob),382.82381883
2024,Celkem,Ústecký kraj,Zaměstnaní (tis. osob),367.16365864
2024,Celkem,Ústecký kraj,Nezaměstnaní (tis. osob),15.66016019
2024,Celkem,Ústecký kraj,Ekonomicky neaktivní (tis. osob),274.07381172
2024,Celkem,Ústecký kraj,Míra ekonomické aktivity (%),58.277546002
2024,Celkem,Ústecký kraj,Míra zaměstnanosti (%),55.893588523
2024,Celkem,Ústecký kraj,Obecná míra nezaměstnanosti (%),4.0906964037
2024,Celkem,Liberecký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),366.09669189
2024,Celkem,Liberecký kraj,Pracovní síla ekonomicky aktivní (tis. osob),210.78896863
2024,Celkem,Liberecký kraj,Zaměstnaní (tis. osob),204.0702635
2024,Celkem,Liberecký kraj,Nezaměstnaní (tis. osob),6.718705128
2024,Celkem,Liberecký kraj,Ekonomicky neaktivní (tis. osob),155.30772327
2024,Celkem,Liberecký kraj,Míra ekonomické aktivity (%),57.577403264
2024,Celkem,Liberecký kraj,Míra zaměstnanosti (%),55.742176321
2024,Celkem,Liberecký kraj,Obecná míra nezaměstnanosti (%),3.1874083221
2024,Celkem,Královéhradecký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),454.5467096
2024,Celkem,Královéhradecký kraj,Pracovní síla ekonomicky aktivní (tis. osob),269.06399597
2024,Celkem,Královéhradecký kraj,Zaměstnaní (tis. osob),259.8615984
2024,Celkem,Královéhradecký kraj,Nezaměstnaní (tis. osob),9.2023975682
2024,Celkem,Královéhradecký kraj,Ekonomicky neaktivní (tis. osob),185.48271363
2024,Celkem,Královéhradecký kraj,Míra ekonomické aktivity (%),59.193915671
2024,Celkem,Královéhradecký kraj,Míra zaměstnanosti (%),57.169393796
2024,Celkem,Královéhradecký kraj,Obecná míra nezaměstnanosti (%),3.4201519736
2024,Celkem,Pardubický kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),429.92019721
2024,Celkem,Pardubický kraj,Pracovní síla ekonomicky aktivní (tis. osob),252.86968533
2024,Celkem,Pardubický kraj,Zaměstnaní (tis. osob),247.64110809
2024,Celkem,Pardubický kraj,Nezaměstnaní (tis. osob),5.2285772398
2024,Celkem,Pardubický kraj,Ekonomicky neaktivní (tis. osob),177.05051188
2024,Celkem,Pardubický kraj,Míra ekonomické aktivity (%),58.81781944
2024,Celkem,Pardubický kraj,Míra zaměstnanosti (%),57.601645537
2024,Celkem,Pardubický kraj,Obecná míra nezaměstnanosti (%),2.0676963444
2024,Celkem,Kraj Vysočina,Obyvatelstvo ve věku 15 a více let (tis.osob),422.06799249
2024,Celkem,Kraj Vysočina,Pracovní síla ekonomicky aktivní (tis. osob),252.05778855
2024,Celkem,Kraj Vysočina,Zaměstnaní (tis. osob),247.36498295
2024,Celkem,Kraj Vysočina,Nezaměstnaní (tis. osob),4.6928055993
2024,Celkem,Kraj Vysočina,Ekonomicky neaktivní (tis. osob),170.01020394
2024,Celkem,Kraj Vysočina,Míra ekonomické aktivity (%),59.71971176
2024,Celkem,Kraj Vysočina,Míra zaměstnanosti (%),58.607851661
2024,Celkem,Kraj Vysočina,Obecná míra nezaměstnanosti (%),1.8617974974
2024,Celkem,Jihomoravský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),988.43468747
2024,Celkem,Jihomoravský kraj,Pracovní síla ekonomicky aktivní (tis. osob),597.50815923
2024,Celkem,Jihomoravský kraj,Zaměstnaní (tis. osob),581.63790622
2024,Celkem,Jihomoravský kraj,Nezaměstnaní (tis. osob),15.870253012
2024,Celkem,Jihomoravský kraj,Ekonomicky neaktivní (tis. osob),390.92652823
2024,Celkem,Jihomoravský kraj,Míra ekonomické aktivity (%),60.449938353
2024,Celkem,Jihomoravský kraj,Míra zaměstnanosti (%),58.844343849
2024,Celkem,Jihomoravský kraj,Obecná míra nezaměstnanosti (%),2.6560730204
2024,Celkem,Olomoucký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),519.36935694
2024,Celkem,Olomoucký kraj,Pracovní síla ekonomicky aktivní (tis. osob),301.69812176
2024,Celkem,Olomoucký kraj,Zaměstnaní (tis. osob),291.93685695
