Ukazatel;Rok sčítání;Území;Druh vlastnictví;value
Počet obydlených domů;2021;Česká republika;Celkem;1952668
Počet obydlených domů;2021;Česká republika;Fyzická osoba;1716302
Počet obydlených domů;2021;Česká republika;Obec, stát;31443
Počet obydlených domů;2021;Česká republika;Bytové družstvo;13230
Počet obydlených domů;2021;Česká republika;Jiná právnická osoba;35765
Počet obydlených domů;2021;Česká republika;Spoluvlastnictví vlastníků bytů ;144128
Počet obydlených domů;2021;Česká republika;Kombinace vlastníků;3639
Počet obydlených domů;2021;Česká republika;Nezjištěno;8161
Počet obydlených domů;2021;Hlavní město Praha;Celkem;98217
Počet obydlených domů;2021;Hlavní město Praha;Fyzická osoba;66733
Počet obydlených domů;2021;Hlavní město Praha;Obec, stát;934
Počet obydlených domů;2021;Hlavní město Praha;Bytové družstvo;2959
Počet obydlených domů;2021;Hlavní město Praha;Jiná právnická osoba;5187
Počet obydlených domů;2021;Hlavní město Praha;Spoluvlastnictví vlastníků bytů ;21494
Počet obydlených domů;2021;Hlavní město Praha;Kombinace vlastníků;438
Počet obydlených domů;2021;Hlavní město Praha;Nezjištěno;472
Počet obydlených domů;2021;Středočeský kraj;Celkem;331341
Počet obydlených domů;2021;Středočeský kraj;Fyzická osoba;304248
Počet obydlených domů;2021;Středočeský kraj;Obec, stát;3718
Počet obydlených domů;2021;Středočeský kraj;Bytové družstvo;1039
Počet obydlených domů;2021;Středočeský kraj;Jiná právnická osoba;4179
Počet obydlených domů;2021;Středočeský kraj;Spoluvlastnictví vlastníků bytů ;15843
Počet obydlených domů;2021;Středočeský kraj;Kombinace vlastníků;497
Počet obydlených domů;2021;Středočeský kraj;Nezjištěno;1817
Počet obydlených domů;2021;Jihočeský kraj;Celkem;133404
Počet obydlených domů;2021;Jihočeský kraj;Fyzická osoba;118504
Počet obydlených domů;2021;Jihočeský kraj;Obec, stát;2851
Počet obydlených domů;2021;Jihočeský kraj;Bytové družstvo;907
Počet obydlených domů;2021;Jihočeský kraj;Jiná právnická osoba;1925
Počet obydlených domů;2021;Jihočeský kraj;Spoluvlastnictví vlastníků bytů ;8104
Počet obydlených domů;2021;Jihočeský kraj;Kombinace vlastníků;253
Počet obydlených domů;2021;Jihočeský kraj;Nezjištěno;860
Počet obydlených domů;2021;Plzeňský kraj;Celkem;115802
Počet obydlených domů;2021;Plzeňský kraj;Fyzická osoba;102005
Počet obydlených domů;2021;Plzeňský kraj;Obec, stát;2429
Počet obydlených domů;2021;Plzeňský kraj;Bytové družstvo;251
Počet obydlených domů;2021;Plzeňský kraj;Jiná právnická osoba;1710
Počet obydlených domů;2021;Plzeňský kraj;Spoluvlastnictví vlastníků bytů ;8891
Počet obydlených domů;2021;Plzeňský kraj;Kombinace vlastníků;187
Počet obydlených domů;2021;Plzeňský kraj;Nezjištěno;329
Počet obydlených domů;2021;Karlovarský kraj;Celkem;42406
Počet obydlených domů;2021;Karlovarský kraj;Fyzická osoba;33155
Počet obydlených domů;2021;Karlovarský kraj;Obec, stát;1072
Počet obydlených domů;2021;Karlovarský kraj;Bytové družstvo;47
Počet obydlených domů;2021;Karlovarský kraj;Jiná právnická osoba;972
Počet obydlených domů;2021;Karlovarský kraj;Spoluvlastnictví vlastníků bytů ;6900
Počet obydlených domů;2021;Karlovarský kraj;Kombinace vlastníků;143
Počet obydlených domů;2021;Karlovarský kraj;Nezjištěno;117
Počet obydlených domů;2021;Ústecký kraj;Celkem;123776
Počet obydlených domů;2021;Ústecký kraj;Fyzická osoba;103951
Počet obydlených domů;2021;Ústecký kraj;Obec, stát;2877
Počet obydlených domů;2021;Ústecký kraj;Bytové družstvo;2137
Počet obydlených domů;2021;Ústecký kraj;Jiná právnická osoba;2960
Počet obydlených domů;2021;Ústecký kraj;Spoluvlastnictví vlastníků bytů ;11333
Počet obydlených domů;2021;Ústecký kraj;Kombinace vlastníků;241
Počet obydlených domů;2021;Ústecký kraj;Nezjištěno;277
Počet obydlených domů;2021;Liberecký kraj;Celkem;79493
Počet obydlených domů;2021;Liberecký kraj;Fyzická osoba;69065
Počet obydlených domů;2021;Liberecký kraj;Obec, stát;1689
Počet obydlených domů;2021;Liberecký kraj;Bytové družstvo;322
Počet obydlených domů;2021;Liberecký kraj;Jiná právnická osoba;1522
Počet obydlených domů;2021;Liberecký kraj;Spoluvlastnictví vlastníků bytů ;6329
Počet obydlených domů;2021;Liberecký kraj;Kombinace vlastníků;171
Počet obydlených domů;2021;Liberecký kraj;Nezjištěno;395
Počet obydlených domů;2021;Královéhradecký kraj;Celkem;116863
Počet obydlených domů;2021;Královéhradecký kraj;Fyzická osoba;104318
Počet obydlených domů;2021;Královéhradecký kraj;Obec, stát;2011
Počet obydlených domů;2021;Královéhradecký kraj;Bytové družstvo;491
Počet obydlených domů;2021;Královéhradecký kraj;Jiná právnická osoba;1603
Počet obydlených domů;2021;Královéhradecký kraj;Spoluvlastnictví vlastníků bytů ;7556
Počet obydlených domů;2021;Královéhradecký kraj;Kombinace vlastníků;215
Počet obydlených domů;2021;Královéhradecký kraj;Nezjištěno;669
Počet obydlených domů;2021;Pardubický kraj;Celkem;113293
Počet obydlených domů;2021;Pardubický kraj;Fyzická osoba;101872
Počet obydlených domů;2021;Pardubický kraj;Obec, stát;1900
Počet obydlených domů;2021;Pardubický kraj;Bytové družstvo;407
Počet obydlených domů;2021;Pardubický kraj;Jiná právnická osoba;1292
Počet obydlených domů;2021;Pardubický kraj;Spoluvlastnictví vlastníků bytů ;7158
Počet obydlených domů;2021;Pardubický kraj;Kombinace vlastníků;239
Počet obydlených domů;2021;Pardubický kraj;Nezjištěno;425
Počet obydlených domů;2021;Kraj Vysočina;Celkem;114230
Počet obydlených domů;2021;Kraj Vysočina;Fyzická osoba;104090
Počet obydlených domů;2021;Kraj Vysočina;Obec, stát;1583
Počet obydlených domů;2021;Kraj Vysočina;Bytové družstvo;613
Počet obydlených domů;2021;Kraj Vysočina;Jiná právnická osoba;1222
Počet obydlených domů;2021;Kraj Vysočina;Spoluvlastnictví vlastníků bytů ;6068
Počet obydlených domů;2021;Kraj Vysočina;Kombinace vlastníků;143
Počet obydlených domů;2021;Kraj Vysočina;Nezjištěno;511
Počet obydlených domů;2021;Jihomoravský kraj;Celkem;241367
Počet obydlených domů;2021;Jihomoravský kraj;Fyzická osoba;217034
Počet obydlených domů;2021;Jihomoravský kraj;Obec, stát;3479
Počet obydlených domů;2021;Jihomoravský kraj;Bytové družstvo;724
Počet obydlených domů;2021;Jihomoravský kraj;Jiná právnická osoba;2933
Počet obydlených domů;2021;Jihomoravský kraj;Spoluvlastnictví vlastníků bytů ;15850
Počet obydlených domů;2021;Jihomoravský kraj;Kombinace vlastníků;426
Počet obydlených domů;2021;Jihomoravský kraj;Nezjištěno;921
