Ukazatel;Náboženská víra;Území;Rok sčítání;value
Počet obyvatel (obvyklý pobyt);Věřící;Česká republika;1991;4523734
Počet obyvatel (obvyklý pobyt);Věřící;Česká republika;2001;3288088
Počet obyvatel (obvyklý pobyt);Věřící;Česká republika;2011;2168952
Počet obyvatel (obvyklý pobyt);Věřící;Česká republika;2021;2334486
Počet obyvatel (obvyklý pobyt);Věřící;Hlavní město Praha;1991;412315
Počet obyvatel (obvyklý pobyt);Věřící;Hlavní město Praha;2001;286567
Počet obyvatel (obvyklý pobyt);Věřící;Hlavní město Praha;2011;239438
Počet obyvatel (obvyklý pobyt);Věřící;Hlavní město Praha;2021;287092
Počet obyvatel (obvyklý pobyt);Věřící;Středočeský kraj;1991;393320
Počet obyvatel (obvyklý pobyt);Věřící;Středočeský kraj;2001;262441
Počet obyvatel (obvyklý pobyt);Věřící;Středočeský kraj;2011;184674
Počet obyvatel (obvyklý pobyt);Věřící;Středočeský kraj;2021;222651
Počet obyvatel (obvyklý pobyt);Věřící;Jihočeský kraj;1991;313031
Počet obyvatel (obvyklý pobyt);Věřící;Jihočeský kraj;2001;216757
Počet obyvatel (obvyklý pobyt);Věřící;Jihočeský kraj;2011;130847
Počet obyvatel (obvyklý pobyt);Věřící;Jihočeský kraj;2021;137854
Počet obyvatel (obvyklý pobyt);Věřící;Plzeňský kraj;1991;206104
Počet obyvatel (obvyklý pobyt);Věřící;Plzeňský kraj;2001;133526
Počet obyvatel (obvyklý pobyt);Věřící;Plzeňský kraj;2011;86161
Počet obyvatel (obvyklý pobyt);Věřící;Plzeňský kraj;2021;92626
Počet obyvatel (obvyklý pobyt);Věřící;Karlovarský kraj;1991;96558
Počet obyvatel (obvyklý pobyt);Věřící;Karlovarský kraj;2001;62492
Počet obyvatel (obvyklý pobyt);Věřící;Karlovarský kraj;2011;37929
Počet obyvatel (obvyklý pobyt);Věřící;Karlovarský kraj;2021;39170
Počet obyvatel (obvyklý pobyt);Věřící;Ústecký kraj;1991;204918
Počet obyvatel (obvyklý pobyt);Věřící;Ústecký kraj;2001;129824
Počet obyvatel (obvyklý pobyt);Věřící;Ústecký kraj;2011;81470
Počet obyvatel (obvyklý pobyt);Věřící;Ústecký kraj;2021;86746
Počet obyvatel (obvyklý pobyt);Věřící;Liberecký kraj;1991;120770
Počet obyvatel (obvyklý pobyt);Věřící;Liberecký kraj;2001;78818
Počet obyvatel (obvyklý pobyt);Věřící;Liberecký kraj;2011;55721
Počet obyvatel (obvyklý pobyt);Věřící;Liberecký kraj;2021;58784
Počet obyvatel (obvyklý pobyt);Věřící;Královéhradecký kraj;1991;216886
Počet obyvatel (obvyklý pobyt);Věřící;Královéhradecký kraj;2001;146738
Počet obyvatel (obvyklý pobyt);Věřící;Královéhradecký kraj;2011;90327
Počet obyvatel (obvyklý pobyt);Věřící;Královéhradecký kraj;2021;92003
Počet obyvatel (obvyklý pobyt);Věřící;Pardubický kraj;1991;228354
Počet obyvatel (obvyklý pobyt);Věřící;Pardubický kraj;2001;162695
Počet obyvatel (obvyklý pobyt);Věřící;Pardubický kraj;2011;100990
Počet obyvatel (obvyklý pobyt);Věřící;Pardubický kraj;2021;103371
Počet obyvatel (obvyklý pobyt);Věřící;Kraj Vysočina;1991;308291
Počet obyvatel (obvyklý pobyt);Věřící;Kraj Vysočina;2001;236228
Počet obyvatel (obvyklý pobyt);Věřící;Kraj Vysočina;2011;148145
Počet obyvatel (obvyklý pobyt);Věřící;Kraj Vysočina;2021;152792
Počet obyvatel (obvyklý pobyt);Věřící;Jihomoravský kraj;1991;642914
Počet obyvatel (obvyklý pobyt);Věřící;Jihomoravský kraj;2001;496763
Počet obyvatel (obvyklý pobyt);Věřící;Jihomoravský kraj;2011;333995
Počet obyvatel (obvyklý pobyt);Věřící;Jihomoravský kraj;2021;365097
Počet obyvatel (obvyklý pobyt);Věřící;Olomoucký kraj;1991;330955
Počet obyvatel (obvyklý pobyt);Věřící;Olomoucký kraj;2001;237589
Počet obyvatel (obvyklý pobyt);Věřící;Olomoucký kraj;2011;150583
Počet obyvatel (obvyklý pobyt);Věřící;Olomoucký kraj;2021;152658
Počet obyvatel (obvyklý pobyt);Věřící;Zlínský kraj;1991;393340
Počet obyvatel (obvyklý pobyt);Věřící;Zlínský kraj;2001;328516
Počet obyvatel (obvyklý pobyt);Věřící;Zlínský kraj;2011;214825
Počet obyvatel (obvyklý pobyt);Věřící;Zlínský kraj;2021;219944
Počet obyvatel (obvyklý pobyt);Věřící;Moravskoslezský kraj;1991;655978
Počet obyvatel (obvyklý pobyt);Věřící;Moravskoslezský kraj;2001;509134
Počet obyvatel (obvyklý pobyt);Věřící;Moravskoslezský kraj;2011;313847
Počet obyvatel (obvyklý pobyt);Věřící;Moravskoslezský kraj;2021;323698
