Ekonomické subjekty ,Ukazatel,"ČR, kraje, okresy",Čtvrtletí,value
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,3. čtvrtletí 2025,2878988
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,2. čtvrtletí 2025,2862930
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,1. čtvrtletí 2025,2849594
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,4. čtvrtletí 2024,2836017
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,3. čtvrtletí 2024,2822454
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,2. čtvrtletí 2024,2806060
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,1. čtvrtletí 2024,2808176
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,4. čtvrtletí 2023,2800294
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,3. čtvrtletí 2023,2792581
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,2. čtvrtletí 2023,2788905
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,1. čtvrtletí 2023,2835015
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,4. čtvrtletí 2022,2996841
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,3. čtvrtletí 2022,3007473
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,2. čtvrtletí 2022,2996348
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,1. čtvrtletí 2022,2985170
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,4. čtvrtletí 2021,2976264
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,3. čtvrtletí 2021,2963419
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,2. čtvrtletí 2021,2952752
Počet ekonomických subjektů v registru,Počet ekonomických subjektů celkem,Česko,1. čtvrtletí 2021,2940814
