Území;Ukazatel;Druh energetického pochodu;Roky;value
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2023;425181.747
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2022;438880.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2021;425234.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2020;386738.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2019;475140.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Celkem;2018;469644.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2023;4365.751
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2022;3694.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2021;3156.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2020;3845.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2019;3307.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2018;3316.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2023;72275.53
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2022;87347.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2021;101027.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2020;84304.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2019;91634.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2018;96305.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2023;
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2022;0.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2021;0.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2020;10294.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2019;17890.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Tlakové zplynování uhlí;2018;18775.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2023;334721.237
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2022;330137.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2021;308004.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2020;263249.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2019;348325.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2018;338002.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2023;13780.957
