"ČR, kraje",Ukazatel,Počet zaměstnanců,Čtvrtletí,value
Česko,Počet ekonomických subjektů celkem,10 - 19,2. čtvrtletí 2022,25380
Česko,Počet ekonomických subjektů celkem,10 - 19,1. čtvrtletí 2022,25306
Česko,Počet ekonomických subjektů celkem,10 - 19,4. čtvrtletí 2021,25522
Česko,Počet ekonomických subjektů celkem,10 - 19,3. čtvrtletí 2021,25457
Česko,Počet ekonomických subjektů celkem,10 - 19,2. čtvrtletí 2021,25150
Česko,Počet ekonomických subjektů celkem,10 - 19,1. čtvrtletí 2021,25130
Česko,Počet ekonomických subjektů celkem,20 - 24,3. čtvrtletí 2025,8579
Česko,Počet ekonomických subjektů celkem,20 - 24,2. čtvrtletí 2025,8215
Česko,Počet ekonomických subjektů celkem,20 - 24,1. čtvrtletí 2025,7942
Česko,Počet ekonomických subjektů celkem,20 - 24,4. čtvrtletí 2024,8152
Česko,Počet ekonomických subjektů celkem,20 - 24,3. čtvrtletí 2024,7676
Česko,Počet ekonomických subjektů celkem,20 - 24,2. čtvrtletí 2024,5915
Česko,Počet ekonomických subjektů celkem,20 - 24,1. čtvrtletí 2024,5896
Česko,Počet ekonomických subjektů celkem,20 - 24,4. čtvrtletí 2023,5918
Česko,Počet ekonomických subjektů celkem,20 - 24,3. čtvrtletí 2023,5841
Česko,Počet ekonomických subjektů celkem,20 - 24,2. čtvrtletí 2023,5939
Česko,Počet ekonomických subjektů celkem,20 - 24,1. čtvrtletí 2023,5797
Česko,Počet ekonomických subjektů celkem,20 - 24,4. čtvrtletí 2022,5864
Česko,Počet ekonomických subjektů celkem,20 - 24,3. čtvrtletí 2022,5813
Česko,Počet ekonomických subjektů celkem,20 - 24,2. čtvrtletí 2022,5761
Česko,Počet ekonomických subjektů celkem,20 - 24,1. čtvrtletí 2022,5738
Česko,Počet ekonomických subjektů celkem,20 - 24,4. čtvrtletí 2021,5753
Česko,Počet ekonomických subjektů celkem,20 - 24,3. čtvrtletí 2021,5772
Česko,Počet ekonomických subjektů celkem,20 - 24,2. čtvrtletí 2021,5700
Česko,Počet ekonomických subjektů celkem,20 - 24,1. čtvrtletí 2021,5597
Česko,Počet ekonomických subjektů celkem,25 - 49,3. čtvrtletí 2025,17844
Česko,Počet ekonomických subjektů celkem,25 - 49,2. čtvrtletí 2025,17280
Česko,Počet ekonomických subjektů celkem,25 - 49,1. čtvrtletí 2025,16676
Česko,Počet ekonomických subjektů celkem,25 - 49,4. čtvrtletí 2024,17070
Česko,Počet ekonomických subjektů celkem,25 - 49,3. čtvrtletí 2024,16341
Česko,Počet ekonomických subjektů celkem,25 - 49,2. čtvrtletí 2024,12821
Česko,Počet ekonomických subjektů celkem,25 - 49,1. čtvrtletí 2024,12650
Česko,Počet ekonomických subjektů celkem,25 - 49,4. čtvrtletí 2023,12665
Česko,Počet ekonomických subjektů celkem,25 - 49,3. čtvrtletí 2023,12700
Česko,Počet ekonomických subjektů celkem,25 - 49,2. čtvrtletí 2023,12616
Česko,Počet ekonomických subjektů celkem,25 - 49,1. čtvrtletí 2023,12507
Česko,Počet ekonomických subjektů celkem,25 - 49,4. čtvrtletí 2022,12693
Česko,Počet ekonomických subjektů celkem,25 - 49,3. čtvrtletí 2022,12648
Česko,Počet ekonomických subjektů celkem,25 - 49,2. čtvrtletí 2022,12585
Česko,Počet ekonomických subjektů celkem,25 - 49,1. čtvrtletí 2022,12458
Česko,Počet ekonomických subjektů celkem,25 - 49,4. čtvrtletí 2021,12509
Česko,Počet ekonomických subjektů celkem,25 - 49,3. čtvrtletí 2021,12425
Česko,Počet ekonomických subjektů celkem,25 - 49,2. čtvrtletí 2021,12362
Česko,Počet ekonomických subjektů celkem,25 - 49,1. čtvrtletí 2021,12182
Česko,Počet ekonomických subjektů celkem,50 - 99,3. čtvrtletí 2025,10041
Česko,Počet ekonomických subjektů celkem,50 - 99,2. čtvrtletí 2025,9772
Česko,Počet ekonomických subjektů celkem,50 - 99,1. čtvrtletí 2025,9523
Česko,Počet ekonomických subjektů celkem,50 - 99,4. čtvrtletí 2024,9642
Česko,Počet ekonomických subjektů celkem,50 - 99,3. čtvrtletí 2024,9230
Česko,Počet ekonomických subjektů celkem,50 - 99,2. čtvrtletí 2024,7822
Česko,Počet ekonomických subjektů celkem,50 - 99,1. čtvrtletí 2024,7738
Česko,Počet ekonomických subjektů celkem,50 - 99,4. čtvrtletí 2023,7769
Česko,Počet ekonomických subjektů celkem,50 - 99,3. čtvrtletí 2023,7668
Česko,Počet ekonomických subjektů celkem,50 - 99,2. čtvrtletí 2023,7669
Česko,Počet ekonomických subjektů celkem,50 - 99,1. čtvrtletí 2023,7588
Česko,Počet ekonomických subjektů celkem,50 - 99,4. čtvrtletí 2022,7649
Česko,Počet ekonomických subjektů celkem,50 - 99,3. čtvrtletí 2022,7528
Česko,Počet ekonomických subjektů celkem,50 - 99,2. čtvrtletí 2022,7555
Česko,Počet ekonomických subjektů celkem,50 - 99,1. čtvrtletí 2022,7499
Česko,Počet ekonomických subjektů celkem,50 - 99,4. čtvrtletí 2021,7543
Česko,Počet ekonomických subjektů celkem,50 - 99,3. čtvrtletí 2021,7435
Česko,Počet ekonomických subjektů celkem,50 - 99,2. čtvrtletí 2021,7439
Česko,Počet ekonomických subjektů celkem,50 - 99,1. čtvrtletí 2021,7410
Česko,Počet ekonomických subjektů celkem,100 - 199,3. čtvrtletí 2025,4682
Česko,Počet ekonomických subjektů celkem,100 - 199,2. čtvrtletí 2025,4562
Česko,Počet ekonomických subjektů celkem,100 - 199,1. čtvrtletí 2025,4380
Česko,Počet ekonomických subjektů celkem,100 - 199,4. čtvrtletí 2024,4553
Česko,Počet ekonomických subjektů celkem,100 - 199,3. čtvrtletí 2024,4338
Česko,Počet ekonomických subjektů celkem,100 - 199,2. čtvrtletí 2024,3691
Česko,Počet ekonomických subjektů celkem,100 - 199,1. čtvrtletí 2024,3662
Česko,Počet ekonomických subjektů celkem,100 - 199,4. čtvrtletí 2023,3657
Česko,Počet ekonomických subjektů celkem,100 - 199,3. čtvrtletí 2023,3582
Česko,Počet ekonomických subjektů celkem,100 - 199,2. čtvrtletí 2023,3659
Česko,Počet ekonomických subjektů celkem,100 - 199,1. čtvrtletí 2023,3617
Česko,Počet ekonomických subjektů celkem,100 - 199,4. čtvrtletí 2022,3677
Česko,Počet ekonomických subjektů celkem,100 - 199,3. čtvrtletí 2022,3519
Česko,Počet ekonomických subjektů celkem,100 - 199,2. čtvrtletí 2022,3567
Česko,Počet ekonomických subjektů celkem,100 - 199,1. čtvrtletí 2022,3499
Česko,Počet ekonomických subjektů celkem,100 - 199,4. čtvrtletí 2021,3524
Česko,Počet ekonomických subjektů celkem,100 - 199,3. čtvrtletí 2021,3438
Česko,Počet ekonomických subjektů celkem,100 - 199,2. čtvrtletí 2021,3444
Česko,Počet ekonomických subjektů celkem,100 - 199,1. čtvrtletí 2021,3381
Česko,Počet ekonomických subjektů celkem,200 - 249,3. čtvrtletí 2025,859
Česko,Počet ekonomických subjektů celkem,200 - 249,2. čtvrtletí 2025,859
Česko,Počet ekonomických subjektů celkem,200 - 249,1. čtvrtletí 2025,814
Česko,Počet ekonomických subjektů celkem,200 - 249,4. čtvrtletí 2024,837
Česko,Počet ekonomických subjektů celkem,200 - 249,3. čtvrtletí 2024,813
Česko,Počet ekonomických subjektů celkem,200 - 249,2. čtvrtletí 2024,690
Česko,Počet ekonomických subjektů celkem,200 - 249,1. čtvrtletí 2024,703
Česko,Počet ekonomických subjektů celkem,200 - 249,4. čtvrtletí 2023,697
Česko,Počet ekonomických subjektů celkem,200 - 249,3. čtvrtletí 2023,690
Česko,Počet ekonomických subjektů celkem,200 - 249,2. čtvrtletí 2023,669
Česko,Počet ekonomických subjektů celkem,200 - 249,1. čtvrtletí 2023,663
Česko,Počet ekonomických subjektů celkem,200 - 249,4. čtvrtletí 2022,656
Česko,Počet ekonomických subjektů celkem,200 - 249,3. čtvrtletí 2022,651
Česko,Počet ekonomických subjektů celkem,200 - 249,2. čtvrtletí 2022,636
Česko,Počet ekonomických subjektů celkem,200 - 249,1. čtvrtletí 2022,623
Česko,Počet ekonomických subjektů celkem,200 - 249,4. čtvrtletí 2021,622
Česko,Počet ekonomických subjektů celkem,200 - 249,3. čtvrtletí 2021,633
Česko,Počet ekonomických subjektů celkem,200 - 249,2. čtvrtletí 2021,626
Česko,Počet ekonomických subjektů celkem,200 - 249,1. čtvrtletí 2021,611
Česko,Počet ekonomických subjektů celkem,250 - 499,3. čtvrtletí 2025,1572
Česko,Počet ekonomických subjektů celkem,250 - 499,2. čtvrtletí 2025,1533
Česko,Počet ekonomických subjektů celkem,250 - 499,1. čtvrtletí 2025,1520
Česko,Počet ekonomických subjektů celkem,250 - 499,4. čtvrtletí 2024,1593
Česko,Počet ekonomických subjektů celkem,250 - 499,3. čtvrtletí 2024,1521
Česko,Počet ekonomických subjektů celkem,250 - 499,2. čtvrtletí 2024,1303
Česko,Počet ekonomických subjektů celkem,250 - 499,1. čtvrtletí 2024,1293
Česko,Počet ekonomických subjektů celkem,250 - 499,4. čtvrtletí 2023,1331
Česko,Počet ekonomických subjektů celkem,250 - 499,3. čtvrtletí 2023,1324
Česko,Počet ekonomických subjektů celkem,250 - 499,2. čtvrtletí 2023,1317
Česko,Počet ekonomických subjektů celkem,250 - 499,1. čtvrtletí 2023,1319
Česko,Počet ekonomických subjektů celkem,250 - 499,4. čtvrtletí 2022,1349
Česko,Počet ekonomických subjektů celkem,250 - 499,3. čtvrtletí 2022,1351
Česko,Počet ekonomických subjektů celkem,250 - 499,2. čtvrtletí 2022,1325
Česko,Počet ekonomických subjektů celkem,250 - 499,1. čtvrtletí 2022,1322
Česko,Počet ekonomických subjektů celkem,250 - 499,4. čtvrtletí 2021,1349
Česko,Počet ekonomických subjektů celkem,250 - 499,3. čtvrtletí 2021,1326
Česko,Počet ekonomických subjektů celkem,250 - 499,2. čtvrtletí 2021,1309
Česko,Počet ekonomických subjektů celkem,250 - 499,1. čtvrtletí 2021,1297
Česko,Počet ekonomických subjektů celkem,500 - 999,3. čtvrtletí 2025,737
Česko,Počet ekonomických subjektů celkem,500 - 999,2. čtvrtletí 2025,712
Česko,Počet ekonomických subjektů celkem,500 - 999,1. čtvrtletí 2025,703
Česko,Počet ekonomických subjektů celkem,500 - 999,4. čtvrtletí 2024,726
Česko,Počet ekonomických subjektů celkem,500 - 999,3. čtvrtletí 2024,698
Česko,Počet ekonomických subjektů celkem,500 - 999,2. čtvrtletí 2024,618
Česko,Počet ekonomických subjektů celkem,500 - 999,1. čtvrtletí 2024,606
Česko,Počet ekonomických subjektů celkem,500 - 999,4. čtvrtletí 2023,634
Česko,Počet ekonomických subjektů celkem,500 - 999,3. čtvrtletí 2023,635
Česko,Počet ekonomických subjektů celkem,500 - 999,2. čtvrtletí 2023,627
Česko,Počet ekonomických subjektů celkem,500 - 999,1. čtvrtletí 2023,625
Česko,Počet ekonomických subjektů celkem,500 - 999,4. čtvrtletí 2022,634
Česko,Počet ekonomických subjektů celkem,500 - 999,3. čtvrtletí 2022,612
Česko,Počet ekonomických subjektů celkem,500 - 999,2. čtvrtletí 2022,627
Česko,Počet ekonomických subjektů celkem,500 - 999,1. čtvrtletí 2022,605
Česko,Počet ekonomických subjektů celkem,500 - 999,4. čtvrtletí 2021,616
Česko,Počet ekonomických subjektů celkem,500 - 999,3. čtvrtletí 2021,614
Česko,Počet ekonomických subjektů celkem,500 - 999,2. čtvrtletí 2021,615
Česko,Počet ekonomických subjektů celkem,500 - 999,1. čtvrtletí 2021,614
Česko,Počet ekonomických subjektů celkem,1000 - 1499,3. čtvrtletí 2025,222
Česko,Počet ekonomických subjektů celkem,1000 - 1499,2. čtvrtletí 2025,216
Česko,Počet ekonomických subjektů celkem,1000 - 1499,1. čtvrtletí 2025,210
Česko,Počet ekonomických subjektů celkem,1000 - 1499,4. čtvrtletí 2024,219
Česko,Počet ekonomických subjektů celkem,1000 - 1499,3. čtvrtletí 2024,201
Česko,Počet ekonomických subjektů celkem,1000 - 1499,2. čtvrtletí 2024,195
Česko,Počet ekonomických subjektů celkem,1000 - 1499,1. čtvrtletí 2024,198
Česko,Počet ekonomických subjektů celkem,1000 - 1499,4. čtvrtletí 2023,193
Česko,Počet ekonomických subjektů celkem,1000 - 1499,3. čtvrtletí 2023,185
Česko,Počet ekonomických subjektů celkem,1000 - 1499,2. čtvrtletí 2023,185
Česko,Počet ekonomických subjektů celkem,1000 - 1499,1. čtvrtletí 2023,177
Česko,Počet ekonomických subjektů celkem,1000 - 1499,4. čtvrtletí 2022,187
Česko,Počet ekonomických subjektů celkem,1000 - 1499,3. čtvrtletí 2022,189
Česko,Počet ekonomických subjektů celkem,1000 - 1499,2. čtvrtletí 2022,188
Česko,Počet ekonomických subjektů celkem,1000 - 1499,1. čtvrtletí 2022,186
Česko,Počet ekonomických subjektů celkem,1000 - 1499,4. čtvrtletí 2021,193
Česko,Počet ekonomických subjektů celkem,1000 - 1499,3. čtvrtletí 2021,191
Česko,Počet ekonomických subjektů celkem,1000 - 1499,2. čtvrtletí 2021,189
Česko,Počet ekonomických subjektů celkem,1000 - 1499,1. čtvrtletí 2021,183
Česko,Počet ekonomických subjektů celkem,1500 - 1999,3. čtvrtletí 2025,104
Česko,Počet ekonomických subjektů celkem,1500 - 1999,2. čtvrtletí 2025,100
Česko,Počet ekonomických subjektů celkem,1500 - 1999,1. čtvrtletí 2025,86
Česko,Počet ekonomických subjektů celkem,1500 - 1999,4. čtvrtletí 2024,95
Česko,Počet ekonomických subjektů celkem,1500 - 1999,3. čtvrtletí 2024,97
Česko,Počet ekonomických subjektů celkem,1500 - 1999,2. čtvrtletí 2024,78
Česko,Počet ekonomických subjektů celkem,1500 - 1999,1. čtvrtletí 2024,79
Česko,Počet ekonomických subjektů celkem,1500 - 1999,4. čtvrtletí 2023,89
Česko,Počet ekonomických subjektů celkem,1500 - 1999,3. čtvrtletí 2023,92
Česko,Počet ekonomických subjektů celkem,1500 - 1999,2. čtvrtletí 2023,88
Česko,Počet ekonomických subjektů celkem,1500 - 1999,1. čtvrtletí 2023,90
Česko,Počet ekonomických subjektů celkem,1500 - 1999,4. čtvrtletí 2022,91
Česko,Počet ekonomických subjektů celkem,1500 - 1999,3. čtvrtletí 2022,92
Česko,Počet ekonomických subjektů celkem,1500 - 1999,2. čtvrtletí 2022,86
Česko,Počet ekonomických subjektů celkem,1500 - 1999,1. čtvrtletí 2022,85
Česko,Počet ekonomických subjektů celkem,1500 - 1999,4. čtvrtletí 2021,86
Česko,Počet ekonomických subjektů celkem,1500 - 1999,3. čtvrtletí 2021,82
Česko,Počet ekonomických subjektů celkem,1500 - 1999,2. čtvrtletí 2021,81
Česko,Počet ekonomických subjektů celkem,1500 - 1999,1. čtvrtletí 2021,82
Česko,Počet ekonomických subjektů celkem,2000 - 2499,3. čtvrtletí 2025,50
Česko,Počet ekonomických subjektů celkem,2000 - 2499,2. čtvrtletí 2025,46
Česko,Počet ekonomických subjektů celkem,2000 - 2499,1. čtvrtletí 2025,47
Česko,Počet ekonomických subjektů celkem,2000 - 2499,4. čtvrtletí 2024,55
Česko,Počet ekonomických subjektů celkem,2000 - 2499,3. čtvrtletí 2024,48
Česko,Počet ekonomických subjektů celkem,2000 - 2499,2. čtvrtletí 2024,40
Česko,Počet ekonomických subjektů celkem,2000 - 2499,1. čtvrtletí 2024,36
Česko,Počet ekonomických subjektů celkem,2000 - 2499,4. čtvrtletí 2023,38
Česko,Počet ekonomických subjektů celkem,2000 - 2499,3. čtvrtletí 2023,36
Česko,Počet ekonomických subjektů celkem,2000 - 2499,2. čtvrtletí 2023,36
Česko,Počet ekonomických subjektů celkem,2000 - 2499,1. čtvrtletí 2023,42
Česko,Počet ekonomických subjektů celkem,2000 - 2499,4. čtvrtletí 2022,41
Česko,Počet ekonomických subjektů celkem,2000 - 2499,3. čtvrtletí 2022,34
Česko,Počet ekonomických subjektů celkem,2000 - 2499,2. čtvrtletí 2022,37
Česko,Počet ekonomických subjektů celkem,2000 - 2499,1. čtvrtletí 2022,37
Česko,Počet ekonomických subjektů celkem,2000 - 2499,4. čtvrtletí 2021,37
Česko,Počet ekonomických subjektů celkem,2000 - 2499,3. čtvrtletí 2021,37
Česko,Počet ekonomických subjektů celkem,2000 - 2499,2. čtvrtletí 2021,37
Česko,Počet ekonomických subjektů celkem,2000 - 2499,1. čtvrtletí 2021,36
Česko,Počet ekonomických subjektů celkem,2500 - 2999,3. čtvrtletí 2025,20
Česko,Počet ekonomických subjektů celkem,2500 - 2999,2. čtvrtletí 2025,23
Česko,Počet ekonomických subjektů celkem,2500 - 2999,1. čtvrtletí 2025,29
Česko,Počet ekonomických subjektů celkem,2500 - 2999,4. čtvrtletí 2024,25
Česko,Počet ekonomických subjektů celkem,2500 - 2999,3. čtvrtletí 2024,20
Česko,Počet ekonomických subjektů celkem,2500 - 2999,2. čtvrtletí 2024,21
Česko,Počet ekonomických subjektů celkem,2500 - 2999,1. čtvrtletí 2024,22
Česko,Počet ekonomických subjektů celkem,2500 - 2999,4. čtvrtletí 2023,23
Česko,Počet ekonomických subjektů celkem,2500 - 2999,3. čtvrtletí 2023,21
Česko,Počet ekonomických subjektů celkem,2500 - 2999,2. čtvrtletí 2023,22
Česko,Počet ekonomických subjektů celkem,2500 - 2999,1. čtvrtletí 2023,19
Česko,Počet ekonomických subjektů celkem,2500 - 2999,4. čtvrtletí 2022,22
Česko,Počet ekonomických subjektů celkem,2500 - 2999,3. čtvrtletí 2022,25
Česko,Počet ekonomických subjektů celkem,2500 - 2999,2. čtvrtletí 2022,22
Česko,Počet ekonomických subjektů celkem,2500 - 2999,1. čtvrtletí 2022,21
Česko,Počet ekonomických subjektů celkem,2500 - 2999,4. čtvrtletí 2021,27
Česko,Počet ekonomických subjektů celkem,2500 - 2999,3. čtvrtletí 2021,25
Česko,Počet ekonomických subjektů celkem,2500 - 2999,2. čtvrtletí 2021,25
Česko,Počet ekonomických subjektů celkem,2500 - 2999,1. čtvrtletí 2021,23
Česko,Počet ekonomických subjektů celkem,3000 - 3999,3. čtvrtletí 2025,35
Česko,Počet ekonomických subjektů celkem,3000 - 3999,2. čtvrtletí 2025,33
