Území,Druh zemědělské plodiny,Ukazatel,Roky,value
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2013,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2014,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2015,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2016,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2017,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2018,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2019,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2020,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2021,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2022,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2023,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2024,
Česko,Zrniny,Sklizňová plocha k 31. prosinci (ha),2025,
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2009,7831998.49
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2010,6877619.09
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2011,8284806.17
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2012,6595493.48
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2013,7512611.95
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2014,8779299.48
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2015,8183512.0
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2016,8596408.21
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2017,7456779.2426
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2018,6970918.76
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2019,7646147.77
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2020,8126663.04
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2021,8227107.32
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2022,8218416.16
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2023,7995523.75
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2024,7520784.75
Česko,Obiloviny na zrno,Sklizeň zemědělských plodin (t),2025,
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2009,5.08
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2010,4.7
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2011,5.6
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2012,4.53
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2013,5.32
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2014,6.22817609
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2015,5.89
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2016,6.32547371
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2017,5.5044491598
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2018,5.2069180677
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2019,5.6532183199
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2020,6.0426807172
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2021,6.113011668
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2022,5.929545188
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2023,6.0700728479
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2024,5.7514138647
Česko,Obiloviny na zrno,Hektarový výnos (t/ha),2025,
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2009,1541679.2
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2010,1462836.01
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2011,1479484.1
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2012,1454435.26
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2013,1413142.56
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2014,1409610.03
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2015,1389827.38
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2016,1359014.14
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2017,1354682.19
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2018,1338780.19
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2019,1352530.07
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2020,1344877.12
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2021,1345835.37
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2022,1386011.22
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2023,1317203.92
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2024,1307641.03
Česko,Obiloviny na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2025,
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2009,1528020.48
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2010,1459505.22
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2011,1468128.9
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2012,1444667.96
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2013,1428171.23
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2014,1411314.01
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2015,1403430.46
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2016,1351910.24
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2017,1352449.91
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2018,1339056.12
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2019,1353555.59
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2020,1336289.61
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2021,1334330.78
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2022,1385733.77
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2023,1326537.19
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2024,1295619.32
Česko,Obiloviny na zrno,Osevní plocha k 31. květnu (ha),2025,1297169.3399999999
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2009,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2010,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2011,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2012,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2013,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2014,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2015,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2016,
