Roky;ČR, kraje;Ukazatel;value
2024;Královéhradecký kraj;Pořadí dítěte 3.;
2024;Královéhradecký kraj;Pořadí dítěte 4. a vyšší;
2024;Královéhradecký kraj;Živě narození mimo manželství;2065.0
2024;Královéhradecký kraj;Podíl živě narozených mimo manželství (%);49.8551424433
2024;Královéhradecký kraj;Mrtvě narození;15.0
2024;Královéhradecký kraj;Průměrný věk matek při narození dítěte;
2024;Královéhradecký kraj;Průměrný věk matek při narození 1. dítěte;
2024;Královéhradecký kraj;Úhrnná plodnost;
2024;Pardubický kraj;Narození;4206.0
2024;Pardubický kraj;Živě narození;4201.0
2024;Pardubický kraj;Živě narození - chlapci;
2024;Pardubický kraj;Živě narození - dívky;
2024;Pardubický kraj;Pořadí dítěte 1.;
2024;Pardubický kraj;Pořadí dítěte 2.;
2024;Pardubický kraj;Pořadí dítěte 3.;
2024;Pardubický kraj;Pořadí dítěte 4. a vyšší;
2024;Pardubický kraj;Živě narození mimo manželství;2017.0
2024;Pardubický kraj;Podíl živě narozených mimo manželství (%);48.0123780052
2024;Pardubický kraj;Mrtvě narození;5.0
2024;Pardubický kraj;Průměrný věk matek při narození dítěte;
2024;Pardubický kraj;Průměrný věk matek při narození 1. dítěte;
2024;Pardubický kraj;Úhrnná plodnost;
2024;Kraj Vysočina;Narození;4205.0
2024;Kraj Vysočina;Živě narození;4184.0
2024;Kraj Vysočina;Živě narození - chlapci;
2024;Kraj Vysočina;Živě narození - dívky;
2024;Kraj Vysočina;Pořadí dítěte 1.;
2024;Kraj Vysočina;Pořadí dítěte 2.;
2024;Kraj Vysočina;Pořadí dítěte 3.;
2024;Kraj Vysočina;Pořadí dítěte 4. a vyšší;
2024;Kraj Vysočina;Živě narození mimo manželství;1864.0
2024;Kraj Vysočina;Podíl živě narozených mimo manželství (%);44.5506692161
2024;Kraj Vysočina;Mrtvě narození;21.0
2024;Kraj Vysočina;Průměrný věk matek při narození dítěte;
2024;Kraj Vysočina;Průměrný věk matek při narození 1. dítěte;
2024;Kraj Vysočina;Úhrnná plodnost;
2024;Jihomoravský kraj;Narození;9902.0
2024;Jihomoravský kraj;Živě narození;9868.0
2024;Jihomoravský kraj;Živě narození - chlapci;
2024;Jihomoravský kraj;Živě narození - dívky;
2024;Jihomoravský kraj;Pořadí dítěte 1.;
2024;Jihomoravský kraj;Pořadí dítěte 2.;
2024;Jihomoravský kraj;Pořadí dítěte 3.;
2024;Jihomoravský kraj;Pořadí dítěte 4. a vyšší;
2024;Jihomoravský kraj;Živě narození mimo manželství;4118.0
2024;Jihomoravský kraj;Podíl živě narozených mimo manželství (%);41.7308471828
2024;Jihomoravský kraj;Mrtvě narození;34.0
2024;Jihomoravský kraj;Průměrný věk matek při narození dítěte;
2024;Jihomoravský kraj;Průměrný věk matek při narození 1. dítěte;
2024;Jihomoravský kraj;Úhrnná plodnost;
2024;Olomoucký kraj;Narození;4966.0
2024;Olomoucký kraj;Živě narození;4943.0
2024;Olomoucký kraj;Živě narození - chlapci;
2024;Olomoucký kraj;Živě narození - dívky;
2024;Olomoucký kraj;Pořadí dítěte 1.;
2024;Olomoucký kraj;Pořadí dítěte 2.;
2024;Olomoucký kraj;Pořadí dítěte 3.;
2024;Olomoucký kraj;Pořadí dítěte 4. a vyšší;
2024;Olomoucký kraj;Živě narození mimo manželství;2415.0
2024;Olomoucký kraj;Podíl živě narozených mimo manželství (%);48.8569694517
2024;Olomoucký kraj;Mrtvě narození;23.0
2024;Olomoucký kraj;Průměrný věk matek při narození dítěte;
2024;Olomoucký kraj;Průměrný věk matek při narození 1. dítěte;
2024;Olomoucký kraj;Úhrnná plodnost;
2024;Zlínský kraj;Narození;4453.0
2024;Zlínský kraj;Živě narození;4447.0
2024;Zlínský kraj;Živě narození - chlapci;
2024;Zlínský kraj;Živě narození - dívky;
2024;Zlínský kraj;Pořadí dítěte 1.;
2024;Zlínský kraj;Pořadí dítěte 2.;
2024;Zlínský kraj;Pořadí dítěte 3.;
2024;Zlínský kraj;Pořadí dítěte 4. a vyšší;
2024;Zlínský kraj;Živě narození mimo manželství;1825.0
2024;Zlínský kraj;Podíl živě narozených mimo manželství (%);41.038902631
2024;Zlínský kraj;Mrtvě narození;6.0
2024;Zlínský kraj;Průměrný věk matek při narození dítěte;
2024;Zlínský kraj;Průměrný věk matek při narození 1. dítěte;
2024;Zlínský kraj;Úhrnná plodnost;
2024;Moravskoslezský kraj;Narození;8639.0
2024;Moravskoslezský kraj;Živě narození;8610.0
2024;Moravskoslezský kraj;Živě narození - chlapci;
2024;Moravskoslezský kraj;Živě narození - dívky;
2024;Moravskoslezský kraj;Pořadí dítěte 1.;
2024;Moravskoslezský kraj;Pořadí dítěte 2.;
2024;Moravskoslezský kraj;Pořadí dítěte 3.;
2024;Moravskoslezský kraj;Pořadí dítěte 4. a vyšší;
2024;Moravskoslezský kraj;Živě narození mimo manželství;4292.0
2024;Moravskoslezský kraj;Podíl živě narozených mimo manželství (%);49.8490127758
2024;Moravskoslezský kraj;Mrtvě narození;29.0
2024;Moravskoslezský kraj;Průměrný věk matek při narození dítěte;
2024;Moravskoslezský kraj;Průměrný věk matek při narození 1. dítěte;
2024;Moravskoslezský kraj;Úhrnná plodnost;
