Ukazatel;Území;Druh nemovitosti;Roky;value
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2019;34513
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2020;37244
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2021;43044
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2022;49782
Průměrná jednotková kupní cena nemovitosti;Česko;Rodinné domy [Kč/m2];2023;48596
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2019;39306
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2020;44082
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2021;54461
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2022;61742
Průměrná jednotková kupní cena nemovitosti;Česko;Byty [Kč/m2];2023;58641
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2019;65815
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2020;79703
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2021;95870
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2022;105434
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Rodinné domy [Kč/m2];2023;111087
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2019;76391
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2020;85784
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2021;100809
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2022;112676
Průměrná jednotková kupní cena nemovitosti;Hlavní město Praha;Byty [Kč/m2];2023;103693
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2019;42935
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2020;47670
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2021;58253
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2022;66053
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Rodinné domy [Kč/m2];2023;64031
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2019;31208
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2020;37326
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2021;46983
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2022;56001
Průměrná jednotková kupní cena nemovitosti;Středočeský kraj;Byty [Kč/m2];2023;52768
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2019;30287
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2020;33414
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2021;39495
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2022;47320
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Rodinné domy [Kč/m2];2023;45525
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2019;27412
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2020;32986
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2021;42169
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2022;50440
Průměrná jednotková kupní cena nemovitosti;Jihočeský kraj;Byty [Kč/m2];2023;46010
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2019;30845
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2020;32923
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2021;39338
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2022;43989
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Rodinné domy [Kč/m2];2023;44192
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2019;31302
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2020;34071
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2021;42838
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2022;52264
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2023;47729
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2019;25415
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2020;28661
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2021;32743
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2022;38860
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2023;37335
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2019;21256
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2020;23707
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2021;30042
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2022;36270
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2023;33664
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2019;25357
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2020;28258
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2021;32157
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2022;39170
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2023;38348
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2019;19954
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2020;23343
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2021;30832
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2022;36318
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2023;33679
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2019;30149
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2020;34316
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2021;39535
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2022;47752
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2023;46566
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2019;27554
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2020;31559
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2021;39514
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2022;49414
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2023;45561
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2019;30327
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2020;32374
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2021;37787
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2022;45583
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2023;46624
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2019;28075
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2020;32113
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2021;41308
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2022;48040
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2023;46442
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2019;29817
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2020;30526
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2021;36512
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2022;42356
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2023;40448
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2019;28985
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2020;35067
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2021;42994
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2022;51039
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2023;49255
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2019;28721
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2020;30393
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2021;35732
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2022;41874
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2023;40933
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2019;28385
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2020;32865
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2021;39919
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2022;48960
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2023;46665
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2019;33430
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2020;35685
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2021;42844
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2022;47816
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2023;49904
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2019;41092
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2020;46551
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2021;56961
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2022;67358
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2023;65525
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2019;25538
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2020;27107
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2021;32519
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2022;38838
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2023;38418
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2019;27973
