Ukazatel;Roky;ČR, kraje;Délka trvání manželství (pětileté intervaly délky);value
Rozvody;2023;Zlínský kraj;10 - 14;165
Rozvody;2023;Zlínský kraj;15 - 19;156
Rozvody;2023;Zlínský kraj;20 - 24;101
Rozvody;2023;Zlínský kraj;25 - 29;82
Rozvody;2023;Zlínský kraj;30 - 34;66
Rozvody;2023;Zlínský kraj;35 a více;41
Rozvody;2023;Moravskoslezský kraj;Celkem;2179
Rozvody;2023;Moravskoslezský kraj;0 - 4;396
Rozvody;2023;Moravskoslezský kraj;5 - 9;482
Rozvody;2023;Moravskoslezský kraj;10 - 14;367
Rozvody;2023;Moravskoslezský kraj;15 - 19;304
Rozvody;2023;Moravskoslezský kraj;20 - 24;235
Rozvody;2023;Moravskoslezský kraj;25 - 29;167
Rozvody;2023;Moravskoslezský kraj;30 - 34;127
Rozvody;2023;Moravskoslezský kraj;35 a více;101
