Území,Druh nemovitosti,Ukazatel,Tříleté období,value
Česko,Byty [Kč/m2],Průměrná jednotková odhadní cena starší nemovitosti,2013-2015,16787.0
Česko,Byty [Kč/m2],Průměrná jednotková odhadní cena starší nemovitosti,2014-2016,16081.0
Česko,Byty [Kč/m2],Průměrná jednotková odhadní cena starší nemovitosti,2015-2017,17387.0
Česko,Byty [Kč/m2],Průměrná jednotková odhadní cena starší nemovitosti,2016-2018,19020.0
Česko,Byty [Kč/m2],Průměrná jednotková odhadní cena starší nemovitosti,2017-2019,20861.0
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2006-2008,21.5
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2007-2009,17.4
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2008-2010,13.8
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2009-2011,11.8
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2010-2012,13.3
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2011-2013,14.8
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2012-2014,14.8
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2013-2015,13.1
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2014-2016,9.3
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2015-2017,8.9
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2016-2018,9.0
Česko,Byty [Kč/m2],Průměrné opotřebení starší nemovitosti,2017-2019,9.5
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2006-2008,1914.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2007-2009,2029.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2008-2010,2068.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2009-2011,2075.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2010-2012,2099.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2011-2013,2012.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2012-2014,1959.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2013-2015,1910.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2014-2016,2002.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2015-2017,2180.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2016-2018,2371.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková kupní cena nemovitosti,2017-2019,2552.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2006-2008,1289.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2007-2009,1401.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2008-2010,1479.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2009-2011,1585.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2010-2012,1692.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2011-2013,1717.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2012-2014,1724.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2013-2015,1706.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2014-2016,1768.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2015-2017,1901.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2016-2018,2014.0
Česko,Bytové domy [Kč/m3],Průměrná jednotková odhadní cena starší nemovitosti,2017-2019,2134.0
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2006-2008,55.7
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2007-2009,56.6
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2008-2010,57.1
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2009-2011,58.0
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2010-2012,59.1
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2011-2013,60.5
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2012-2014,61.1
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2013-2015,61.4
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2014-2016,60.5
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2015-2017,60.4
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2016-2018,59.7
Česko,Bytové domy [Kč/m3],Průměrné opotřebení starší nemovitosti,2017-2019,59.8
