Čtvrtletí,Pohlaví,Území,Ukazatel,value
2. čtvrtletí 2025,Celkem,Ústecký kraj,Míra ekonomické aktivity (%),59.2703398
2. čtvrtletí 2025,Celkem,Ústecký kraj,Míra zaměstnanosti (%),56.503751808
2. čtvrtletí 2025,Celkem,Ústecký kraj,Obecná míra nezaměstnanosti (%),4.6677444421
2. čtvrtletí 2025,Celkem,Liberecký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),366.61829531
2. čtvrtletí 2025,Celkem,Liberecký kraj,Pracovní síla ekonomicky aktivní (tis. osob),213.02031683
2. čtvrtletí 2025,Celkem,Liberecký kraj,Zaměstnaní (tis. osob),203.77685966
2. čtvrtletí 2025,Celkem,Liberecký kraj,Nezaměstnaní (tis. osob),9.243457169
2. čtvrtletí 2025,Celkem,Liberecký kraj,Ekonomicky neaktivní (tis. osob),153.59797848
2. čtvrtletí 2025,Celkem,Liberecký kraj,Míra ekonomické aktivity (%),58.104115249
2. čtvrtletí 2025,Celkem,Liberecký kraj,Míra zaměstnanosti (%),55.582839773
2. čtvrtletí 2025,Celkem,Liberecký kraj,Obecná míra nezaměstnanosti (%),4.3392373585
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),454.87621564
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Pracovní síla ekonomicky aktivní (tis. osob),274.35210267
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Zaměstnaní (tis. osob),267.143856
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Nezaměstnaní (tis. osob),7.208246666
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Ekonomicky neaktivní (tis. osob),180.52411297
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Míra ekonomické aktivity (%),60.313573942
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Míra zaměstnanosti (%),58.728912793
2. čtvrtletí 2025,Celkem,Královéhradecký kraj,Obecná míra nezaměstnanosti (%),2.6273706656
2. čtvrtletí 2025,Celkem,Pardubický kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),431.465065
2. čtvrtletí 2025,Celkem,Pardubický kraj,Pracovní síla ekonomicky aktivní (tis. osob),256.66319125
2. čtvrtletí 2025,Celkem,Pardubický kraj,Zaměstnaní (tis. osob),250.23436293
2. čtvrtletí 2025,Celkem,Pardubický kraj,Nezaměstnaní (tis. osob),6.428828315
2. čtvrtletí 2025,Celkem,Pardubický kraj,Ekonomicky neaktivní (tis. osob),174.80187376
2. čtvrtletí 2025,Celkem,Pardubický kraj,Míra ekonomické aktivity (%),59.486436346
2. čtvrtletí 2025,Celkem,Pardubický kraj,Míra zaměstnanosti (%),57.996436613
2. čtvrtletí 2025,Celkem,Pardubický kraj,Obecná míra nezaměstnanosti (%),2.5047722207
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Obyvatelstvo ve věku 15 a více let (tis.osob),421.92496661
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Pracovní síla ekonomicky aktivní (tis. osob),254.55297
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Zaměstnaní (tis. osob),249.24931707
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Nezaměstnaní (tis. osob),5.303652935
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Ekonomicky neaktivní (tis. osob),167.37199661
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Míra ekonomické aktivity (%),60.331336173
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Míra zaměstnanosti (%),59.074322876
2. čtvrtletí 2025,Celkem,Kraj Vysočina,Obecná míra nezaměstnanosti (%),2.0835164229
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),994.44395183
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Pracovní síla ekonomicky aktivní (tis. osob),600.80139154
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Zaměstnaní (tis. osob),584.60739689
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Nezaměstnaní (tis. osob),16.193994651
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Ekonomicky neaktivní (tis. osob),393.64256029
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Míra ekonomické aktivity (%),60.415812318
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Míra zaměstnanosti (%),58.787365122
2. čtvrtletí 2025,Celkem,Jihomoravský kraj,Obecná míra nezaměstnanosti (%),2.6953989919
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),519.53930191
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Pracovní síla ekonomicky aktivní (tis. osob),313.13326288
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Zaměstnaní (tis. osob),305.72567482
