Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Roky;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2020;92.6188352726
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2021;102.1601505278
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2022;100.812081892
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2023;92.5954085793
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2024;102.5191650617
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2016;103.1831040509
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2017;101.8818436271
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2018;100.0896091146
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2019;101.9272734858
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2020;103.1507667204
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2021;107.783451187
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2022;94.5748056454
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2023;95.7842986129
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2024;100.8666031543
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2016;88.5241322872
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2017;104.2095320391
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2018;104.7510723625
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2019;102.8304581869
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2020;102.0345043867
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2021;101.8787710024
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2022;97.6138802975
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2023;97.7733111675
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.5 Velkoobchod s počítačovým a komunikačním zařízením;2024;102.9618093211
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2016;93.425696788
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2017;107.468255797
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2018;103.7448492352
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2019;100.3969506339
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2020;98.9797969609
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2021;113.9370951478
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2022;109.0297751454
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2023;94.2464304233
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím;2024;100.9141670894
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2015;
