Kraje, SO ORP;Ukazatel;Institucionální sektor;Čtvrtletí;value
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;2. čtvrtletí 2021;380532
Hlavní město Praha;Počet ekonomických subjektů celkem;Domácnosti;1. čtvrtletí 2021;378915
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2025;23669
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2024;23856
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2024;23746
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2024;23622
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2024;23519
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2023;23498
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2023;23559
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2023;23671
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2023;23848
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2022;23976
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2022;24263
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2022;24567
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2022;24855
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;4. čtvrtletí 2021;25028
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;3. čtvrtletí 2021;25320
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;2. čtvrtletí 2021;25573
Hlavní město Praha;Počet ekonomických subjektů celkem;Neziskové instituce sloužící domácnostem;1. čtvrtletí 2021;25833
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2025;56
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2024;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2024;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2024;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2024;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2023;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2023;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2023;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2023;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2022;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2022;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2022;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2022;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;4. čtvrtletí 2021;55
