Území,Roky,Institucionální sektory,Ukazatel,value
Česko,2024,Domácnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),110.0211765324
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),907.5769955174
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),8.6810685615
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9657479026
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48170.6791284002
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1858.0798783463
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),104.0120397223
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),981.4872443465
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),12.2006167754
Česko,2024,Vládní sektor,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.2587212521
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44543.2179452266
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1593.892484156
Česko,2024,Vládní sektor,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.7111001559
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),73.5031001873
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.9843042822
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.7745213787
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),38329.6343463718
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2836.0343856038
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.9902697634
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),86.6382244498
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.8523363047
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),103.4043158912
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),32518.5213731526
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2221.5395337318
Česko,2024,Neziskové instituce sloužící domácnostem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.332544032
