Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Náklady práce celkem;54297.9102675064
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady celkem;38627.5152432649
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady - mzdy za vykonanou práci;34393.3922087789
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Přímé náklady - náhrady mzdy;4234.123034486
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální požitky;888.9644997902
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;13450.5394587807
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - sociální náklady/výdaje - ostatní;884.7285087086
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - personální náklady/výdaje;506.4258379
Česko;2023;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Nepřímé náklady - daně a dotace;-60.263280938
Česko;2023;F - Stavebnictví;Náklady práce celkem;49807.29761491
Česko;2023;F - Stavebnictví;Přímé náklady celkem;36088.9599923771
Česko;2023;F - Stavebnictví;Přímé náklady - mzdy za vykonanou práci;32444.0624976245
Česko;2023;F - Stavebnictví;Přímé náklady - náhrady mzdy;3644.8974947526
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální požitky;475.9566364362
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;12356.4170381899
Česko;2023;F - Stavebnictví;Nepřímé náklady - sociální náklady/výdaje - ostatní;508.6736061184
Česko;2023;F - Stavebnictví;Nepřímé náklady - personální náklady/výdaje;376.1296247448
Česko;2023;F - Stavebnictví;Nepřímé náklady - daně a dotace;1.1607170436
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Náklady práce celkem;55576.8397886899
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady celkem;40220.6160790566
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady - mzdy za vykonanou práci;36237.8197533302
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Přímé náklady - náhrady mzdy;3982.7963257264
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální požitky;628.4179042239
