Ukazatel,Pohlaví,Kraje,Věk (roky),Roky,value
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2025,1392307.19438828
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2026,1388069.67428263
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2027,1383896.12342643
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2028,1379800.81254149
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2029,1389926.5403475
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2030,1400357.20201328
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2031,1411110.64564294
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2032,1421976.8460553
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2033,1432975.62382207
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2034,1444121.95875915
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2035,1455428.3285222
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2036,1466903.07702034
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2037,1478549.71376573
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2038,1490370.29887511
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2039,1502362.1937758
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2040,1514515.45361909
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2041,1526815.08572009
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2042,1539241.47630812
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2043,1551771.67547078
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2044,1564379.67265038
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2045,1577037.24276948
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2046,1589714.63661731
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2047,1602380.04108756
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2048,1614998.48163297
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2049,1627532.78980018
