Rok sčítání;Území;Ukazatel;value
2021;Česká republika;Počet  obydlených bytů;4480139
2021;Česká republika;Obydlené byty ve vlastním domě;1595698
2021;Česká republika;Obydlené byty v osobním vlastnictví;1121375
2021;Česká republika;Obydlené družstevní byty;140821
2021;Česká republika;Obydlené nájemní/pronajaté byty;890802
2021;Česká republika;Obydlené byty s 1 obytnou místností;150054
2021;Česká republika;Obydlené byty se 2 obytnými místnostmi;496141
2021;Česká republika;Obydlené byty se 3 obytnými místnostmi;990093
2021;Česká republika;Obydlené byty se 4 obytnými místnostmi;1299052
2021;Česká republika;Obydlené byty s 5 a více obytnými místnostmi;1208779
2021;Hlavní město Praha;Počet  obydlených bytů;627705
2021;Hlavní město Praha;Obydlené byty ve vlastním domě;63124
2021;Hlavní město Praha;Obydlené byty v osobním vlastnictví;219058
2021;Hlavní město Praha;Obydlené družstevní byty;35107
2021;Hlavní město Praha;Obydlené nájemní/pronajaté byty;200753
2021;Hlavní město Praha;Obydlené byty s 1 obytnou místností;46265
2021;Hlavní město Praha;Obydlené byty se 2 obytnými místnostmi;139075
2021;Hlavní město Praha;Obydlené byty se 3 obytnými místnostmi;162641
2021;Hlavní město Praha;Obydlené byty se 4 obytnými místnostmi;148334
2021;Hlavní město Praha;Obydlené byty s 5 a více obytnými místnostmi;76224
2021;Středočeský kraj;Počet  obydlených bytů;561642
2021;Středočeský kraj;Obydlené byty ve vlastním domě;276434
2021;Středočeský kraj;Obydlené byty v osobním vlastnictví;106306
2021;Středočeský kraj;Obydlené družstevní byty;8916
2021;Středočeský kraj;Obydlené nájemní/pronajaté byty;74312
2021;Středočeský kraj;Obydlené byty s 1 obytnou místností;14196
2021;Středočeský kraj;Obydlené byty se 2 obytnými místnostmi;52607
2021;Středočeský kraj;Obydlené byty se 3 obytnými místnostmi;106046
2021;Středočeský kraj;Obydlené byty se 4 obytnými místnostmi;152123
2021;Středočeský kraj;Obydlené byty s 5 a více obytnými místnostmi;192402
2021;Jihočeský kraj;Počet  obydlených bytů;265601
2021;Jihočeský kraj;Obydlené byty ve vlastním domě;108336
2021;Jihočeský kraj;Obydlené byty v osobním vlastnictví;59399
2021;Jihočeský kraj;Obydlené družstevní byty;8267
2021;Jihočeský kraj;Obydlené nájemní/pronajaté byty;46435
2021;Jihočeský kraj;Obydlené byty s 1 obytnou místností;6881
2021;Jihočeský kraj;Obydlené byty se 2 obytnými místnostmi;23939
2021;Jihočeský kraj;Obydlené byty se 3 obytnými místnostmi;50305
2021;Jihočeský kraj;Obydlené byty se 4 obytnými místnostmi;81510
2021;Jihočeský kraj;Obydlené byty s 5 a více obytnými místnostmi;83927
2021;Plzeňský kraj;Počet  obydlených bytů;247030
2021;Plzeňský kraj;Obydlené byty ve vlastním domě;92920
2021;Plzeňský kraj;Obydlené byty v osobním vlastnictví;63803
2021;Plzeňský kraj;Obydlené družstevní byty;1562
2021;Plzeňský kraj;Obydlené nájemní/pronajaté byty;45716
2021;Plzeňský kraj;Obydlené byty s 1 obytnou místností;7187
2021;Plzeňský kraj;Obydlené byty se 2 obytnými místnostmi;23508
2021;Plzeňský kraj;Obydlené byty se 3 obytnými místnostmi;54317
2021;Plzeňský kraj;Obydlené byty se 4 obytnými místnostmi;72590
2021;Plzeňský kraj;Obydlené byty s 5 a více obytnými místnostmi;69420
2021;Karlovarský kraj;Počet  obydlených bytů;125299
2021;Karlovarský kraj;Obydlené byty ve vlastním domě;31200
2021;Karlovarský kraj;Obydlené byty v osobním vlastnictví;45028
2021;Karlovarský kraj;Obydlené družstevní byty;665
2021;Karlovarský kraj;Obydlené nájemní/pronajaté byty;25106
2021;Karlovarský kraj;Obydlené byty s 1 obytnou místností;3248
2021;Karlovarský kraj;Obydlené byty se 2 obytnými místnostmi;11560
2021;Karlovarský kraj;Obydlené byty se 3 obytnými místnostmi;35876
2021;Karlovarský kraj;Obydlené byty se 4 obytnými místnostmi;34900
2021;Karlovarský kraj;Obydlené byty s 5 a více obytnými místnostmi;26751
2021;Ústecký kraj;Počet  obydlených bytů;353285
2021;Ústecký kraj;Obydlené byty ve vlastním domě;96529
2021;Ústecký kraj;Obydlené byty v osobním vlastnictví;90612
2021;Ústecký kraj;Obydlené družstevní byty;26124
2021;Ústecký kraj;Obydlené nájemní/pronajaté byty;77275
2021;Ústecký kraj;Obydlené byty s 1 obytnou místností;8213
2021;Ústecký kraj;Obydlené byty se 2 obytnými místnostmi;36780
2021;Ústecký kraj;Obydlené byty se 3 obytnými místnostmi;80219
2021;Ústecký kraj;Obydlené byty se 4 obytnými místnostmi;105081
2021;Ústecký kraj;Obydlené byty s 5 a více obytnými místnostmi;86353
2021;Liberecký kraj;Počet  obydlených bytů;187627
2021;Liberecký kraj;Obydlené byty ve vlastním domě;64339
2021;Liberecký kraj;Obydlené byty v osobním vlastnictví;45772
2021;Liberecký kraj;Obydlené družstevní byty;3659
2021;Liberecký kraj;Obydlené nájemní/pronajaté byty;40899
2021;Liberecký kraj;Obydlené byty s 1 obytnou místností;5998
2021;Liberecký kraj;Obydlené byty se 2 obytnými místnostmi;21850
2021;Liberecký kraj;Obydlené byty se 3 obytnými místnostmi;35597
2021;Liberecký kraj;Obydlené byty se 4 obytnými místnostmi;55382
2021;Liberecký kraj;Obydlené byty s 5 a více obytnými místnostmi;51684
2021;Královéhradecký kraj;Počet  obydlených bytů;228569
2021;Královéhradecký kraj;Obydlené byty ve vlastním domě;96649
2021;Královéhradecký kraj;Obydlené byty v osobním vlastnictví;51152
2021;Královéhradecký kraj;Obydlené družstevní byty;3687
2021;Královéhradecký kraj;Obydlené nájemní/pronajaté byty;38684
2021;Královéhradecký kraj;Obydlené byty s 1 obytnou místností;6957
2021;Královéhradecký kraj;Obydlené byty se 2 obytnými místnostmi;22463
2021;Královéhradecký kraj;Obydlené byty se 3 obytnými místnostmi;45893
2021;Královéhradecký kraj;Obydlené byty se 4 obytnými místnostmi;67745
2021;Královéhradecký kraj;Obydlené byty s 5 a více obytnými místnostmi;69157
2021;Pardubický kraj;Počet  obydlených bytů;209133
2021;Pardubický kraj;Obydlené byty ve vlastním domě;94902
2021;Pardubický kraj;Obydlené byty v osobním vlastnictví;47564
2021;Pardubický kraj;Obydlené družstevní byty;3255
2021;Pardubický kraj;Obydlené nájemní/pronajaté byty;31191
2021;Pardubický kraj;Obydlené byty s 1 obytnou místností;5803
2021;Pardubický kraj;Obydlené byty se 2 obytnými místnostmi;18057
2021;Pardubický kraj;Obydlené byty se 3 obytnými místnostmi;42942
2021;Pardubický kraj;Obydlené byty se 4 obytnými místnostmi;62640
2021;Pardubický kraj;Obydlené byty s 5 a více obytnými místnostmi;66858
2021;Kraj Vysočina;Počet  obydlených bytů;195098
2021;Kraj Vysočina;Obydlené byty ve vlastním domě;96800
2021;Kraj Vysočina;Obydlené byty v osobním vlastnictví;42204
2021;Kraj Vysočina;Obydlené družstevní byty;3845
2021;Kraj Vysočina;Obydlené nájemní/pronajaté byty;23218
2021;Kraj Vysočina;Obydlené byty s 1 obytnou místností;3388
2021;Kraj Vysočina;Obydlené byty se 2 obytnými místnostmi;14154
2021;Kraj Vysočina;Obydlené byty se 3 obytnými místnostmi;40058
2021;Kraj Vysočina;Obydlené byty se 4 obytnými místnostmi;57596
2021;Kraj Vysočina;Obydlené byty s 5 a více obytnými místnostmi;69546
2021;Jihomoravský kraj;Počet  obydlených bytů;490005
2021;Jihomoravský kraj;Obydlené byty ve vlastním domě;200629
2021;Jihomoravský kraj;Obydlené byty v osobním vlastnictví;116150
2021;Jihomoravský kraj;Obydlené družstevní byty;5535
2021;Jihomoravský kraj;Obydlené nájemní/pronajaté byty;93783
2021;Jihomoravský kraj;Obydlené byty s 1 obytnou místností;16667
2021;Jihomoravský kraj;Obydlené byty se 2 obytnými místnostmi;53618
2021;Jihomoravský kraj;Obydlené byty se 3 obytnými místnostmi;107903
2021;Jihomoravský kraj;Obydlené byty se 4 obytnými místnostmi;137978
2021;Jihomoravský kraj;Obydlené byty s 5 a více obytnými místnostmi;144459
2021;Olomoucký kraj;Počet  obydlených bytů;259885
2021;Olomoucký kraj;Obydlené byty ve vlastním domě;105851
2021;Olomoucký kraj;Obydlené byty v osobním vlastnictví;66674
2021;Olomoucký kraj;Obydlené družstevní byty;4804
2021;Olomoucký kraj;Obydlené nájemní/pronajaté byty;43167
2021;Olomoucký kraj;Obydlené byty s 1 obytnou místností;6860
2021;Olomoucký kraj;Obydlené byty se 2 obytnými místnostmi;21842
2021;Olomoucký kraj;Obydlené byty se 3 obytnými místnostmi;57086
2021;Olomoucký kraj;Obydlené byty se 4 obytnými místnostmi;85346
2021;Olomoucký kraj;Obydlené byty s 5 a více obytnými místnostmi;73524
2021;Zlínský kraj;Počet  obydlených bytů;226219
2021;Zlínský kraj;Obydlené byty ve vlastním domě;108706
2021;Zlínský kraj;Obydlené byty v osobním vlastnictví;56397
2021;Zlínský kraj;Obydlené družstevní byty;1349
2021;Zlínský kraj;Obydlené nájemní/pronajaté byty;26798
2021;Zlínský kraj;Obydlené byty s 1 obytnou místností;5632
2021;Zlínský kraj;Obydlené byty se 2 obytnými místnostmi;16584
2021;Zlínský kraj;Obydlené byty se 3 obytnými místnostmi;44956
2021;Zlínský kraj;Obydlené byty se 4 obytnými místnostmi;69490
2021;Zlínský kraj;Obydlené byty s 5 a více obytnými místnostmi;77668
2021;Moravskoslezský kraj;Počet  obydlených bytů;503041
2021;Moravskoslezský kraj;Obydlené byty ve vlastním domě;159279
2021;Moravskoslezský kraj;Obydlené byty v osobním vlastnictví;111256
2021;Moravskoslezský kraj;Obydlené družstevní byty;34046
2021;Moravskoslezský kraj;Obydlené nájemní/pronajaté byty;123465
2021;Moravskoslezský kraj;Obydlené byty s 1 obytnou místností;12759
2021;Moravskoslezský kraj;Obydlené byty se 2 obytnými místnostmi;40104
2021;Moravskoslezský kraj;Obydlené byty se 3 obytnými místnostmi;126254
2021;Moravskoslezský kraj;Obydlené byty se 4 obytnými místnostmi;168337
2021;Moravskoslezský kraj;Obydlené byty s 5 a více obytnými místnostmi;120806
