Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.79913576
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45069.5668237681
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3100.1448125191
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.3866750218
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),466.6973364859
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.6262249539
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.8659975645
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42861.8563964167
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2921.5451070716
2. čtvrtletí 2025,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.3147780094
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),327.2635234484
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.3254276323
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.29444612
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44219.8993501503
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2450.1931381272
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.8659573177
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),342.985461212
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.7715399495
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.4861482309
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42192.9256614163
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2260.9341108745
2. čtvrtletí 2025,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.6619618083
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),524.4257179422
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.4307936087
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5386232199
