Území;Ukazatel;Týdny;Věkové skupiny (roky);value
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 48. týden 2024;75-84;99.6961883122
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 48. týden 2024;85 a více;331.3154250087
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;celkem;19.4944202382
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;0-14;0.4630278083
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;15-44;1.3312446446
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;45-64;9.5069711186
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;65-74;35.1311014281
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;75-84;93.8241977074
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 47. týden 2024;85 a více;295.1007404435
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;celkem;19.4852463934
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;0-14;0.2893923802
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;15-44;1.5104506545
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;45-64;9.9361052316
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;65-74;33.5305956682
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;75-84;93.3135898287
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 46. týden 2024;85 a více;298.037066219
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;celkem;19.3384648763
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;0-14;0.3472708562
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;15-44;1.4848497959
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;45-64;8.4176306779
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;65-74;35.291152004
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;75-84;88.8457708902
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 45. týden 2024;85 a více;319.0807342772
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;celkem;20.3292401167
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;0-14;0.3472708562
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;15-44;1.6384549472
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;45-64;8.681713209
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;65-74;37.6118853558
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;75-84;94.5901095254
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 44. týden 2024;85 a více;328.8684868624
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;celkem;19.8430263413
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;0-14;0.5209062843
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;15-44;1.2032403519
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;45-64;8.6487028926
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;65-74;36.8116324759
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;75-84;94.7177614951
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 43. týden 2024;85 a více;314.6762456139
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;celkem;20.6686723749
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;0-14;0.2893923802
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;15-44;1.254442069
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;45-64;9.7710536497
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;65-74;36.6515818999
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;75-84;97.9090607368
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 42. týden 2024;85 a více;331.8048126379
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;celkem;21.2557984433
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;0-14;0.2315139041
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;15-44;1.4336480788
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;45-64;8.3185997288
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;65-74;39.5324922676
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;75-84;103.2704434629
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 41. týden 2024;85 a více;343.5501157402
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;celkem;20.4026308752
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;0-14;0.2315139041
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;15-44;1.5872532301
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;45-64;9.8370742825
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;65-74;35.931354308
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;75-84;97.3984528581
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 40. týden 2024;85 a více;317.1231837602
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;celkem;19.8522001861
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;15-44;1.5616523716
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;45-64;9.1768679548
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;65-74;36.7316071879
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;75-84;91.5264622533
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 39. týden 2024;85 a více;314.1868579846
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;celkem;19.4852463934
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;15-44;1.6384549472
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;45-64;9.2428885875
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;65-74;34.5709244121
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;75-84;92.420026041
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 38. týden 2024;85 a více;301.9521672531
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;celkem;18.8063818769
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;0-14;0.1736354281
