PCSU;Kraje;Kumulace měsíců;Ukazatel;Směr výstavby;value
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet stavebních povolení v ČR;Celkem;538.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy;Celkem;442.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;84.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;358.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;306.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;69.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;237.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;136.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;15.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;121.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;96.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;22456.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;21063.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;10168.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;10895.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;11435.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;9426.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;2009.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;9628.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;742.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;8886.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;1393.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet stavebních povolení v ČR;Celkem;350.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy;Celkem;285.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;53.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;232.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;197.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;42.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;155.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;88.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;11.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;77.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;65.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;14974.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
