Území;Ukazatel;Očištění;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Kumulace měsíců;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2025;100.2728894191
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2025;98.8439875702
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2025;100.9993417036
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2024;101.8190140563
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2024;101.9711399844
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2024;102.1334167911
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2024;102.2922126862
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2024;101.6460632483
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2024;101.5717005785
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2024;100.4647974371
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2024;102.185515378
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2024;103.1525479422
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2024;100.134139124
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2024;105.5834338041
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2024;104.3333065352
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2023;103.3434458233
