Ukazatel,Území,Druh zemědělské plodiny,Roky,value
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2020,798583.35
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2021,784784.05
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2022,854434.19
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2023,817761.66
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2024,776501.54
Osevní plocha k 31. květnu (ha),Česko,Pšenice,2025,785029.15
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2002,796214.02
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2003,541694.9
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2004,801718.79
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2005,762792.54
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2006,719527.9
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2007,750102.35
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2008,760399.39
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2009,793472.23
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2010,785491.01
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2011,805779.37
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2012,746002.28
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2013,788422.26
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2014,790690.32
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2015,778199.52
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2016,809110.95
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2017,785499.17
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2018,773677.91
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2019,814517.13
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2020,774637.64
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2021,709536.65
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2022,801578.41
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2023,778972.24
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2024,747505.85
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá ozimá,2025,756848.31
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2002,52616.29
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2003,106694.55
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2004,61439.41
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2005,57646.98
