Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Měsíce;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2025;104.2788439186
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2025;96.3471853867
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2025;97.9385159514
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2024;101.3233611466
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2024;99.3163812714
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2024;102.9882989137
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2024;106.8294720985
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2024;108.521400175
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2024;104.8575894677
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2024;101.9985971833
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2024;101.8765344266
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2024;112.316099883
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2024;98.4335918227
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2024;111.0422972704
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2024;99.7832740962
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2023;95.6965055086
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2023;100.069233984
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2023;101.7007930439
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2023;92.5418118002
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2023;96.4215067327
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2023;97.5548535408
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2023;95.2055020522
