Roky,Území,Ukazatel,value
2023,Liberecký kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.99122807017544
2023,Královéhradecký kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,12032.0
2023,Královéhradecký kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,10979.0
2023,Královéhradecký kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,1914.0
2023,Královéhradecký kraj,Podíl nezaměstnaných osob - celkem (%),3.19064226
2023,Královéhradecký kraj,Podíl nezaměstnaných osob - muži (%),2.93517071
2023,Královéhradecký kraj,Podíl nezaměstnaných osob - ženy (%),3.45601915
2023,Královéhradecký kraj,Volná pracovní místa v evidenci úřadu práce ,10637.0
2023,Královéhradecký kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.13114599981198
2023,Pardubický kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,11038.0
2023,Pardubický kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,10325.0
2023,Pardubický kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,1695.0
2023,Pardubický kraj,Podíl nezaměstnaných osob - celkem (%),3.09807934
2023,Pardubický kraj,Podíl nezaměstnaných osob - muži (%),2.87487462
2023,Pardubický kraj,Podíl nezaměstnaných osob - ženy (%),3.33181813
2023,Pardubický kraj,Volná pracovní místa v evidenci úřadu práce ,13721.0
2023,Pardubický kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,0.804460316303476
2023,Kraj Vysočina,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,10773.0
2023,Kraj Vysočina,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,9875.0
2023,Kraj Vysočina,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,1569.0
2023,Kraj Vysočina,Podíl nezaměstnaných osob - celkem (%),3.04810292
2023,Kraj Vysočina,Podíl nezaměstnaných osob - muži (%),2.90431299
2023,Kraj Vysočina,Podíl nezaměstnaných osob - ženy (%),3.20061061
2023,Kraj Vysočina,Volná pracovní místa v evidenci úřadu práce ,8368.0
2023,Kraj Vysočina,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.28740439770554
2023,Jihomoravský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,36308.0
2023,Jihomoravský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,33577.0
2023,Jihomoravský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,5087.0
2023,Jihomoravský kraj,Podíl nezaměstnaných osob - celkem (%),4.36544567
2023,Jihomoravský kraj,Podíl nezaměstnaných osob - muži (%),4.07551033
2023,Jihomoravský kraj,Podíl nezaměstnaných osob - ženy (%),4.6647238
2023,Jihomoravský kraj,Volná pracovní místa v evidenci úřadu práce ,18373.0
2023,Jihomoravský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.97616067054918
2023,Olomoucký kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,16108.0
2023,Olomoucký kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,15083.0
2023,Olomoucký kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,2373.0
2023,Olomoucký kraj,Podíl nezaměstnaných osob - celkem (%),3.80892495
2023,Olomoucký kraj,Podíl nezaměstnaných osob - muži (%),3.67490815
2023,Olomoucký kraj,Podíl nezaměstnaných osob - ženy (%),3.94765921
2023,Olomoucký kraj,Volná pracovní místa v evidenci úřadu práce ,7859.0
2023,Olomoucký kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,2.04962463417738
2023,Zlínský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,11498.0
2023,Zlínský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,10510.0
2023,Zlínský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,1834.0
2023,Zlínský kraj,Podíl nezaměstnaných osob - celkem (%),2.87662272
2023,Zlínský kraj,Podíl nezaměstnaných osob - muži (%),2.80231968
2023,Zlínský kraj,Podíl nezaměstnaných osob - ženy (%),2.95460665
2023,Zlínský kraj,Volná pracovní místa v evidenci úřadu práce ,8549.0
2023,Zlínský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.34495262603813
2023,Moravskoslezský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,42912.0
2023,Moravskoslezský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,39642.0
2023,Moravskoslezský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,6240.0
2023,Moravskoslezský kraj,Podíl nezaměstnaných osob - celkem (%),5.22931859
2023,Moravskoslezský kraj,Podíl nezaměstnaných osob - muži (%),5.1734116
2023,Moravskoslezský kraj,Podíl nezaměstnaných osob - ženy (%),5.28764258
2023,Moravskoslezský kraj,Volná pracovní místa v evidenci úřadu práce ,11356.0
2023,Moravskoslezský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,3.77879535047552
