Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2005;92.1244425758
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2004;102.3179649466
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2003;98.0635738576
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2002;94.7123286153
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2001;169.5921737857
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2024;102.1638847249
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2023;100.9878339593
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2022;116.5570323475
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2021;102.1185554263
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2020;96.2481932346
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2019;109.3027393831
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2018;101.5931398838
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2017;105.5856812908
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2016;104.1017429083
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2015;117.927469702
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2014;96.9917267701
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2013;96.4174391593
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2012;96.8425320643
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2011;98.8571973492
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2010;92.7621331791
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2009;83.1582854004
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2008;92.6148629311
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2007;94.6172338336
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2006;97.6374811996
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2005;75.6905760181
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2004;91.4579444822
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2003;92.8343321459
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2002;98.7381626918
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2001;154.4155763803
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;14 Výroba oděvů;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2024;106.543165315
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2023;91.8917877083
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2022;117.4610868993
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2021;116.9994332328
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2020;100.9503604942
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2019;102.1057947913
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2018;109.298287482
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2017;104.3944691837
