Území;Měsíce;Ukazatel;value
Česko;leden 2024;Bilance - pohyb zboží (v mil. Kč);44273.230335
Česko;leden 2024;Pohyb zboží z ČR (meziroční index );98.8791028286
Česko;leden 2024;Pohyb zboží do ČR (meziroční index);101.4561577239
Česko;prosinec 2023;Pohyb zboží z ČR (v mil. Kč, FOB);409484.955764
Česko;prosinec 2023;Pohyb zboží do ČR (v mil. Kč, CIF);378588.667286
Česko;prosinec 2023;Bilance - pohyb zboží (v mil. Kč);30896.288478
Česko;prosinec 2023;Pohyb zboží z ČR (meziroční index );93.1127039319
Česko;prosinec 2023;Pohyb zboží do ČR (meziroční index);90.3731156482
Česko;listopad 2023;Pohyb zboží z ČR (v mil. Kč, FOB);532980.126152
Česko;listopad 2023;Pohyb zboží do ČR (v mil. Kč, CIF);466739.944648
Česko;listopad 2023;Bilance - pohyb zboží (v mil. Kč);66240.181504
Česko;listopad 2023;Pohyb zboží z ČR (meziroční index );97.4055064642
Česko;listopad 2023;Pohyb zboží do ČR (meziroční index);87.8744171167
Česko;říjen 2023;Pohyb zboží z ČR (v mil. Kč, FOB);530202.164875
Česko;říjen 2023;Pohyb zboží do ČR (v mil. Kč, CIF);478691.357684
Česko;říjen 2023;Bilance - pohyb zboží (v mil. Kč);51510.807191
Česko;říjen 2023;Pohyb zboží z ČR (meziroční index );104.1728499253
Česko;říjen 2023;Pohyb zboží do ČR (meziroční index);96.1329951669
Česko;září 2023;Pohyb zboží z ČR (v mil. Kč, FOB);480980.488918
Česko;září 2023;Pohyb zboží do ČR (v mil. Kč, CIF);427930.407897
Česko;září 2023;Bilance - pohyb zboží (v mil. Kč);53050.081021
Česko;září 2023;Pohyb zboží z ČR (meziroční index );90.5141778976
Česko;září 2023;Pohyb zboží do ČR (meziroční index);84.7367870486
Česko;srpen 2023;Pohyb zboží z ČR (v mil. Kč, FOB);431977.239699
Česko;srpen 2023;Pohyb zboží do ČR (v mil. Kč, CIF);403914.25215
Česko;srpen 2023;Bilance - pohyb zboží (v mil. Kč);28062.987549
Česko;srpen 2023;Pohyb zboží z ČR (meziroční index );94.0985027093
Česko;srpen 2023;Pohyb zboží do ČR (meziroční index);87.5347341148
Česko;červenec 2023;Pohyb zboží z ČR (v mil. Kč, FOB);411658.679915
Česko;červenec 2023;Pohyb zboží do ČR (v mil. Kč, CIF);397776.20599
Česko;červenec 2023;Bilance - pohyb zboží (v mil. Kč);13882.473925
Česko;červenec 2023;Pohyb zboží z ČR (meziroční index );97.1744448826
Česko;červenec 2023;Pohyb zboží do ČR (meziroční index);93.6074619216
Česko;červen 2023;Pohyb zboží z ČR (v mil. Kč, FOB);497923.231576
Česko;červen 2023;Pohyb zboží do ČR (v mil. Kč, CIF);437007.52776
Česko;červen 2023;Bilance - pohyb zboží (v mil. Kč);60915.703816
Česko;červen 2023;Pohyb zboží z ČR (meziroční index );98.6177007102
Česko;červen 2023;Pohyb zboží do ČR (meziroční index);89.4372269097
Česko;květen 2023;Pohyb zboží z ČR (v mil. Kč, FOB);477558.799384
Česko;květen 2023;Pohyb zboží do ČR (v mil. Kč, CIF);439253.072574
Česko;květen 2023;Bilance - pohyb zboží (v mil. Kč);38305.72681
Česko;květen 2023;Pohyb zboží z ČR (meziroční index );98.8510175458
Česko;květen 2023;Pohyb zboží do ČR (meziroční index);90.2770482242
Česko;duben 2023;Pohyb zboží z ČR (v mil. Kč, FOB);435241.734467
Česko;duben 2023;Pohyb zboží do ČR (v mil. Kč, CIF);400497.565107
Česko;duben 2023;Bilance - pohyb zboží (v mil. Kč);34744.16936
Česko;duben 2023;Pohyb zboží z ČR (meziroční index );102.0588978562
Česko;duben 2023;Pohyb zboží do ČR (meziroční index);91.8522625696
Česko;březen 2023;Pohyb zboží z ČR (v mil. Kč, FOB);522394.867631
Česko;březen 2023;Pohyb zboží do ČR (v mil. Kč, CIF);472029.417066
Česko;březen 2023;Bilance - pohyb zboží (v mil. Kč);50365.450565
Česko;březen 2023;Pohyb zboží z ČR (meziroční index );105.9690115247
Česko;březen 2023;Pohyb zboží do ČR (meziroční index);98.292698912
Česko;únor 2023;Pohyb zboží z ČR (v mil. Kč, FOB);457013.620829
Česko;únor 2023;Pohyb zboží do ČR (v mil. Kč, CIF);414559.606859
Česko;únor 2023;Bilance - pohyb zboží (v mil. Kč);42454.01397
Česko;únor 2023;Pohyb zboží z ČR (meziroční index );111.3226058046
Česko;únor 2023;Pohyb zboží do ČR (meziroční index);103.2195523724
Česko;leden 2023;Pohyb zboží z ČR (v mil. Kč, FOB);487520.408796
Česko;leden 2023;Pohyb zboží do ČR (v mil. Kč, CIF);431499.266097
Česko;leden 2023;Bilance - pohyb zboží (v mil. Kč);56021.142699
Česko;leden 2023;Pohyb zboží z ČR (meziroční index );114.0156015982
Česko;leden 2023;Pohyb zboží do ČR (meziroční index);108.1290113977
Česko;prosinec 2022;Pohyb zboží z ČR (v mil. Kč, FOB);439773.455686
Česko;prosinec 2022;Pohyb zboží do ČR (v mil. Kč, CIF);418917.35675
Česko;prosinec 2022;Bilance - pohyb zboží (v mil. Kč);20856.098936
Česko;prosinec 2022;Pohyb zboží z ČR (meziroční index );108.1128728759
Česko;prosinec 2022;Pohyb zboží do ČR (meziroční index);104.8227405916
Česko;listopad 2022;Pohyb zboží z ČR (v mil. Kč, FOB);547176.58734
Česko;listopad 2022;Pohyb zboží do ČR (v mil. Kč, CIF);531144.285177
Česko;listopad 2022;Bilance - pohyb zboží (v mil. Kč);16032.302163
Česko;listopad 2022;Pohyb zboží z ČR (meziroční index );114.8555325622
Česko;listopad 2022;Pohyb zboží do ČR (meziroční index);120.6430729396
Česko;říjen 2022;Pohyb zboží z ČR (v mil. Kč, FOB);508963.86655
Česko;říjen 2022;Pohyb zboží do ČR (v mil. Kč, CIF);497946.991928
Česko;říjen 2022;Bilance - pohyb zboží (v mil. Kč);11016.874622
Česko;říjen 2022;Pohyb zboží z ČR (meziroční index );121.2499119561
Česko;říjen 2022;Pohyb zboží do ČR (meziroční index);123.875419774
Česko;září 2022;Pohyb zboží z ČR (v mil. Kč, FOB);531386.905444
Česko;září 2022;Pohyb zboží do ČR (v mil. Kč, CIF);505011.3685
Česko;září 2022;Bilance - pohyb zboží (v mil. Kč);26375.536944
Česko;září 2022;Pohyb zboží z ČR (meziroční index );129.1800424797
Česko;září 2022;Pohyb zboží do ČR (meziroční index);126.6075946202
Česko;srpen 2022;Pohyb zboží z ČR (v mil. Kč, FOB);459069.195855
Česko;srpen 2022;Pohyb zboží do ČR (v mil. Kč, CIF);461433.117076
Česko;srpen 2022;Bilance - pohyb zboží (v mil. Kč);-2363.921221
Česko;srpen 2022;Pohyb zboží z ČR (meziroční index );130.9537789667
Česko;srpen 2022;Pohyb zboží do ČR (meziroční index);130.2402631896
Česko;červenec 2022;Pohyb zboží z ČR (v mil. Kč, FOB);423628.537742
Česko;červenec 2022;Pohyb zboží do ČR (v mil. Kč, CIF);424940.702188
Česko;červenec 2022;Bilance - pohyb zboží (v mil. Kč);-1312.164446
Česko;červenec 2022;Pohyb zboží z ČR (meziroční index );113.5460515915
Česko;červenec 2022;Pohyb zboží do ČR (meziroční index);117.6285789659
Česko;červen 2022;Pohyb zboží z ČR (v mil. Kč, FOB);504902.495181
Česko;červen 2022;Pohyb zboží do ČR (v mil. Kč, CIF);488619.272824
Česko;červen 2022;Bilance - pohyb zboží (v mil. Kč);16283.222357
Česko;červen 2022;Pohyb zboží z ČR (meziroční index );118.9484896299
Česko;červen 2022;Pohyb zboží do ČR (meziroční index);120.1792354868
Česko;květen 2022;Pohyb zboží z ČR (v mil. Kč, FOB);483109.644433
Česko;květen 2022;Pohyb zboží do ČR (v mil. Kč, CIF);486561.181623
Česko;květen 2022;Bilance - pohyb zboží (v mil. Kč);-3451.53719
Česko;květen 2022;Pohyb zboží z ČR (meziroční index );118.4209249651
Česko;květen 2022;Pohyb zboží do ČR (meziroční index);128.8551204669
Česko;duben 2022;Pohyb zboží z ČR (v mil. Kč, FOB);426461.33126
Česko;duben 2022;Pohyb zboží do ČR (v mil. Kč, CIF);436023.625225
Česko;duben 2022;Bilance - pohyb zboží (v mil. Kč);-9562.293965
Česko;duben 2022;Pohyb zboží z ČR (meziroční index );98.9737946123
Česko;duben 2022;Pohyb zboží do ČR (meziroční index);114.3078463068
