Ukazatel;Pohlaví;Území;Rok sčítání;value
Počet obyvatel (obvyklý pobyt);Celkem;Česká republika;1980;10291927
Počet obyvatel (obvyklý pobyt);Celkem;Česká republika;1991;10302215
Počet obyvatel (obvyklý pobyt);Celkem;Česká republika;2001;10230060
Počet obyvatel (obvyklý pobyt);Celkem;Česká republika;2011;10436560
Počet obyvatel (obvyklý pobyt);Celkem;Česká republika;2021;10524167
Počet obyvatel (obvyklý pobyt);Celkem;Hlavní město Praha;1980;1182186
Počet obyvatel (obvyklý pobyt);Celkem;Hlavní město Praha;1991;1214174
Počet obyvatel (obvyklý pobyt);Celkem;Hlavní město Praha;2001;1169106
Počet obyvatel (obvyklý pobyt);Celkem;Hlavní město Praha;2011;1268796
Počet obyvatel (obvyklý pobyt);Celkem;Hlavní město Praha;2021;1301432
Počet obyvatel (obvyklý pobyt);Celkem;Středočeský kraj;1980;1151265
Počet obyvatel (obvyklý pobyt);Celkem;Středočeský kraj;1991;1112882
Počet obyvatel (obvyklý pobyt);Celkem;Středočeský kraj;2001;1122473
Počet obyvatel (obvyklý pobyt);Celkem;Středočeský kraj;2011;1289211
Počet obyvatel (obvyklý pobyt);Celkem;Středočeský kraj;2021;1415463
Počet obyvatel (obvyklý pobyt);Celkem;Jihočeský kraj;1980;613171
Počet obyvatel (obvyklý pobyt);Celkem;Jihočeský kraj;1991;622889
Počet obyvatel (obvyklý pobyt);Celkem;Jihočeský kraj;2001;625267
Počet obyvatel (obvyklý pobyt);Celkem;Jihočeský kraj;2011;628336
Počet obyvatel (obvyklý pobyt);Celkem;Jihočeský kraj;2021;631803
Počet obyvatel (obvyklý pobyt);Celkem;Plzeňský kraj;1980;567930
Počet obyvatel (obvyklý pobyt);Celkem;Plzeňský kraj;1991;558307
Počet obyvatel (obvyklý pobyt);Celkem;Plzeňský kraj;2001;550688
Počet obyvatel (obvyklý pobyt);Celkem;Plzeňský kraj;2011;570401
Počet obyvatel (obvyklý pobyt);Celkem;Plzeňský kraj;2021;581436
Počet obyvatel (obvyklý pobyt);Celkem;Karlovarský kraj;1980;311995
